time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1625048100,0.00,20261001,0,2,1,0.06,152.78400000,153.20500000,111.09200,0.00
1625059925,-2532.00,20261001,1,2,0,0.06,153.20600000,153.20500000,111.09200,-2532.00
1626689700,0.00,20261001,0,4,1,0.01,150.97200000,151.52700000,109.37600,0.00
1626710560,1110.00,20261001,1,4,0,0.01,149.86200000,151.52700000,109.37600,1110.00
1628068500,0.00,20261001,0,6,0,0.01,151.96800000,151.53100000,109.46900,0.00
1628090322,-437.00,20261001,1,6,1,0.01,151.53100000,151.53100000,109.46900,-437.00
1629108000,0.00,20261001,0,8,1,0.01,151.39000000,152.20000000,109.13100,0.00
1629151200,231.00,20261001,1,8,0,0.01,151.15900000,152.20000000,109.13100,231.00
1629891000,0.00,20261001,0,10,0,0.01,150.90000000,150.36400000,109.99900,0.00
1629928800,457.00,20261001,1,10,1,0.01,151.35700000,150.36400000,109.99900,457.00
1631614500,0.00,20261001,0,12,0,0.01,152.54900000,152.05000000,109.67900,0.00
1631640882,-508.00,20261001,1,12,1,0.01,152.04100000,152.05000000,109.67900,-508.00
1632129300,0.00,20261001,0,14,1,0.01,150.54300000,151.12400000,109.42300,0.00
1632164796,1162.00,20261001,1,14,0,0.01,149.38100000,151.12400000,109.42300,1162.00
1632219300,0.00,20261001,0,16,0,0.01,149.92500000,149.17500000,109.20900,0.00
1632241829,-754.00,20261001,1,16,1,0.01,149.17100000,149.17500000,109.20900,-754.00
1632476700,0.00,20261001,0,18,0,0.01,151.70100000,151.22200000,110.72500,0.00
1632482011,-488.00,20261001,1,18,1,0.01,151.21300000,151.22200000,110.72500,-488.00
1632482100,0.00,20261001,0,20,1,0.06,151.18300000,151.64700000,110.72500,0.00
1632520800,-1044.00,20261001,1,20,0,0.06,151.35700000,151.64700000,110.72500,-1044.00
1632910500,0.00,20261001,0,22,1,0.06,150.50400000,151.19500000,111.94900,0.00
1632952800,294.00,20261001,1,22,0,0.06,150.45500000,151.19500000,111.94900,294.00
1633081500,0.00,20261001,0,24,1,0.01,149.47700000,150.17100000,111.06100,0.00
1633094967,-694.00,20261001,1,24,0,0.01,150.17100000,150.17100000,111.06100,-694.00
1633428000,0.00,20261001,0,26,0,0.01,151.20500000,150.74500000,111.45100,0.00
1633471200,744.00,20261001,1,26,1,0.01,151.94900000,150.74500000,111.45100,744.00
1637054100,0.00,20261001,0,28,0,0.01,153.56200000,152.95500000,114.80900,0.00
1637100000,457.00,20261001,1,28,1,0.01,154.01900000,152.95500000,114.80900,457.00
1637659800,0.00,20261001,0,30,1,0.06,153.68200000,154.21500000,115.11500,0.00
