time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1625733000,0.00,20261001,0,2,1,0.01,152.17200000,152.74300000,109.58100,0.00
1625751040,1142.00,20261001,1,2,0,0.01,151.03000000,152.74300000,109.58100,1142.00
1625818500,0.00,20261001,0,4,0,0.01,151.64900000,151.02800000,110.09200,0.00
1625863601,1244.00,20261001,1,4,1,0.01,152.89300000,151.02800000,110.09200,1244.00
1626419700,0.00,20261001,0,6,0,0.01,152.24400000,151.75700000,110.07200,0.00
1626456271,-494.00,20261001,1,6,1,0.01,151.75000000,151.75700000,110.07200,-494.00
1628147700,0.00,20261001,0,8,0,0.01,152.38400000,151.98800000,109.76300,0.00
1628200800,520.00,20261001,1,8,1,0.01,152.90400000,151.98800000,109.76300,520.00
1629270900,0.00,20261001,0,10,0,0.01,150.85000000,150.22700000,109.75700,0.00
1629324000,371.00,20261001,1,10,1,0.01,151.22100000,150.22700000,109.75700,371.00
1629706500,0.00,20261001,0,12,0,0.01,150.05800000,149.19000000,109.68600,0.00
1629756000,536.00,20261001,1,12,1,0.01,150.59400000,149.19000000,109.68600,536.00
1630395000,0.00,20261001,0,14,0,0.01,151.43900000,151.08600000,109.99200,0.00
1630424371,-355.00,20261001,1,14,1,0.01,151.08400000,151.08600000,109.99200,-355.00
1631173500,0.00,20261001,0,16,1,0.01,151.58300000,151.87200000,109.68700,0.00
1631190395,-289.00,20261001,1,16,0,0.01,151.87200000,151.87200000,109.68700,-289.00
1631780100,0.00,20261001,0,18,1,0.01,151.15100000,151.56900000,109.70500,0.00
1631829600,-128.00,20261001,1,18,0,0.01,151.27900000,151.56900000,109.70500,-128.00
1631863800,0.00,20261001,0,20,0,0.01,151.58900000,151.16000000,109.96400,0.00
1631901079,-429.00,20261001,1,20,1,0.01,151.16000000,151.16000000,109.96400,-429.00
1632208500,0.00,20261001,0,22,0,0.01,149.89700000,149.17500000,109.20900,0.00
1632241829,-726.00,20261001,1,22,1,0.01,149.17100000,149.17500000,109.20900,-726.00
1632384000,0.00,20261001,0,24,0,0.01,149.85500000,149.35200000,110.31400,0.00
1632408454,1006.00,20261001,1,24,1,0.01,150.86100000,149.35200000,110.31400,1006.00
1632818700,0.00,20261001,0,26,0,0.01,152.49000000,151.91100000,111.46200,0.00
1632833441,-579.00,20261001,1,26,1,0.01,151.91100000,151.91100000,111.46200,-579.00
1632987000,0.00,20261001,0,28,0,0.01,150.61700000,150.20300000,111.26300,0.00
1633027659,-414.00,20261001,1,28,1,0.01,150.20300000,150.20300000,111.26300,-414.00
1633073400,0.00,20261001,0,30,1,0.01,149.53300000,150.17100000,111.06100,0.00
1633094967,-638.00,20261001,1,30,0,0.01,150.17100000,150.17100000,111.06100,-638.00
1633941900,0.00,20261001,0,32,0,0.01,153.81000000,152.60600000,113.24900,0.00
1633989600,426.00,20261001,1,32,1,0.01,154.23600000,152.60600000,113.24900,426.00
1634112900,0.00,20261001,0,34,0,0.01,154.54200000,154.10700000,113.23900,0.00
1634162400,98.00,20261001,1,34,1,0.01,154.64000000,154.10700000,113.23900,98.00
1634283000,0.00,20261001,0,36,0,0.01,155.98300000,155.37400000,114.24300,0.00
1634306558,1219.00,20261001,1,36,1,0.01,157.20200000,155.37400000,114.24300,1219.00
1634800500,0.00,20261001,0,38,1,0.06,157.61800000,158.20300000,113.95800,0.00
1634853600,3444.00,20261001,1,38,0,0.06,157.04400000,158.20300000,113.95800,3444.00
1635754500,0.00,20261001,0,40,0,0.01,156.37800000,155.88400000,113.98600,0.00
1635768088,-505.00,20261001,1,40,1,0.01,155.87300000,155.88400000,113.98600,-505.00
1635839100,0.00,20261001,0,42,1,0.01,155.19800000,155.89000000,113.94900,0.00
1635890400,16.00,20261001,1,42,0,0.01,155.18200000,155.89000000,113.94900,16.00
1637138700,0.00,20261001,0,44,0,0.01,154.35200000,153.91800000,113.97700,0.00
1637178208,-434.00,20261001,1,44,1,0.01,153.91800000,153.91800000,113.97700,-434.00
1637829900,0.00,20261001,0,46,0,0.01,154.05800000,153.71900000,115.31000,0.00
1637843186,-339.00,20261001,1,46,1,0.01,153.71900000,153.71900000,115.31000,-339.00
1638173700,0.00,20261001,0,48,1,0.01,150.95800000,151.90400000,113.51500,0.00
1638223200,-187.00,20261001,1,48,0,0.01,151.14500000,151.90400000,113.51500,-187.00
1638256500,0.00,20261001,0,50,1,0.06,150.94700000,151.63100000,113.13800,0.00
1638309600,4146.00,20261001,1,50,0,0.06,150.25600000,151.63100000,113.13800,4146.00
1638346500,0.00,20261001,0,52,0,0.01,151.26700000,150.30800000,112.76000,0.00
1638380142,-967.00,20261001,1,52,1,0.01,150.30000000,150.30800000,112.76000,-967.00
