time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624439700,0.00,20261001,0,2,0,0.01,154.53400000,154.09900000,110.94200,0.00
1624485600,413.00,20261001,1,2,1,0.01,154.94700000,154.09900000,110.94200,413.00
1625563800,0.00,20261001,0,4,0,0.01,153.97800000,153.42000000,110.60500,0.00
1625573735,-566.00,20261001,1,4,1,0.01,153.41200000,153.42000000,110.60500,-566.00
1625650200,0.00,20261001,0,6,0,0.06,152.90900000,152.32900000,110.60100,0.00
1625679298,-3480.00,20261001,1,6,1,0.06,152.32900000,152.32900000,110.60100,-3480.00
1625733000,0.00,20261001,0,8,1,0.01,152.17200000,152.74300000,109.58100,0.00
1625751040,1142.00,20261001,1,8,0,0.01,151.03000000,152.74300000,109.58100,1142.00
1625818500,0.00,20261001,0,10,0,0.01,151.64900000,151.02800000,110.09200,0.00
1625863601,1244.00,20261001,1,10,1,0.01,152.89300000,151.02800000,110.09200,1244.00
1626774300,0.00,20261001,0,12,1,0.06,149.38500000,149.97200000,109.81400,0.00
1626780701,-3522.00,20261001,1,12,0,0.06,149.97200000,149.97200000,109.81400,-3522.00
1626858900,0.00,20261001,0,14,1,0.06,149.37800000,149.96600000,110.28500,0.00
1626866608,-3600.00,20261001,1,14,0,0.06,149.97800000,149.96600000,110.28500,-3600.00
1627292700,0.00,20261001,0,16,1,0.01,151.56900000,152.15900000,110.36200,0.00
1627302397,-590.00,20261001,1,16,0,0.01,152.15900000,152.15900000,110.36200,-590.00
1627551000,0.00,20261001,0,18,0,0.01,152.98100000,152.51300000,109.46400,0.00
1627596000,-61.00,20261001,1,18,1,0.01,152.92000000,152.51300000,109.46400,-61.00
1628068500,0.00,20261001,0,20,0,0.01,151.96800000,151.53100000,109.46900,0.00
1628090322,-437.00,20261001,1,20,1,0.01,151.53100000,151.53100000,109.46900,-437.00
1628674200,0.00,20261001,0,22,0,0.01,153.10000000,152.78700000,110.40500,0.00
1628719200,39.00,20261001,1,22,1,0.01,153.13900000,152.78700000,110.40500,39.00
1629192600,0.00,20261001,0,24,1,0.06,150.97500000,151.33600000,109.54600,0.00
1629237600,2856.00,20261001,1,24,0,0.06,150.49900000,151.33600000,109.54600,2856.00
1629365400,0.00,20261001,0,26,1,0.06,150.71500000,151.21300000,109.66800,0.00
1629374699,5976.00,20261001,1,26,0,0.06,149.71900000,151.21300000,109.66800,5976.00
1629706500,0.00,20261001,0,28,0,0.01,150.05800000,149.19000000,109.68600,0.00
1629756000,536.00,20261001,1,28,1,0.01,150.59400000,149.19000000,109.68600,536.00
1629792900,0.00,20261001,0,30,0,0.01,150.85800000,150.34700000,109.50200,0.00
1629804137,-511.00,20261001,1,30,1,0.01,150.34700000,150.34700000,109.50200,-511.00
1630397700,0.00,20261001,0,32,0,0.01,151.48200000,151.08600000,109.99200,0.00
1630424371,-398.00,20261001,1,32,1,0.01,151.08400000,151.08600000,109.99200,-398.00
1631178000,0.00,20261001,0,34,1,0.01,151.48700000,151.87200000,109.68700,0.00
1631190395,-385.00,20261001,1,34,0,0.01,151.87200000,151.87200000,109.68700,-385.00
1631266200,0.00,20261001,0,36,0,0.01,152.21400000,151.70600000,109.89200,0.00
1631311200,-54.00,20261001,1,36,1,0.01,152.16000000,151.70600000,109.89200,-54.00
1631780100,0.00,20261001,0,38,1,0.01,151.15100000,151.56900000,109.70500,0.00
1631829600,-128.00,20261001,1,38,0,0.01,151.27900000,151.56900000,109.70500,-128.00
1631866500,0.00,20261001,0,40,0,0.01,151.68700000,151.16000000,109.96400,0.00
1631901079,-527.00,20261001,1,40,1,0.01,151.16000000,151.16000000,109.96400,-527.00
