time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624360500,0.00,20261001,0,2,1,0.01,153.27500000,153.77200000,110.60500,0.00
1624378052,-497.00,20261001,1,2,0,0.01,153.77200000,153.77200000,110.60500,-497.00
1624619700,0.00,20261001,0,4,1,0.01,153.96300000,154.53300000,110.76800,0.00
1624658400,162.00,20261001,1,4,0,0.01,153.80100000,154.53300000,110.76800,162.00
1625831100,0.00,20261001,0,6,0,0.01,151.74100000,151.02800000,110.09200,0.00
1625868000,1260.00,20261001,1,6,1,0.01,153.00100000,151.02800000,110.09200,1260.00
1626174900,0.00,20261001,0,8,1,0.01,152.97700000,153.48400000,110.62200,0.00
1626213600,125.00,20261001,1,8,0,0.01,152.85200000,153.48400000,110.62200,125.00
1626434100,0.00,20261001,0,10,0,0.01,152.31600000,151.75700000,110.07200,0.00
1626456271,-566.00,20261001,1,10,1,0.01,151.75000000,151.75700000,110.07200,-566.00
1626695100,0.00,20261001,0,12,1,0.01,150.41600000,151.52700000,109.37600,0.00
1626732000,883.00,20261001,1,12,0,0.01,149.53300000,151.52700000,109.37600,883.00
1626867000,0.00,20261001,0,14,0,0.01,150.04000000,149.28600000,110.28500,0.00
1626904800,1197.00,20261001,1,14,1,0.01,151.23700000,149.28600000,110.28500,1197.00
1628507700,0.00,20261001,0,16,1,0.01,152.68700000,153.07000000,110.21300,0.00
1628546400,-99.00,20261001,1,16,0,0.01,152.78600000,153.07000000,110.21300,-99.00
1628594100,0.00,20261001,0,18,0,0.01,153.12900000,152.61700000,110.54500,0.00
1628632800,-95.00,20261001,1,18,1,0.01,153.03400000,152.61700000,110.54500,-95.00
1628854200,0.00,20261001,0,20,1,0.06,152.12500000,152.58100000,109.58700,0.00
1628892000,816.00,20261001,1,20,0,0.06,151.98900000,152.58100000,109.58700,816.00
1629804600,0.00,20261001,0,22,1,0.06,150.34200000,151.01000000,109.50200,0.00
1629842400,-1644.00,20261001,1,22,0,0.06,150.61600000,151.01000000,109.50200,-1644.00
1629891000,0.00,20261001,0,24,0,0.01,150.90000000,150.36400000,109.99900,0.00
1629928800,457.00,20261001,1,24,1,0.01,151.35700000,150.36400000,109.99900,457.00
1631099700,0.00,20261001,0,26,1,0.01,151.59400000,152.09200000,110.21400,0.00
1631138400,-308.00,20261001,1,26,0,0.01,151.90200000,152.09200000,110.21400,-308.00
1631879100,0.00,20261001,0,28,0,0.01,151.84800000,151.16000000,109.96400,0.00
1631901079,-688.00,20261001,1,28,1,0.01,151.16000000,151.16000000,109.96400,-688.00
1632395700,0.00,20261001,0,30,0,0.01,150.26600000,149.35200000,110.31400,0.00
1632434400,1119.00,20261001,1,30,1,0.01,151.38500000,149.35200000,110.31400,1119.00
1632482100,0.00,20261001,0,32,1,0.06,151.18300000,151.73500000,110.72500,0.00
1632520800,-1044.00,20261001,1,32,0,0.06,151.35700000,151.73500000,110.72500,-1044.00
1632742200,0.00,20261001,0,34,0,0.01,151.82500000,151.12300000,110.99400,0.00
1632780000,353.00,20261001,1,34,1,0.01,152.17800000,151.12300000,110.99400,353.00
1632914100,0.00,20261001,0,36,1,0.01,150.41900000,151.19500000,111.94900,0.00
1632952800,-36.00,20261001,1,36,0,0.01,150.45500000,151.19500000,111.94900,-36.00
