time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1625563800,0.00,20261001,0,2,0,0.01,153.97800000,153.54100000,110.60500,0.00
1625570198,-437.00,20261001,1,2,1,0.01,153.54100000,153.54100000,110.60500,-437.00
1625648400,0.00,20261001,0,4,0,0.01,152.75200000,152.32900000,110.60100,0.00
1625679298,-423.00,20261001,1,4,1,0.01,152.32900000,152.32900000,110.60100,-423.00
1625733000,0.00,20261001,0,6,1,0.01,152.17200000,152.74300000,109.58100,0.00
1625751040,1142.00,20261001,1,6,0,0.01,151.03000000,152.74300000,109.58100,1142.00
1625818500,0.00,20261001,0,8,0,0.01,151.64900000,151.16900000,110.09200,0.00
1625849682,967.00,20261001,1,8,1,0.01,152.61600000,151.16900000,110.09200,967.00
1626419700,0.00,20261001,0,10,0,0.01,152.24400000,151.75700000,110.07200,0.00
1626456271,-494.00,20261001,1,10,1,0.01,151.75000000,151.75700000,110.07200,-494.00
1626765300,0.00,20261001,0,12,1,0.01,149.52700000,149.97200000,109.81400,0.00
1626780701,-445.00,20261001,1,12,0,0.01,149.97200000,149.97200000,109.81400,-445.00
1626858900,0.00,20261001,0,14,1,0.01,149.37800000,149.96600000,110.28500,0.00
1626866608,-600.00,20261001,1,14,0,0.01,149.97800000,149.96600000,110.28500,-600.00
1627292700,0.00,20261001,0,16,1,0.01,151.56900000,152.15900000,110.36200,0.00
1627302397,-590.00,20261001,1,16,0,0.01,152.15900000,152.15900000,110.36200,-590.00
1627550100,0.00,20261001,0,18,0,0.01,152.97600000,152.51300000,109.46400,0.00
1627596000,-56.00,20261001,1,18,1,0.01,152.92000000,152.51300000,109.46400,-56.00
1628068500,0.00,20261001,0,20,0,0.01,151.96800000,151.53100000,109.46900,0.00
1628090322,-437.00,20261001,1,20,1,0.01,151.53100000,151.53100000,109.46900,-437.00
1628147700,0.00,20261001,0,22,0,0.01,152.38400000,151.98800000,109.76300,0.00
1628200800,520.00,20261001,1,22,1,0.01,152.90400000,151.98800000,109.76300,520.00
1629192600,0.00,20261001,0,24,1,0.01,150.97500000,151.33600000,109.54600,0.00
1629237600,476.00,20261001,1,24,0,0.01,150.49900000,151.33600000,109.54600,476.00
1629270900,0.00,20261001,0,26,0,0.01,150.85000000,150.43700000,109.75700,0.00
1629324000,371.00,20261001,1,26,1,0.01,151.22100000,150.43700000,109.75700,371.00
1629364500,0.00,20261001,0,28,1,0.06,150.86700000,151.21300000,109.66800,0.00
1629371259,4158.00,20261001,1,28,0,0.06,150.17400000,151.21300000,109.66800,4158.00
1629706500,0.00,20261001,0,30,0,0.01,150.05800000,149.25100000,109.68600,0.00
1629756000,536.00,20261001,1,30,1,0.01,150.59400000,149.25100000,109.68600,536.00
1630395000,0.00,20261001,0,32,0,0.01,151.43900000,151.08700000,109.99200,0.00
1630424371,-355.00,20261001,1,32,1,0.01,151.08400000,151.08700000,109.99200,-355.00
1631173500,0.00,20261001,0,34,1,0.01,151.58300000,151.87200000,109.68700,0.00
1631190395,-289.00,20261001,1,34,0,0.01,151.87200000,151.87200000,109.68700,-289.00
1631264400,0.00,20261001,0,36,0,0.01,152.20900000,151.78000000,109.89200,0.00
1631311200,-49.00,20261001,1,36,1,0.01,152.16000000,151.78000000,109.89200,-49.00
1631780100,0.00,20261001,0,38,1,0.01,151.15100000,151.56900000,109.70500,0.00
1631829600,-128.00,20261001,1,38,0,0.01,151.27900000,151.56900000,109.70500,-128.00
1631863800,0.00,20261001,0,40,0,0.01,151.58900000,151.30400000,109.96400,0.00
1631899001,-285.00,20261001,1,40,1,0.01,151.30400000,151.30400000,109.96400,-285.00
