time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624360500,0.00,20261001,0,2,1,0.01,153.27500000,153.77200000,110.60500,0.00
1624378052,-497.00,20261001,1,2,0,0.01,153.77200000,153.77200000,110.60500,-497.00
1624454100,0.00,20261001,0,4,0,0.01,155.13200000,154.23300000,110.94200,0.00
1624485600,-185.00,20261001,1,4,1,0.01,154.94700000,154.23300000,110.94200,-185.00
1624544100,0.00,20261001,0,6,1,0.01,154.29700000,155.14300000,110.85200,0.00
1624572000,-93.00,20261001,1,6,0,0.01,154.39000000,155.14300000,110.85200,-93.00
1624619700,0.00,20261001,0,8,1,0.01,153.96300000,154.53300000,110.76800,0.00
1624658400,162.00,20261001,1,8,0,0.01,153.80100000,154.53300000,110.76800,162.00
1624968000,0.00,20261001,0,10,1,0.01,153.02800000,153.53900000,110.45200,0.00
1625004000,-37.00,20261001,1,10,0,0.01,153.06500000,153.53900000,110.45200,-37.00
1625062500,0.00,20261001,0,12,0,0.06,153.21800000,152.69900000,111.09200,0.00
1625090400,696.00,20261001,1,12,1,0.06,153.33400000,152.69900000,111.09200,696.00
1625571000,0.00,20261001,0,14,1,0.06,153.51000000,154.07100000,110.60500,0.00
1625600070,6744.00,20261001,1,14,0,0.06,152.38600000,154.07100000,110.60500,6744.00
1625663700,0.00,20261001,0,16,0,0.01,153.01000000,152.32900000,110.60100,0.00
1625679298,-681.00,20261001,1,16,1,0.01,152.32900000,152.32900000,110.60100,-681.00
1625831100,0.00,20261001,0,18,0,0.01,151.74100000,151.16900000,110.09200,0.00
1625863542,1148.00,20261001,1,18,1,0.01,152.88900000,151.16900000,110.09200,1148.00
1626091200,0.00,20261001,0,20,1,0.01,152.58700000,153.25300000,110.34800,0.00
1626109625,-666.00,20261001,1,20,0,0.01,153.25300000,153.25300000,110.34800,-666.00
1626174900,0.00,20261001,0,22,1,0.01,152.97700000,153.48400000,110.62200,0.00
1626213600,125.00,20261001,1,22,0,0.01,152.85200000,153.48400000,110.62200,125.00
1626270300,0.00,20261001,0,24,0,0.01,153.23300000,152.60500000,109.94300,0.00
1626285462,-631.00,20261001,1,24,1,0.01,152.60200000,152.60500000,109.94300,-631.00
1626354900,0.00,20261001,0,26,0,0.06,152.62400000,151.60400000,109.80400,0.00
1626386400,-5736.00,20261001,1,26,1,0.06,151.66800000,151.60400000,109.80400,-5736.00
1626434100,0.00,20261001,0,28,0,0.01,152.31600000,151.75700000,110.07200,0.00
1626456271,-566.00,20261001,1,28,1,0.01,151.75000000,151.75700000,110.07200,-566.00
1626695100,0.00,20261001,0,30,1,0.01,150.41600000,151.51900000,109.37600,0.00
1626732000,883.00,20261001,1,30,0,0.01,149.53300000,151.51900000,109.37600,883.00
1626788700,0.00,20261001,0,32,1,0.01,149.16700000,149.97200000,109.81400,0.00
1626818400,-476.00,20261001,1,32,0,0.01,149.64300000,149.97200000,109.81400,-476.00
1626867000,0.00,20261001,0,34,0,0.01,150.04000000,149.28600000,110.28500,0.00
1626904800,1197.00,20261001,1,34,1,0.01,151.23700000,149.28600000,110.28500,1197.00
1626961500,0.00,20261001,0,36,0,0.01,151.85000000,150.73500000,110.09300,0.00
1626991200,-138.00,20261001,1,36,1,0.01,151.71200000,150.73500000,110.09300,-138.00
