time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1626419700,0.00,20261001,0,2,0,0.01,152.24400000,151.75700000,110.07200,0.00
1626456271,-494.00,20261001,1,2,1,0.01,151.75000000,151.75700000,110.07200,-494.00
1626765300,0.00,20261001,0,4,1,0.01,149.52700000,149.97200000,109.81400,0.00
1626780701,-445.00,20261001,1,4,0,0.01,149.97200000,149.97200000,109.81400,-445.00
1629270900,0.00,20261001,0,6,0,0.01,150.85000000,150.43700000,109.75700,0.00
1629324000,371.00,20261001,1,6,1,0.01,151.22100000,150.43700000,109.75700,371.00
1631173500,0.00,20261001,0,8,1,0.01,151.58300000,151.84300000,109.68700,0.00
1631190375,-260.00,20261001,1,8,0,0.01,151.84300000,151.84300000,109.68700,-260.00
1631863800,0.00,20261001,0,10,0,0.01,151.58900000,151.31300000,109.96400,0.00
1631899001,-285.00,20261001,1,10,1,0.01,151.30400000,151.31300000,109.96400,-285.00
1632208500,0.00,20261001,0,12,0,0.01,149.89700000,149.34000000,109.20900,0.00
1632240091,-557.00,20261001,1,12,1,0.01,149.34000000,149.34000000,109.20900,-557.00
1633073400,0.00,20261001,0,14,1,0.01,149.53300000,150.17100000,111.06100,0.00
1633094967,-638.00,20261001,1,14,0,0.01,150.17100000,150.17100000,111.06100,-638.00
1634283000,0.00,20261001,0,16,0,0.01,155.98300000,155.49600000,114.24300,0.00
1634299600,977.00,20261001,1,16,1,0.01,156.96000000,155.49600000,114.24300,977.00
1635839100,0.00,20261001,0,18,1,0.01,155.19800000,155.89000000,113.94900,0.00
1635890400,16.00,20261001,1,18,0,0.01,155.18200000,155.89000000,113.94900,16.00
1638171000,0.00,20261001,0,20,1,0.01,151.23500000,151.87100000,113.51500,0.00
1638223200,90.00,20261001,1,20,0,0.01,151.14500000,151.87100000,113.51500,90.00
1638256500,0.00,20261001,0,22,1,0.01,150.94700000,151.63100000,113.13800,0.00
1638309600,691.00,20261001,1,22,0,0.01,150.25600000,151.63100000,113.13800,691.00
1642404600,0.00,20261001,0,24,0,0.01,156.57900000,156.19800000,114.59400,0.00
1642456800,-233.00,20261001,1,24,1,0.01,156.34600000,156.19800000,114.59400,-233.00
1642576500,0.00,20261001,0,26,1,0.01,155.54200000,156.07900000,114.31200,0.00
1642597145,-537.00,20261001,1,26,0,0.01,156.07900000,156.07900000,114.31200,-537.00
1642662900,0.00,20261001,0,28,0,0.01,155.99800000,155.44200000,114.08000,0.00
1642687588,-557.00,20261001,1,28,1,0.01,155.44100000,155.44200000,114.08000,-557.00
1643354100,0.00,20261001,0,30,0,0.01,154.78100000,154.37800000,115.23600,0.00
1643368101,-407.00,20261001,1,30,1,0.01,154.37400000,154.37800000,115.23600,-407.00
1645427700,0.00,20261001,0,32,0,0.01,156.66200000,156.12400000,114.72800,0.00
1645459063,-546.00,20261001,1,32,1,0.01,156.11600000,156.12400000,114.72800,-546.00
1646291700,0.00,20261001,0,34,0,0.01,155.09100000,154.63600000,115.45100,0.00
1646322640,-455.00,20261001,1,34,1,0.01,154.63600000,154.63600000,115.45100,-455.00
1646982900,0.00,20261001,0,36,0,0.01,152.60500000,152.00400000,117.24400,0.00
1647036000,399.00,20261001,1,36,1,0.01,153.00400000,152.00400000,117.24400,399.00
1647934200,0.00,20261001,0,38,0,0.01,157.98400000,157.30500000,120.76300,0.00
