time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1625733000,0.00,20261001,0,2,1,0.01,152.17200000,152.69300000,109.58100,0.00
1625750500,1042.00,20261001,1,2,0,0.01,151.13000000,152.69300000,109.58100,1042.00
1625818500,0.00,20261001,0,4,0,0.01,151.64900000,151.16900000,110.09200,0.00
1625849682,967.00,20261001,1,4,1,0.01,152.61600000,151.16900000,110.09200,967.00
1626419700,0.00,20261001,0,6,0,0.01,152.24400000,151.75700000,110.07200,0.00
1626456271,-494.00,20261001,1,6,1,0.01,151.75000000,151.75700000,110.07200,-494.00
1626765300,0.00,20261001,0,8,1,0.01,149.52700000,149.97200000,109.81400,0.00
1626780701,-445.00,20261001,1,8,0,0.01,149.97200000,149.97200000,109.81400,-445.00
1629270900,0.00,20261001,0,10,0,0.01,150.85000000,150.43700000,109.75700,0.00
1629324000,371.00,20261001,1,10,1,0.01,151.22100000,150.43700000,109.75700,371.00
1629706500,0.00,20261001,0,12,0,0.01,150.05800000,149.61500000,109.68600,0.00
1629756000,536.00,20261001,1,12,1,0.01,150.59400000,149.61500000,109.68600,536.00
1631173500,0.00,20261001,0,14,1,0.01,151.58300000,151.84300000,109.68700,0.00
1631190375,-260.00,20261001,1,14,0,0.01,151.84300000,151.84300000,109.68700,-260.00
1631780100,0.00,20261001,0,16,1,0.01,151.15100000,151.56900000,109.70500,0.00
1631829600,-128.00,20261001,1,16,0,0.01,151.27900000,151.56900000,109.70500,-128.00
1631863800,0.00,20261001,0,18,0,0.01,151.58900000,151.31300000,109.96400,0.00
1631899001,-285.00,20261001,1,18,1,0.01,151.30400000,151.31300000,109.96400,-285.00
1632208500,0.00,20261001,0,20,0,0.01,149.89700000,149.34000000,109.20900,0.00
1632240091,-557.00,20261001,1,20,1,0.01,149.34000000,149.34000000,109.20900,-557.00
1632384000,0.00,20261001,0,22,0,0.01,149.85500000,149.49700000,110.31400,0.00
1632406118,716.00,20261001,1,22,1,0.01,150.57100000,149.49700000,110.31400,716.00
1632818700,0.00,20261001,0,24,0,0.01,152.49000000,151.91100000,111.46200,0.00
1632833441,-579.00,20261001,1,24,1,0.01,151.91100000,151.91100000,111.46200,-579.00
1633073400,0.00,20261001,0,26,1,0.01,149.53300000,150.17100000,111.06100,0.00
1633094967,-638.00,20261001,1,26,0,0.01,150.17100000,150.17100000,111.06100,-638.00
1633941900,0.00,20261001,0,28,0,0.01,153.81000000,152.79400000,113.24900,0.00
1633989600,426.00,20261001,1,28,1,0.01,154.23600000,152.79400000,113.24900,426.00
1634112900,0.00,20261001,0,30,0,0.01,154.54200000,154.10700000,113.23900,0.00
1634162400,98.00,20261001,1,30,1,0.01,154.64000000,154.10700000,113.23900,98.00
1634283000,0.00,20261001,0,32,0,0.01,155.98300000,155.49600000,114.24300,0.00
1634299600,977.00,20261001,1,32,1,0.01,156.96000000,155.49600000,114.24300,977.00
1635754500,0.00,20261001,0,34,0,0.06,156.37800000,155.91500000,113.98600,0.00
1635768065,-2778.00,20261001,1,34,1,0.06,155.91500000,155.91500000,113.98600,-2778.00
1635839100,0.00,20261001,0,36,1,0.01,155.19800000,155.89000000,113.94900,0.00
1635890400,16.00,20261001,1,36,0,0.01,155.18200000,155.89000000,113.94900,16.00
1637138700,0.00,20261001,0,38,0,0.06,154.35200000,153.91800000,113.97700,0.00
1637178208,-2604.00,20261001,1,38,1,0.06,153.91800000,153.91800000,113.97700,-2604.00
1637914500,0.00,20261001,0,40,1,0.01,152.44000000,153.24600000,113.24100,0.00
1637949462,1626.00,20261001,1,40,0,0.01,150.81400000,153.24600000,113.24100,1626.00
1638171000,0.00,20261001,0,42,1,0.01,151.23500000,151.87100000,113.51500,0.00
1638223200,90.00,20261001,1,42,0,0.01,151.14500000,151.87100000,113.51500,90.00
1638256500,0.00,20261001,0,44,1,0.01,150.94700000,151.63100000,113.13800,0.00
1638309600,691.00,20261001,1,44,0,0.01,150.25600000,151.63100000,113.13800,691.00
1638346500,0.00,20261001,0,46,0,0.01,151.26700000,150.40600000,112.76000,0.00
1638380061,-864.00,20261001,1,46,1,0.01,150.40300000,150.40600000,112.76000,-864.00
