time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624360500,0.00,20261001,0,2,1,0.01,153.27500000,153.77200000,110.60500,0.00
1624378052,-497.00,20261001,1,2,0,0.01,153.77200000,153.77200000,110.60500,-497.00
1624874400,0.00,20261001,0,4,0,0.06,154.13100000,153.59000000,110.60900,0.00
1624903123,-3264.00,20261001,1,4,1,0.06,153.58700000,153.59000000,110.60900,-3264.00
1625563800,0.00,20261001,0,6,0,0.01,153.97800000,153.54100000,110.60500,0.00
1625570198,-437.00,20261001,1,6,1,0.01,153.54100000,153.54100000,110.60500,-437.00
1625571000,0.00,20261001,0,8,1,0.06,153.51000000,153.96000000,110.60500,0.00
1625594129,5430.00,20261001,1,8,0,0.06,152.60500000,153.96000000,110.60500,5430.00
1625648400,0.00,20261001,0,10,0,0.06,152.75200000,152.32900000,110.60100,0.00
1625679298,-2538.00,20261001,1,10,1,0.06,152.32900000,152.32900000,110.60100,-2538.00
1625733000,0.00,20261001,0,12,1,0.01,152.17200000,152.69300000,109.58100,0.00
1625750500,1042.00,20261001,1,12,0,0.01,151.13000000,152.69300000,109.58100,1042.00
1625818500,0.00,20261001,0,14,0,0.01,151.64900000,151.16900000,110.09200,0.00
1625849682,967.00,20261001,1,14,1,0.01,152.61600000,151.16900000,110.09200,967.00
1626086700,0.00,20261001,0,16,1,0.01,152.76100000,153.25300000,110.34800,0.00
1626109625,-492.00,20261001,1,16,0,0.01,153.25300000,153.25300000,110.34800,-492.00
1626345000,0.00,20261001,0,18,1,0.01,151.73000000,152.45600000,109.80400,0.00
1626354212,-730.00,20261001,1,18,0,0.01,152.46000000,152.45600000,109.80400,-730.00
1626434100,0.00,20261001,0,20,0,0.01,152.31600000,151.75700000,110.07200,0.00
1626456271,-566.00,20261001,1,20,1,0.01,151.75000000,151.75700000,110.07200,-566.00
1626689700,0.00,20261001,0,22,1,0.01,150.97200000,151.38500000,109.37600,0.00
1626707485,826.00,20261001,1,22,0,0.01,150.14600000,151.38500000,109.37600,826.00
1626774300,0.00,20261001,0,24,1,0.01,149.38500000,149.97200000,109.81400,0.00
1626780701,-587.00,20261001,1,24,0,0.01,149.97200000,149.97200000,109.81400,-587.00
1626858900,0.00,20261001,0,26,1,0.01,149.37800000,149.96600000,110.28500,0.00
1626866608,-600.00,20261001,1,26,0,0.01,149.97800000,149.96600000,110.28500,-600.00
1626867000,0.00,20261001,0,28,0,0.06,150.04000000,149.48600000,110.28500,0.00
1626897763,6678.00,20261001,1,28,1,0.06,151.15300000,149.48600000,110.28500,6678.00
1626948000,0.00,20261001,0,30,0,0.06,151.28200000,150.73500000,110.09300,0.00
1626991200,2580.00,20261001,1,30,1,0.06,151.71200000,150.73500000,110.09300,2580.00
1627292700,0.00,20261001,0,32,1,0.01,151.56900000,152.12500000,110.36200,0.00
1627302386,-556.00,20261001,1,32,0,0.01,152.12500000,152.12500000,110.36200,-556.00
1627551000,0.00,20261001,0,34,0,0.01,152.98100000,152.51300000,109.46400,0.00
1627596000,-61.00,20261001,1,34,1,0.01,152.92000000,152.51300000,109.46400,-61.00
1628068500,0.00,20261001,0,36,0,0.01,151.96800000,151.53100000,109.46900,0.00
