time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624443300,0.00,20261001,0,2,0,0.01,154.85400000,154.23300000,110.94200,0.00
1624485600,93.00,20261001,1,2,1,0.01,154.94700000,154.23300000,110.94200,93.00
1624875300,0.00,20261001,0,4,0,0.01,154.20100000,153.59000000,110.60900,0.00
1624903123,-614.00,20261001,1,4,1,0.01,153.58700000,153.59000000,110.60900,-614.00
1625134500,0.00,20261001,0,6,0,0.06,153.83700000,153.35200000,111.51300,0.00
1625176800,-1818.00,20261001,1,6,1,0.06,153.53400000,153.35200000,111.51300,-1818.00
1625739300,0.00,20261001,0,8,1,0.01,151.57000000,152.69300000,109.58100,0.00
1625781600,311.00,20261001,1,8,0,0.01,151.25900000,152.69300000,109.58100,311.00
1626086700,0.00,20261001,0,10,1,0.01,152.76100000,153.25300000,110.34800,0.00
1626109625,-492.00,20261001,1,10,0,0.01,153.25300000,153.25300000,110.34800,-492.00
1626171300,0.00,20261001,0,12,1,0.01,153.08200000,153.48400000,110.62200,0.00
1626213600,230.00,20261001,1,12,0,0.01,152.85200000,153.48400000,110.62200,230.00
1626259500,0.00,20261001,0,14,0,0.01,153.01400000,152.60500000,109.94300,0.00
1626285462,-412.00,20261001,1,14,1,0.01,152.60200000,152.60500000,109.94300,-412.00
1626345000,0.00,20261001,0,16,1,0.01,151.73000000,152.45600000,109.80400,0.00
1626354212,-730.00,20261001,1,16,0,0.01,152.46000000,152.45600000,109.80400,-730.00
1626689700,0.00,20261001,0,18,1,0.01,150.97200000,151.38500000,109.37600,0.00
1626707485,826.00,20261001,1,18,0,0.01,150.14600000,151.38500000,109.37600,826.00
1626948900,0.00,20261001,0,20,0,0.01,151.50100000,150.73500000,110.09300,0.00
1626991200,211.00,20261001,1,20,1,0.01,151.71200000,150.73500000,110.09300,211.00
1627380900,0.00,20261001,0,22,1,0.01,151.89800000,152.58100000,109.75300,0.00
1627423200,-471.00,20261001,1,22,0,0.01,152.36900000,152.58100000,109.75300,-471.00
1627553700,0.00,20261001,0,24,0,0.01,153.20500000,152.51300000,109.46400,0.00
1627596000,-285.00,20261001,1,24,1,0.01,152.92000000,152.51300000,109.46400,-285.00
1628073900,0.00,20261001,0,26,0,0.01,152.13200000,151.53100000,109.46900,0.00
1628090322,-601.00,20261001,1,26,1,0.01,151.53100000,151.53100000,109.46900,-601.00
1628158500,0.00,20261001,0,28,0,0.01,152.52400000,152.02400000,109.76300,0.00
1628200800,380.00,20261001,1,28,1,0.01,152.90400000,152.02400000,109.76300,380.00
1628849700,0.00,20261001,0,30,1,0.01,152.24100000,152.55100000,109.58700,0.00
1628892000,252.00,20261001,1,30,0,0.01,151.98900000,152.55100000,109.58700,252.00
1629195300,0.00,20261001,0,32,1,0.01,150.51400000,151.33600000,109.54600,0.00
1629237600,15.00,20261001,1,32,0,0.01,150.49900000,151.33600000,109.54600,15.00
1629368100,0.00,20261001,0,34,1,0.01,150.55600000,151.21300000,109.66800,0.00
1629410400,817.00,20261001,1,34,0,0.01,149.73900000,151.21300000,109.66800,817.00
1629455400,0.00,20261001,0,36,1,0.01,149.20200000,149.88500000,109.79200,0.00
1629496800,-386.00,20261001,1,36,0,0.01,149.58800000,149.88500000,109.79200,-386.00
1629974700,0.00,20261001,0,38,0,0.06,151.54100000,151.14400000,110.07700,0.00
1629991409,-2382.00,20261001,1,38,1,0.06,151.14400000,151.14400000,110.07700,-2382.00
1630060200,0.00,20261001,0,40,0,0.01,150.93900000,150.45900000,109.84100,0.00
1630101600,267.00,20261001,1,40,1,0.01,151.20600000,150.45900000,109.84100,267.00
1630492200,0.00,20261001,0,42,0,0.01,151.69400000,151.26700000,109.96000,0.00
1630533600,-227.00,20261001,1,42,1,0.01,151.46700000,151.26700000,109.96000,-227.00
1630579500,0.00,20261001,0,44,0,0.01,151.74400000,151.34900000,109.92400,0.00
1630620000,441.00,20261001,1,44,1,0.01,152.18500000,151.34900000,109.92400,441.00
1631184300,0.00,20261001,0,46,1,0.01,151.46400000,151.84300000,109.68700,0.00
1631190375,-379.00,20261001,1,46,0,0.01,151.84300000,151.84300000,109.68700,-379.00
1631269800,0.00,20261001,0,48,0,0.01,152.49500000,151.78000000,109.89200,0.00
1631311200,-335.00,20261001,1,48,1,0.01,152.16000000,151.78000000,109.89200,-335.00
1631614500,0.00,20261001,0,50,0,0.01,152.54900000,152.17000000,109.67900,0.00
1631640279,-379.00,20261001,1,50,1,0.01,152.17000000,152.17000000,109.67900,-379.00
1632132900,0.00,20261001,0,52,1,0.01,150.10400000,151.04600000,109.42300,0.00
1632175200,859.00,20261001,1,52,0,0.01,149.24500000,151.04600000,109.42300,859.00
1632220200,0.00,20261001,0,54,0,0.01,150.06100000,149.34000000,109.20900,0.00
1632240091,-721.00,20261001,1,54,1,0.01,149.34000000,149.34000000,109.20900,-721.00
1632392100,0.00,20261001,0,56,0,0.01,150.10800000,149.49700000,110.31400,0.00
