time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1626765300,0.00,20261001,0,2,1,0.01,149.52700000,149.97200000,109.81400,0.00
1626780701,-445.00,20261001,1,2,0,0.01,149.97200000,149.97200000,109.81400,-445.00
1629270900,0.00,20261001,0,4,0,0.01,150.85000000,150.43700000,109.75700,0.00
1629324000,371.00,20261001,1,4,1,0.01,151.22100000,150.43700000,109.75700,371.00
1631863800,0.00,20261001,0,6,0,0.01,151.58900000,151.34300000,109.96400,0.00
1631898823,-254.00,20261001,1,6,1,0.01,151.33500000,151.34300000,109.96400,-254.00
1632208500,0.00,20261001,0,8,0,0.01,149.89700000,149.52600000,109.20900,0.00
1632237280,-371.00,20261001,1,8,1,0.01,149.52600000,149.52600000,109.20900,-371.00
1633073400,0.00,20261001,0,10,1,0.01,149.53300000,149.91500000,111.06100,0.00
1633090830,-382.00,20261001,1,10,0,0.01,149.91500000,149.91500000,111.06100,-382.00
1635491700,0.00,20261001,0,12,0,0.01,156.83400000,156.35600000,113.95200,0.00
1635527372,-485.00,20261001,1,12,1,0.01,156.34900000,156.35600000,113.95200,-485.00
1635839100,0.00,20261001,0,14,1,0.01,155.19800000,155.79000000,113.94900,0.00
1635890400,16.00,20261001,1,14,0,0.01,155.18200000,155.79000000,113.94900,16.00
1638171000,0.00,20261001,0,16,1,0.01,151.23500000,151.68200000,113.51500,0.00
1638202483,-463.00,20261001,1,16,0,0.01,151.69800000,151.68200000,113.51500,-463.00
1642576500,0.00,20261001,0,18,1,0.01,155.54200000,156.02300000,114.31200,0.00
1642595561,-481.00,20261001,1,18,0,0.01,156.02300000,156.02300000,114.31200,-481.00
1646982900,0.00,20261001,0,20,0,0.01,152.60500000,152.09500000,117.24400,0.00
1647036000,399.00,20261001,1,20,1,0.01,153.00400000,152.09500000,117.24400,399.00
1648192500,0.00,20261001,0,22,1,0.01,160.47200000,161.12100000,121.96800,0.00
1648226361,-656.00,20261001,1,22,0,0.01,161.12800000,161.12100000,121.96800,-656.00
1650354300,0.00,20261001,0,24,0,0.01,166.60200000,165.53100000,128.88700,0.00
1650405600,759.00,20261001,1,24,1,0.01,167.36100000,165.53100000,128.88700,759.00
1650613500,0.00,20261001,0,26,1,0.01,167.03200000,167.58800000,128.43600,0.00
1650621092,1140.00,20261001,1,26,0,0.01,165.89200000,167.58800000,128.43600,1140.00
1652859000,0.00,20261001,0,28,1,0.01,160.85200000,161.54700000,128.21100,0.00
1652892123,1391.00,20261001,1,28,0,0.01,159.46100000,161.54700000,128.21100,1391.00
1652944500,0.00,20261001,0,30,0,0.01,159.65700000,158.48300000,127.78000,0.00
1652955162,-1182.00,20261001,1,30,1,0.01,158.47500000,158.48300000,127.78000,-1182.00
1655190900,0.00,20261001,0,32,0,0.01,164.13400000,162.82400000,135.46000,0.00
1655210492,-1323.00,20261001,1,32,1,0.01,162.81100000,162.82400000,135.46000,-1323.00
1655279100,0.00,20261001,0,34,1,0.06,162.19500000,162.83000000,133.81300,0.00
1655304060,-3816.00,20261001,1,34,0,0.06,162.83100000,162.83000000,133.81300,-3816.00
1655363700,0.00,20261001,0,36,1,0.01,163.10800000,163.79400000,132.15800,0.00
1655378320,1372.00,20261001,1,36,0,0.01,161.73600000,163.79400000,132.15800,1372.00
1659510900,0.00,20261001,0,38,1,0.01,161.39500000,162.68400000,133.83500,0.00
1659538652,-1298.00,20261001,1,38,0,0.01,162.69300000,162.68400000,133.83500,-1298.00
1662534900,0.00,20261001,0,40,0,0.01,165.17500000,164.18300000,143.71800,0.00
1662588000,592.00,20261001,1,40,1,0.01,165.76700000,164.18300000,143.71800,592.00
1662621300,0.00,20261001,0,42,1,0.01,165.54400000,166.07400000,144.09700,0.00
1662674400,-46.00,20261001,1,42,0,0.01,165.59000000,166.07400000,144.09700,-46.00
1662707700,0.00,20261001,0,44,1,0.01,165.23500000,166.24200000,142.37500,0.00
1662760800,-142.00,20261001,1,44,0,0.01,165.37700000,166.24200000,142.37500,-142.00
1662967800,0.00,20261001,0,46,0,0.01,166.13600000,165.37900000,142.82400,0.00
1663020000,551.00,20261001,1,46,1,0.01,166.68700000,165.37900000,142.82400,551.00
1674112500,0.00,20261001,0,48,1,0.01,157.73200000,158.62300000,128.41000,0.00
1674131800,-898.00,20261001,1,48,0,0.01,158.63000000,158.62300000,128.41000,-898.00
1674459900,0.00,20261001,0,50,0,0.01,161.23200000,160.42500000,130.64800,0.00
1674511200,350.00,20261001,1,50,1,0.01,161.58200000,160.42500000,130.64800,350.00
1676272500,0.00,20261001,0,52,0,0.01,159.20400000,158.63300000,132.36900,0.00
1676298038,1143.00,20261001,1,52,1,0.01,160.34700000,158.63300000,132.36900,1143.00
1678779000,0.00,20261001,0,54,0,0.01,162.75700000,162.01400000,134.20600,0.00
1678831200,596.00,20261001,1,54,1,0.01,163.35300000,162.01400000,134.20600,596.00
1678952700,0.00,20261001,0,56,1,0.01,160.13500000,161.23500000,133.71300,0.00
1678964740,-1100.00,20261001,1,56,0,0.01,161.23500000,161.23500000,133.71300,-1100.00
1679298300,0.00,20261001,0,58,1,0.01,160.59400000,161.70300000,131.31300,0.00
1679343974,-1109.00,20261001,1,58,0,0.01,161.70300000,161.70300000,131.31300,-1109.00
1680248700,0.00,20261001,0,60,1,0.01,164.58000000,165.36500000,132.80500,0.00
1680300000,900.00,20261001,1,60,0,0.01,163.68000000,165.36500000,132.80500,900.00
1682061300,0.00,20261001,0,62,1,0.01,166.35700000,166.94100000,134.11900,0.00
1682114400,-476.00,20261001,1,62,0,0.01,166.83300000,166.94100000,134.11900,-476.00
1682666100,0.00,20261001,0,64,0,0.06,168.04700000,166.43800000,136.27000,0.00
1682719200,17964.00,20261001,1,64,1,0.06,171.04100000,166.43800000,136.27000,17964.00
1684134900,0.00,20261001,0,66,0,0.01,169.64000000,169.06000000,136.10200,0.00
1684188000,851.00,20261001,1,66,1,0.01,170.49100000,169.06000000,136.10200,851.00
1686813300,0.00,20261001,0,68,0,0.01,178.56700000,177.66800000,140.25600,0.00
1686866400,804.00,20261001,1,68,1,0.01,179.37100000,177.66800000,140.25600,804.00
1686901500,0.00,20261001,0,70,0,0.01,179.82600000,178.82000000,141.87200,0.00
1686943594,2012.00,20261001,1,70,1,0.01,181.83800000,178.82000000,141.87200,2012.00
1687505400,0.00,20261001,0,72,1,0.01,181.69600000,182.42300000,143.70700,0.00
1687514310,-728.00,20261001,1,72,0,0.01,182.42400000,182.42300000,143.70700,-728.00
1688975100,0.00,20261001,0,74,0,0.01,183.20400000,182.63700000,141.29400,0.00
1688979460,-567.00,20261001,1,74,1,0.01,182.63700000,182.63700000,141.29400,-567.00
1695282300,0.00,20261001,0,76,0,0.06,182.82900000,182.38400000,147.56400,0.00
1695292962,-2712.00,20261001,1,76,1,0.06,182.37700000,182.38400000,147.56400,-2712.00
1695366900,0.00,20261001,0,78,0,0.01,181.99500000,181.20300000,148.35400,0.00
1695420000,-354.00,20261001,1,78,1,0.01,181.64100000,181.20300000,148.35400,-354.00
1698738300,0.00,20261001,0,80,0,0.01,182.28500000,181.34800000,151.53300,0.00
1698789301,1874.00,20261001,1,80,1,0.01,184.15900000,181.34800000,151.53300,1874.00
1701935100,0.00,20261001,0,82,1,0.01,183.97600000,184.51600000,144.09000,0.00
1701944740,1080.00,20261001,1,82,0,0.01,182.89600000,184.51600000,144.09000,1080.00
1710488700,0.00,20261001,0,84,1,0.01,188.86100000,189.27200000,148.98100,0.00
1710500417,-411.00,20261001,1,84,0,0.01,189.27200000,189.27200000,148.98100,-411.00
1710834300,0.00,20261001,0,86,0,0.01,190.79100000,189.56100000,150.83800,0.00
1710885600,1213.00,20261001,1,86,1,0.01,192.00400000,189.56100000,150.83800,1213.00
1711007100,0.00,20261001,0,88,0,0.06,192.79900000,192.34400000,151.60400,0.00
1711033238,-2730.00,20261001,1,88,1,0.06,192.34400000,192.34400000,151.60400,-2730.00
1713166200,0.00,20261001,0,90,0,0.01,191.58900000,191.04900000,154.26100,0.00
1713197320,1080.00,20261001,1,90,1,0.01,192.66900000,191.04900000,154.26100,1080.00
1713424500,0.00,20261001,0,92,0,0.01,192.39900000,191.89600000,154.63100,0.00
