time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1625563800,0.00,20261001,0,2,0,0.01,153.97800000,153.56300000,110.60500,0.00
1625570181,-415.00,20261001,1,2,1,0.01,153.56300000,153.56300000,110.60500,-415.00
1625648400,0.00,20261001,0,4,0,0.01,152.75200000,152.32900000,110.60100,0.00
1625679298,-423.00,20261001,1,4,1,0.01,152.32900000,152.32900000,110.60100,-423.00
1625818500,0.00,20261001,0,6,0,0.01,151.64900000,151.16900000,110.09200,0.00
1625849682,967.00,20261001,1,6,1,0.01,152.61600000,151.16900000,110.09200,967.00
1626774300,0.00,20261001,0,8,1,0.01,149.38500000,149.97200000,109.81400,0.00
1626780701,-587.00,20261001,1,8,0,0.01,149.97200000,149.97200000,109.81400,-587.00
1626858900,0.00,20261001,0,10,1,0.01,149.37800000,149.92700000,110.28500,0.00
1626864461,-552.00,20261001,1,10,0,0.01,149.93000000,149.92700000,110.28500,-552.00
1627551000,0.00,20261001,0,12,0,0.01,152.98100000,152.51300000,109.46400,0.00
1627596000,-61.00,20261001,1,12,1,0.01,152.92000000,152.51300000,109.46400,-61.00
1628068500,0.00,20261001,0,14,0,0.01,151.96800000,151.53600000,109.46900,0.00
1628090319,-432.00,20261001,1,14,1,0.01,151.53600000,151.53600000,109.46900,-432.00
1631266200,0.00,20261001,0,16,0,0.01,152.21400000,151.78000000,109.89200,0.00
1631311200,-54.00,20261001,1,16,1,0.01,152.16000000,151.78000000,109.89200,-54.00
1631520900,0.00,20261001,0,18,1,0.01,151.96100000,152.20700000,109.92300,0.00
1631524155,-246.00,20261001,1,18,0,0.01,152.20700000,152.20700000,109.92300,-246.00
1631780100,0.00,20261001,0,20,1,0.01,151.15100000,151.48100000,109.70500,0.00
1631806482,-333.00,20261001,1,20,0,0.01,151.48400000,151.48100000,109.70500,-333.00
1631866500,0.00,20261001,0,22,0,0.01,151.68700000,151.34300000,109.96400,0.00
1631898823,-352.00,20261001,1,22,1,0.01,151.33500000,151.34300000,109.96400,-352.00
1632129300,0.00,20261001,0,24,1,0.01,150.54300000,150.99900000,109.42300,0.00
1632148985,912.00,20261001,1,24,0,0.01,149.63100000,150.99900000,109.42300,912.00
1632386700,0.00,20261001,0,26,0,0.01,149.87400000,149.55700000,110.31400,0.00
1632406095,634.00,20261001,1,26,1,0.01,150.50800000,149.55700000,110.31400,634.00
1632818700,0.00,20261001,0,28,0,0.01,152.49000000,151.97600000,111.46200,0.00
1632832599,-514.00,20261001,1,28,1,0.01,151.97600000,151.97600000,111.46200,-514.00
1632992400,0.00,20261001,0,30,1,0.06,150.27900000,150.64700000,111.26300,0.00
1632995436,-2214.00,20261001,1,30,0,0.06,150.64800000,150.64700000,111.26300,-2214.00
1633081500,0.00,20261001,0,32,1,0.01,149.47700000,149.91500000,111.06100,0.00
1633090830,-438.00,20261001,1,32,0,0.01,149.91500000,149.91500000,111.06100,-438.00
1633941900,0.00,20261001,0,34,0,0.01,153.81000000,153.15800000,113.24900,0.00
1633989600,426.00,20261001,1,34,1,0.01,154.23600000,153.15800000,113.24900,426.00
1634805900,0.00,20261001,0,36,1,0.01,157.39500000,158.17000000,113.95800,0.00
1634853600,351.00,20261001,1,36,0,0.01,157.04400000,158.17000000,113.95800,351.00
1634894100,0.00,20261001,0,38,1,0.01,157.18300000,157.66100000,113.48000,0.00
1634929041,977.00,20261001,1,38,0,0.01,156.20600000,157.66100000,113.48000,977.00
1635844500,0.00,20261001,0,40,1,0.01,155.10300000,155.79000000,113.94900,0.00
1635890400,-79.00,20261001,1,40,0,0.01,155.18200000,155.79000000,113.94900,-79.00
1637054100,0.00,20261001,0,42,0,0.06,153.56200000,153.12300000,114.80900,0.00
1637100000,2742.00,20261001,1,42,1,0.06,154.01900000,153.12300000,114.80900,2742.00
1637137800,0.00,20261001,0,44,0,0.01,154.29300000,153.91800000,113.97700,0.00
1637178208,-375.00,20261001,1,44,1,0.01,153.91800000,153.91800000,113.97700,-375.00
1637227800,0.00,20261001,0,46,0,0.01,154.14400000,153.70800000,114.23900,0.00
1637272800,71.00,20261001,1,46,1,0.01,154.21500000,153.70800000,114.23900,71.00
1637659800,0.00,20261001,0,48,1,0.06,153.68200000,154.21500000,115.11500,0.00
1637704800,-1812.00,20261001,1,48,0,0.06,153.98400000,154.21500000,115.11500,-1812.00
1637914500,0.00,20261001,0,50,1,0.01,152.44000000,152.89600000,113.24100,0.00
1637921082,912.00,20261001,1,50,0,0.01,151.52800000,152.89600000,113.24100,912.00
1638173700,0.00,20261001,0,52,1,0.01,150.95800000,151.68200000,113.51500,0.00
1638202483,-740.00,20261001,1,52,0,0.01,151.69800000,151.68200000,113.51500,-740.00
1638346500,0.00,20261001,0,54,0,0.01,151.26700000,150.77400000,112.76000,0.00
1638354638,-493.00,20261001,1,54,1,0.01,150.77400000,150.77400000,112.76000,-493.00
1638865800,0.00,20261001,0,56,0,0.01,151.10800000,150.57200000,113.57100,0.00
1638881060,-536.00,20261001,1,56,1,0.01,150.57200000,150.57200000,113.57100,-536.00
