time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1625563800,0.00,20261001,0,2,0,0.01,153.97800000,153.56300000,110.60500,0.00
1625570181,-415.00,20261001,1,2,1,0.01,153.56300000,153.56300000,110.60500,-415.00
1625650200,0.00,20261001,0,4,0,0.01,152.90900000,152.32900000,110.60100,0.00
1625679298,-580.00,20261001,1,4,1,0.01,152.32900000,152.32900000,110.60100,-580.00
1625736600,0.00,20261001,0,6,1,0.01,151.93500000,152.46900000,109.58100,0.00
1625756615,1079.00,20261001,1,6,0,0.01,150.85600000,152.46900000,109.58100,1079.00
1626342300,0.00,20261001,0,8,0,0.01,152.22700000,151.83400000,109.80400,0.00
1626344837,-397.00,20261001,1,8,1,0.01,151.83000000,151.83400000,109.80400,-397.00
1626774300,0.00,20261001,0,10,1,0.01,149.38500000,149.97200000,109.81400,0.00
1626780701,-587.00,20261001,1,10,0,0.01,149.97200000,149.97200000,109.81400,-587.00
1626858900,0.00,20261001,0,12,1,0.01,149.37800000,149.92700000,110.28500,0.00
1626864461,-552.00,20261001,1,12,0,0.01,149.93000000,149.92700000,110.28500,-552.00
1626945300,0.00,20261001,0,14,0,0.01,151.25100000,150.73500000,110.09300,0.00
1626991200,461.00,20261001,1,14,1,0.01,151.71200000,150.73500000,110.09300,461.00
1627551000,0.00,20261001,0,16,0,0.01,152.98100000,152.51300000,109.46400,0.00
1627596000,-61.00,20261001,1,16,1,0.01,152.92000000,152.51300000,109.46400,-61.00
1628068500,0.00,20261001,0,18,0,0.01,151.96800000,151.53600000,109.46900,0.00
1628090319,-432.00,20261001,1,18,1,0.01,151.53600000,151.53600000,109.46900,-432.00
1629710100,0.00,20261001,0,20,0,0.01,150.17000000,149.78900000,109.68600,0.00
1629756000,424.00,20261001,1,20,1,0.01,150.59400000,149.78900000,109.68600,424.00
1630401300,0.00,20261001,0,22,0,0.01,151.55200000,151.17300000,109.99200,0.00
1630424128,-379.00,20261001,1,22,1,0.01,151.17300000,151.17300000,109.99200,-379.00
1632129300,0.00,20261001,0,24,1,0.01,150.54300000,150.99900000,109.42300,0.00
1632148985,912.00,20261001,1,24,0,0.01,149.63100000,150.99900000,109.42300,912.00
1632390300,0.00,20261001,0,26,0,0.01,150.00300000,149.55700000,110.31400,0.00
1632408508,892.00,20261001,1,26,1,0.01,150.89500000,149.55700000,110.31400,892.00
1633081500,0.00,20261001,0,28,1,0.01,149.47700000,149.91500000,111.06100,0.00
1633090830,-438.00,20261001,1,28,0,0.01,149.91500000,149.91500000,111.06100,-438.00
1633945500,0.00,20261001,0,30,0,0.01,154.05500000,153.15800000,113.24900,0.00
1633989600,181.00,20261001,1,30,1,0.01,154.23600000,153.15800000,113.24900,181.00
1634809500,0.00,20261001,0,32,1,0.01,157.23700000,158.17000000,113.95800,0.00
1634853600,193.00,20261001,1,32,0,0.01,157.04400000,158.17000000,113.95800,193.00
1634894100,0.00,20261001,0,34,1,0.01,157.18300000,157.66100000,113.48000,0.00
1634929041,977.00,20261001,1,34,0,0.01,156.20600000,157.66100000,113.48000,977.00
1635844500,0.00,20261001,0,36,1,0.01,155.10300000,155.79000000,113.94900,0.00
1635890400,-79.00,20261001,1,36,0,0.01,155.18200000,155.79000000,113.94900,-79.00
1637054100,0.00,20261001,0,38,0,0.06,153.56200000,153.12300000,114.80900,0.00
1637100000,2742.00,20261001,1,38,1,0.06,154.01900000,153.12300000,114.80900,2742.00
1637140500,0.00,20261001,0,40,0,0.01,154.54400000,153.91800000,113.97700,0.00
1637178208,-626.00,20261001,1,40,1,0.01,153.91800000,153.91800000,113.97700,-626.00
1637659800,0.00,20261001,0,42,1,0.06,153.68200000,154.21500000,115.11500,0.00
1637704800,-1812.00,20261001,1,42,0,0.06,153.98400000,154.21500000,115.11500,-1812.00
1637919000,0.00,20261001,0,44,1,0.01,152.16800000,152.89600000,113.24100,0.00
1637956876,1457.00,20261001,1,44,0,0.01,150.71100000,152.89600000,113.24100,1457.00
1643016600,0.00,20261001,0,46,1,0.01,153.98100000,154.47200000,113.86500,0.00
1643050111,985.00,20261001,1,46,0,0.01,152.99600000,154.47200000,113.86500,985.00
1646644500,0.00,20261001,0,48,0,0.01,152.03800000,151.54600000,115.26200,0.00
1646648502,-494.00,20261001,1,48,1,0.01,151.54400000,151.54600000,115.26200,-494.00
1646990100,0.00,20261001,0,50,0,0.01,152.88300000,152.09500000,117.24400,0.00
1647036000,121.00,20261001,1,50,1,0.01,153.00400000,152.09500000,117.24400,121.00
1648114200,0.00,20261001,0,52,0,0.01,160.26400000,159.58100000,122.31000,0.00
1648159200,874.00,20261001,1,52,1,0.01,161.13800000,159.58100000,122.31000,874.00
1648718100,0.00,20261001,0,54,1,0.01,159.96300000,160.87800000,121.57800,0.00
1648764000,233.00,20261001,1,54,0,0.01,159.73000000,160.87800000,121.57800,233.00
1649670300,0.00,20261001,0,56,0,0.01,162.91300000,162.17400000,125.33400,0.00
1649714400,585.00,20261001,1,56,1,0.01,163.49800000,162.17400000,125.33400,585.00
