time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624360500,0.00,20261001,0,2,1,0.06,153.27500000,153.57400000,110.60500,0.00
1624373187,-1794.00,20261001,1,2,0,0.06,153.57400000,153.57400000,110.60500,-1794.00
1624439700,0.00,20261001,0,4,0,0.01,154.53400000,154.26000000,110.94200,0.00
1624471200,216.00,20261001,1,4,1,0.01,154.75000000,154.26000000,110.94200,216.00
1624616100,0.00,20261001,0,6,1,0.06,154.03600000,154.37200000,110.76800,0.00
1624644000,-492.00,20261001,1,6,0,0.06,154.11800000,154.37200000,110.76800,-492.00
1624874400,0.00,20261001,0,8,0,0.01,154.13100000,153.75600000,110.60900,0.00
1624902988,-375.00,20261001,1,8,1,0.01,153.75600000,153.75600000,110.60900,-375.00
1625048100,0.00,20261001,0,10,1,0.06,152.78400000,153.04100000,111.09200,0.00
1625057431,-1560.00,20261001,1,10,0,0.06,153.04400000,153.04100000,111.09200,-1560.00
1625134500,0.00,20261001,0,12,0,0.06,153.83700000,153.50400000,111.51300,0.00
1625140652,-2010.00,20261001,1,12,1,0.06,153.50200000,153.50400000,111.51300,-2010.00
1625563800,0.00,20261001,0,14,0,0.01,153.97800000,153.63600000,110.60500,0.00
1625569181,-344.00,20261001,1,14,1,0.01,153.63400000,153.63600000,110.60500,-344.00
1625650200,0.00,20261001,0,16,0,0.01,152.90900000,152.50000000,110.60100,0.00
1625678801,-413.00,20261001,1,16,1,0.01,152.49600000,152.50000000,110.60100,-413.00
1625736600,0.00,20261001,0,18,1,0.01,151.93500000,152.44900000,109.58100,0.00
1625757805,1235.00,20261001,1,18,0,0.01,150.70000000,152.44900000,109.58100,1235.00
1625831100,0.00,20261001,0,20,0,0.01,151.74100000,151.29800000,110.09200,0.00
1625850942,1063.00,20261001,1,20,1,0.01,152.80400000,151.29800000,110.09200,1063.00
1626086700,0.00,20261001,0,22,1,0.06,152.76100000,153.09600000,110.34800,0.00
1626108390,-2010.00,20261001,1,22,0,0.06,153.09600000,153.09600000,110.34800,-2010.00
1626171300,0.00,20261001,0,24,1,0.06,153.08200000,153.33000000,110.62200,0.00
1626190292,3600.00,20261001,1,24,0,0.06,152.48200000,153.33000000,110.62200,3600.00
1626345000,0.00,20261001,0,26,1,0.01,151.73000000,152.20700000,109.80400,0.00
1626354043,-477.00,20261001,1,26,0,0.01,152.20700000,152.20700000,109.80400,-477.00
1626434100,0.00,20261001,0,28,0,0.01,152.31600000,151.95900000,110.07200,0.00
1626455442,-360.00,20261001,1,28,1,0.01,151.95600000,151.95900000,110.07200,-360.00
1626689700,0.00,20261001,0,30,1,0.01,150.97200000,151.33200000,109.37600,0.00
1626707501,864.00,20261001,1,30,0,0.01,150.10800000,151.33200000,109.37600,864.00
1626774300,0.00,20261001,0,32,1,0.06,149.38500000,149.75000000,109.81400,0.00
1626778076,-2190.00,20261001,1,32,0,0.06,149.75000000,149.75000000,109.81400,-2190.00
1626858900,0.00,20261001,0,34,1,0.01,149.37800000,149.77200000,110.28500,0.00
1626864167,-398.00,20261001,1,34,0,0.01,149.77600000,149.77200000,110.28500,-398.00
1626867000,0.00,20261001,0,36,0,0.06,150.04000000,149.67400000,110.28500,0.00
1626887741,5262.00,20261001,1,36,1,0.06,150.91700000,149.67400000,110.28500,5262.00
1626948000,0.00,20261001,0,38,0,0.06,151.28200000,150.94500000,110.09300,0.00
1626976800,1296.00,20261001,1,38,1,0.06,151.49800000,150.94500000,110.09300,1296.00
1627292700,0.00,20261001,0,40,1,0.01,151.56900000,151.93900000,110.36200,0.00
1627301383,-370.00,20261001,1,40,0,0.01,151.93900000,151.93900000,110.36200,-370.00
1627551000,0.00,20261001,0,42,0,0.01,152.98100000,152.69500000,109.46400,0.00
1627581600,206.00,20261001,1,42,1,0.01,153.18700000,152.69500000,109.46400,206.00
1628068500,0.00,20261001,0,44,0,0.01,151.96800000,151.68800000,109.46900,0.00
1628090143,-293.00,20261001,1,44,1,0.01,151.67500000,151.68800000,109.46900,-293.00
1628157600,0.00,20261001,0,46,0,0.01,152.41100000,152.14800000,109.76300,0.00
