time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624360500,0.00,20261001,0,2,1,0.06,153.27500000,153.67300000,110.60500,0.00
1624370400,-96.00,20261001,1,2,0,0.06,153.29100000,153.67300000,110.60500,-96.00
1624439700,0.00,20261001,0,4,0,0.01,154.53400000,154.17900000,110.94200,0.00
1624456800,543.00,20261001,1,4,1,0.01,155.07700000,154.17900000,110.94200,543.00
1624616100,0.00,20261001,0,6,1,0.06,154.03600000,154.45200000,110.76800,0.00
1624629600,456.00,20261001,1,6,0,0.06,153.96000000,154.45200000,110.76800,456.00
1624874400,0.00,20261001,0,8,0,0.01,154.13100000,153.67300000,110.60900,0.00
1624888800,-75.00,20261001,1,8,1,0.01,154.05600000,153.67300000,110.60900,-75.00
1625048100,0.00,20261001,0,10,1,0.06,152.78400000,153.12300000,111.09200,0.00
1625057562,-2082.00,20261001,1,10,0,0.06,153.13100000,153.12300000,111.09200,-2082.00
1625134500,0.00,20261001,0,12,0,0.06,153.83700000,153.42800000,111.51300,0.00
1625141556,-2454.00,20261001,1,12,1,0.06,153.42800000,153.42800000,111.51300,-2454.00
1625563800,0.00,20261001,0,14,0,0.01,153.97800000,153.52800000,110.60500,0.00
1625570203,-459.00,20261001,1,14,1,0.01,153.51900000,153.52800000,110.60500,-459.00
1625650200,0.00,20261001,0,16,0,0.01,152.90900000,152.41500000,110.60100,0.00
1625666400,183.00,20261001,1,16,1,0.01,153.09200000,152.41500000,110.60100,183.00
1625736600,0.00,20261001,0,18,1,0.01,151.93500000,152.59600000,109.58100,0.00
1625752800,673.00,20261001,1,18,0,0.01,151.26200000,152.59600000,109.58100,673.00
1625831100,0.00,20261001,0,20,0,0.01,151.74100000,151.16300000,110.09200,0.00
1625839200,182.00,20261001,1,20,1,0.01,151.92300000,151.16300000,110.09200,182.00
1626086700,0.00,20261001,0,22,1,0.06,152.76100000,153.17400000,110.34800,0.00
1626098400,870.00,20261001,1,22,0,0.06,152.61600000,153.17400000,110.34800,870.00
1626171300,0.00,20261001,0,24,1,0.06,153.08200000,153.40700000,110.62200,0.00
1626184800,2016.00,20261001,1,24,0,0.06,152.74600000,153.40700000,110.62200,2016.00
1626345000,0.00,20261001,0,26,1,0.01,151.73000000,152.33200000,109.80400,0.00
1626354103,-630.00,20261001,1,26,0,0.01,152.36000000,152.33200000,109.80400,-630.00
1626434100,0.00,20261001,0,28,0,0.01,152.31600000,151.85800000,110.07200,0.00
1626444000,-136.00,20261001,1,28,1,0.01,152.18000000,151.85800000,110.07200,-136.00
1626689700,0.00,20261001,0,30,1,0.01,150.97200000,151.42900000,109.37600,0.00
1626703200,448.00,20261001,1,30,0,0.01,150.52400000,151.42900000,109.37600,448.00
1626774300,0.00,20261001,0,32,1,0.06,149.38500000,149.86100000,109.81400,0.00
1626780160,-2904.00,20261001,1,32,0,0.06,149.86900000,149.86100000,109.81400,-2904.00
1626858900,0.00,20261001,0,34,1,0.01,149.37800000,149.86900000,110.28500,0.00
1626864376,-500.00,20261001,1,34,0,0.01,149.87800000,149.86900000,110.28500,-500.00
1626867000,0.00,20261001,0,36,0,0.06,150.04000000,149.57700000,110.28500,0.00
1626876000,-1038.00,20261001,1,36,1,0.06,149.86700000,149.57700000,110.28500,-1038.00
1626948000,0.00,20261001,0,38,0,0.06,151.28200000,150.84000000,110.09300,0.00
1626962400,3048.00,20261001,1,38,1,0.06,151.79000000,150.84000000,110.09300,3048.00
1627292700,0.00,20261001,0,40,1,0.01,151.56900000,152.04900000,110.36200,0.00
1627301739,-480.00,20261001,1,40,0,0.01,152.04900000,152.04900000,110.36200,-480.00
1627551000,0.00,20261001,0,42,0,0.01,152.98100000,152.60400000,109.46400,0.00
1627567200,371.00,20261001,1,42,1,0.01,153.35200000,152.60400000,109.46400,371.00
1628068500,0.00,20261001,0,44,0,0.01,151.96800000,151.60900000,109.46900,0.00
1628085600,-1.00,20261001,1,44,1,0.01,151.96700000,151.60900000,109.46900,-1.00
1628157600,0.00,20261001,0,46,0,0.01,152.41100000,152.06800000,109.76300,0.00
1628172000,-37.00,20261001,1,46,1,0.01,152.37400000,152.06800000,109.76300,-37.00
1628674200,0.00,20261001,0,48,0,0.01,153.10000000,152.84600000,110.40500,0.00
1628690400,-89.00,20261001,1,48,1,0.01,153.01100000,152.84600000,110.40500,-89.00
1628849700,0.00,20261001,0,50,1,0.06,152.24100000,152.52200000,109.58700,0.00
1628863200,360.00,20261001,1,50,0,0.06,152.18100000,152.52200000,109.58700,360.00
1629108000,0.00,20261001,0,52,1,0.01,151.39000000,152.05700000,109.13100,0.00
1629122400,-147.00,20261001,1,52,0,0.01,151.53700000,152.05700000,109.13100,-147.00
1629192600,0.00,20261001,0,54,1,0.06,150.97500000,151.26600000,109.54600,0.00
1629208800,1392.00,20261001,1,54,0,0.06,150.74300000,151.26600000,109.54600,1392.00
1629365400,0.00,20261001,0,56,1,0.06,150.71500000,151.14000000,109.66800,0.00
1629381600,3726.00,20261001,1,56,0,0.06,150.09400000,151.14000000,109.66800,3726.00
1629455400,0.00,20261001,0,58,1,0.06,149.20200000,149.76800000,109.79200,0.00
1629468000,-690.00,20261001,1,58,0,0.06,149.31700000,149.76800000,109.79200,-690.00
1629804600,0.00,20261001,0,60,1,0.06,150.34200000,150.84500000,109.50200,0.00
1629813600,-1128.00,20261001,1,60,0,0.06,150.53000000,150.84500000,109.50200,-1128.00
1629891000,0.00,20261001,0,62,0,0.01,150.90000000,150.44500000,109.99900,0.00
1629900000,-199.00,20261001,1,62,1,0.01,150.70100000,150.44500000,109.99900,-199.00
1629974700,0.00,20261001,0,64,0,0.06,151.54100000,151.21100000,110.07700,0.00
1629986400,-1764.00,20261001,1,64,1,0.06,151.24700000,151.21100000,110.07700,-1764.00
1630060200,0.00,20261001,0,66,0,0.06,150.93900000,150.53200000,109.84100,0.00
1630072800,126.00,20261001,1,66,1,0.06,150.96000000,150.53200000,109.84100,126.00
1630401300,0.00,20261001,0,68,0,0.01,151.55200000,151.17100000,109.99200,0.00
1630418400,-180.00,20261001,1,68,1,0.01,151.37200000,151.17100000,109.99200,-180.00
1630579500,0.00,20261001,0,70,0,0.01,151.74400000,151.35400000,109.92400,0.00
1630591200,-43.00,20261001,1,70,1,0.01,151.70100000,151.35400000,109.92400,-43.00
1631184300,0.00,20261001,0,72,1,0.01,151.46400000,151.79400000,109.68700,0.00
1631187451,-330.00,20261001,1,72,0,0.01,151.79400000,151.79400000,109.68700,-330.00
1631268000,0.00,20261001,0,74,0,0.01,152.36800000,151.80800000,109.89200,0.00
