proposal_id,family,status,reason,parameter_json
OAFX0901,dynamic_correlation_allocator,UNVERIFIED_LARGE_DEV,多変量のpoint-in-time配分器と学習窓検証が必要（variant 01: 複雑度段階1/10）,{}
OAFX0902,dynamic_correlation_allocator,UNVERIFIED_LARGE_DEV,多変量のpoint-in-time配分器と学習窓検証が必要（variant 02: 複雑度段階2/10）,{}
OAFX0903,dynamic_correlation_allocator,UNVERIFIED_LARGE_DEV,多変量のpoint-in-time配分器と学習窓検証が必要（variant 03: 複雑度段階3/10）,{}
OAFX0904,dynamic_correlation_allocator,UNVERIFIED_LARGE_DEV,多変量のpoint-in-time配分器と学習窓検証が必要（variant 04: 複雑度段階4/10）,{}
OAFX0905,dynamic_correlation_allocator,UNVERIFIED_LARGE_DEV,多変量のpoint-in-time配分器と学習窓検証が必要（variant 05: 複雑度段階5/10）,{}
OAFX0906,dynamic_correlation_allocator,UNVERIFIED_LARGE_DEV,多変量のpoint-in-time配分器と学習窓検証が必要（variant 06: 複雑度段階6/10）,{}
OAFX0907,dynamic_correlation_allocator,UNVERIFIED_LARGE_DEV,多変量のpoint-in-time配分器と学習窓検証が必要（variant 07: 複雑度段階7/10）,{}
OAFX0908,dynamic_correlation_allocator,UNVERIFIED_LARGE_DEV,多変量のpoint-in-time配分器と学習窓検証が必要（variant 08: 複雑度段階8/10）,{}
OAFX0909,dynamic_correlation_allocator,UNVERIFIED_LARGE_DEV,多変量のpoint-in-time配分器と学習窓検証が必要（variant 09: 複雑度段階9/10）,{}
OAFX0910,dynamic_correlation_allocator,UNVERIFIED_LARGE_DEV,多変量のpoint-in-time配分器と学習窓検証が必要（variant 10: 複雑度段階10/10）,{}
OAFX0911,latent_volatility_regime,UNVERIFIED_LARGE_DEV,状態推定器、凍結モデル、walk-forward検証が必要（variant 01: 複雑度段階1/10）,{}
OAFX0912,latent_volatility_regime,UNVERIFIED_LARGE_DEV,状態推定器、凍結モデル、walk-forward検証が必要（variant 02: 複雑度段階2/10）,{}
OAFX0913,latent_volatility_regime,UNVERIFIED_LARGE_DEV,状態推定器、凍結モデル、walk-forward検証が必要（variant 03: 複雑度段階3/10）,{}
OAFX0914,latent_volatility_regime,UNVERIFIED_LARGE_DEV,状態推定器、凍結モデル、walk-forward検証が必要（variant 04: 複雑度段階4/10）,{}
OAFX0915,latent_volatility_regime,UNVERIFIED_LARGE_DEV,状態推定器、凍結モデル、walk-forward検証が必要（variant 05: 複雑度段階5/10）,{}
OAFX0916,latent_volatility_regime,UNVERIFIED_LARGE_DEV,状態推定器、凍結モデル、walk-forward検証が必要（variant 06: 複雑度段階6/10）,{}
OAFX0917,latent_volatility_regime,UNVERIFIED_LARGE_DEV,状態推定器、凍結モデル、walk-forward検証が必要（variant 07: 複雑度段階7/10）,{}
OAFX0918,latent_volatility_regime,UNVERIFIED_LARGE_DEV,状態推定器、凍結モデル、walk-forward検証が必要（variant 08: 複雑度段階8/10）,{}
OAFX0919,latent_volatility_regime,UNVERIFIED_LARGE_DEV,状態推定器、凍結モデル、walk-forward検証が必要（variant 09: 複雑度段階9/10）,{}
OAFX0920,latent_volatility_regime,UNVERIFIED_LARGE_DEV,状態推定器、凍結モデル、walk-forward検証が必要（variant 10: 複雑度段階10/10）,{}
OAFX0921,event_calendar_engine,UNVERIFIED_LARGE_DEV,将来情報混入を防ぐ時点整合カレンダー基盤が必要（variant 01: 複雑度段階1/10）,{}
OAFX0922,event_calendar_engine,UNVERIFIED_LARGE_DEV,将来情報混入を防ぐ時点整合カレンダー基盤が必要（variant 02: 複雑度段階2/10）,{}
OAFX0923,event_calendar_engine,UNVERIFIED_LARGE_DEV,将来情報混入を防ぐ時点整合カレンダー基盤が必要（variant 03: 複雑度段階3/10）,{}
OAFX0924,event_calendar_engine,UNVERIFIED_LARGE_DEV,将来情報混入を防ぐ時点整合カレンダー基盤が必要（variant 04: 複雑度段階4/10）,{}
OAFX0925,event_calendar_engine,UNVERIFIED_LARGE_DEV,将来情報混入を防ぐ時点整合カレンダー基盤が必要（variant 05: 複雑度段階5/10）,{}
OAFX0926,event_calendar_engine,UNVERIFIED_LARGE_DEV,将来情報混入を防ぐ時点整合カレンダー基盤が必要（variant 06: 複雑度段階6/10）,{}
OAFX0927,event_calendar_engine,UNVERIFIED_LARGE_DEV,将来情報混入を防ぐ時点整合カレンダー基盤が必要（variant 07: 複雑度段階7/10）,{}
OAFX0928,event_calendar_engine,UNVERIFIED_LARGE_DEV,将来情報混入を防ぐ時点整合カレンダー基盤が必要（variant 08: 複雑度段階8/10）,{}
OAFX0929,event_calendar_engine,UNVERIFIED_LARGE_DEV,将来情報混入を防ぐ時点整合カレンダー基盤が必要（variant 09: 複雑度段階9/10）,{}
OAFX0930,event_calendar_engine,UNVERIFIED_LARGE_DEV,将来情報混入を防ぐ時点整合カレンダー基盤が必要（variant 10: 複雑度段階10/10）,{}
OAFX0931,orderbook_liquidity_model,UNVERIFIED_LARGE_DEV,過去板データとOANDA再現可能な執行モデルが存在しない（variant 01: 複雑度段階1/10）,{}
OAFX0932,orderbook_liquidity_model,UNVERIFIED_LARGE_DEV,過去板データとOANDA再現可能な執行モデルが存在しない（variant 02: 複雑度段階2/10）,{}
OAFX0933,orderbook_liquidity_model,UNVERIFIED_LARGE_DEV,過去板データとOANDA再現可能な執行モデルが存在しない（variant 03: 複雑度段階3/10）,{}
OAFX0934,orderbook_liquidity_model,UNVERIFIED_LARGE_DEV,過去板データとOANDA再現可能な執行モデルが存在しない（variant 04: 複雑度段階4/10）,{}
OAFX0935,orderbook_liquidity_model,UNVERIFIED_LARGE_DEV,過去板データとOANDA再現可能な執行モデルが存在しない（variant 05: 複雑度段階5/10）,{}
OAFX0936,orderbook_liquidity_model,UNVERIFIED_LARGE_DEV,過去板データとOANDA再現可能な執行モデルが存在しない（variant 06: 複雑度段階6/10）,{}
OAFX0937,orderbook_liquidity_model,UNVERIFIED_LARGE_DEV,過去板データとOANDA再現可能な執行モデルが存在しない（variant 07: 複雑度段階7/10）,{}
OAFX0938,orderbook_liquidity_model,UNVERIFIED_LARGE_DEV,過去板データとOANDA再現可能な執行モデルが存在しない（variant 08: 複雑度段階8/10）,{}
