id,family,overview,rationale,test_method,variation,implementation_class,status,parameter_json,unverified_reason
OAFX1001,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.45; Oafx2TargetBlend=0,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.45, ""Oafx2TargetBlend"": 0}",
OAFX1002,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.45; Oafx2TargetBlend=0.1,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.45, ""Oafx2TargetBlend"": 0.1}",
OAFX1003,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.45; Oafx2TargetBlend=0.2,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.45, ""Oafx2TargetBlend"": 0.2}",
OAFX1004,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.45; Oafx2TargetBlend=0.3,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.45, ""Oafx2TargetBlend"": 0.3}",
OAFX1005,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.45; Oafx2TargetBlend=0.4,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.45, ""Oafx2TargetBlend"": 0.4}",
OAFX1006,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.45; Oafx2TargetBlend=0.5,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.45, ""Oafx2TargetBlend"": 0.5}",
OAFX1007,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.45; Oafx2TargetBlend=0.6,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.45, ""Oafx2TargetBlend"": 0.6}",
OAFX1008,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.45; Oafx2TargetBlend=0.7,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.45, ""Oafx2TargetBlend"": 0.7}",
OAFX1009,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.45; Oafx2TargetBlend=0.8,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.45, ""Oafx2TargetBlend"": 0.8}",
OAFX1010,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.45; Oafx2TargetBlend=0.9,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.45, ""Oafx2TargetBlend"": 0.9}",
OAFX1011,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.55; Oafx2TargetBlend=0,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.55, ""Oafx2TargetBlend"": 0}",
