id,sleeve,ea,symbol,base,parameter,value,overrides,model,is_net,is_pf,is_dd,is_n,oos_net,oos_pf,oos_dd,oos_n,survives,strict,tradeoff,status,note
PB_USDJPY__TrendMA_Period__100,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,TrendMA_Period,100,{'TrendMA_Period': 100},open_prices,19317.0,1.1707,12.4042,93,-25443.0,0.598,31.1354,54,False,False,False,OK,
PB_USDJPY__TrendMA_Period__150,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,TrendMA_Period,150,{'TrendMA_Period': 150},open_prices,28454.0,1.2869,10.1012,83,-10227.0,0.7706,19.1387,37,False,False,False,OK,
PB_USDJPY__TrendMA_Period__250,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,TrendMA_Period,250,{'TrendMA_Period': 250},open_prices,23659.0,1.3278,13.334,60,12230.0,1.7529,9.0496,16,True,False,False,OK,
PB_USDJPY__TrendMA_Period__300,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,TrendMA_Period,300,{'TrendMA_Period': 300},open_prices,15189.0,1.2578,13.1095,50,5752.0,1.4316,6.1964,13,True,False,False,OK,
PB_USDJPY__FastEMA_Period__10,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,FastEMA_Period,10,{'FastEMA_Period': 10},open_prices,32668.0,1.3094,10.7265,84,7939.0,1.2423,13.7775,30,True,False,False,OK,
PB_USDJPY__FastEMA_Period__15,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,FastEMA_Period,15,{'FastEMA_Period': 15},open_prices,36775.0,1.3677,10.4117,79,3410.0,1.1131,14.8198,26,True,False,False,OK,
PB_USDJPY__FastEMA_Period__25,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,FastEMA_Period,25,{'FastEMA_Period': 25},open_prices,45162.0,1.5741,9.3491,66,3147.0,1.1254,15.5847,22,True,False,False,OK,
PB_USDJPY__FastEMA_Period__30,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,FastEMA_Period,30,{'FastEMA_Period': 30},open_prices,17312.0,1.2746,11.4827,58,-8484.0,0.7142,15.2729,25,False,False,False,OK,
PB_USDJPY__FastEMA_Period__35,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,FastEMA_Period,35,{'FastEMA_Period': 35},open_prices,25901.0,1.4286,8.914,53,-6110.0,0.7822,15.2729,24,False,False,False,OK,
PB_USDJPY__SlowEMA_Period__35,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,SlowEMA_Period,35,{'SlowEMA_Period': 35},open_prices,29261.0,1.3905,9.8969,62,-1764.0,0.934,15.3941,22,False,False,False,OK,
PB_USDJPY__SlowEMA_Period__40,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,SlowEMA_Period,40,{'SlowEMA_Period': 40},open_prices,36572.0,1.4568,8.5839,65,-3299.0,0.8833,16.7942,23,False,False,False,OK,
PB_USDJPY__SlowEMA_Period__60,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,SlowEMA_Period,60,{'SlowEMA_Period': 60},open_prices,62735.0,1.7278,7.0749,69,-19.0,0.9993,16.7942,24,False,False,False,OK,
PB_USDJPY__SlowEMA_Period__75,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,SlowEMA_Period,75,{'SlowEMA_Period': 75},open_prices,69667.0,1.8005,6.5201,70,-19.0,0.9993,16.7942,24,False,False,False,OK,
PB_USDJPY__SlowEMA_Period__100,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,SlowEMA_Period,100,{'SlowEMA_Period': 100},open_prices,68553.0,1.7851,6.5603,70,-6403.0,0.8081,18.343,27,False,False,False,OK,
PB_USDJPY__ADX_Period__7,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ADX_Period,7,{'ADX_Period': 7},open_prices,25681.0,1.2505,11.0226,82,-10715.0,0.6981,20.5667,29,False,False,False,OK,
PB_USDJPY__ADX_Period__10,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ADX_Period,10,{'ADX_Period': 10},open_prices,25557.0,1.2501,10.9814,82,-7619.0,0.7724,17.5052,27,False,False,False,OK,
PB_USDJPY__ADX_Period__20,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ADX_Period,20,{'ADX_Period': 20},open_prices,33088.0,1.5695,7.5862,54,3548.0,1.1669,10.752,18,True,False,True,OK,
