proposal_id,family,description,parameter_json
PB2001,P1_timeframe,H1中心点（H4版PB GOLDの設定をH1に適用）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2002,P1_timeframe,時間軸30分,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 30, ""Pb2UseHourGate"": false}"
PB2003,P1_timeframe,時間軸120分,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 120, ""Pb2UseHourGate"": false}"
PB2004,P1_timeframe,H4対照（既存PB GOLDとの健全性確認）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 240, ""Pb2UseHourGate"": false}"
PB2005,P2_rr,RR1.2（中心1.8）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.2, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2006,P2_rr,RR1.5（中心1.8）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.5, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2007,P2_rr,RR2.2（中心1.8）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 2.2, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2008,P2_rr,RR2.6（中心1.8）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 2.6, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2009,P2_rr,RR3.0（中心1.8）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 3.0, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2010,P3_atr_stop,ATRストップ幅1.2（中心2.0）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 1.2, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2011,P3_atr_stop,ATRストップ幅1.6（中心2.0）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 1.6, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2012,P3_atr_stop,ATRストップ幅2.5（中心2.0）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.5, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2013,P3_atr_stop,ATRストップ幅3.0（中心2.0）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 3.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2014,P4_adx,ADX閾値15.0（中心22.5）,"{""Pb2ADXThr"": 15.0, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2015,P4_adx,ADX閾値20.0（中心22.5）,"{""Pb2ADXThr"": 20.0, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2016,P4_adx,ADX閾値27.5（中心22.5）,"{""Pb2ADXThr"": 27.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2017,P4_adx,ADX閾値32.0（中心22.5）,"{""Pb2ADXThr"": 32.0, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2018,P5_slope,トレンド傾き下限0.6ATR（中心1.2）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 0.6, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2019,P5_slope,トレンド傾き下限0.9ATR（中心1.2）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 0.9, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2020,P5_slope,トレンド傾き下限1.6ATR（中心1.2）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.6, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
PB2021,P5_slope,トレンド傾き下限2.0ATR（中心1.2）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 2.0, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}"
