proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,pb2_net,pb2_n,description,parameter_json,elapsed,run_id
PB2001,P1_timeframe,IS,OK,420758.0,1.6039,6.8757,1.4025,590,196940,63,192137,242,,,31681,285,H1中心点（H4版PB GOLDの設定をH1に適用）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}",104.1,pb2_is_PB2001_20260905152025_01dd
PB2002,P1_timeframe,IS,OK,406941.0,1.4946,7.5679,1.3565,835,196940,63,195904,242,,,14097,530,時間軸30分,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 30, ""Pb2UseHourGate"": false}",109.1,pb2_is_PB2002_20260905152209_d0a5
PB2003,P1_timeframe,IS,OK,423159.0,1.7313,8.2618,1.4105,420,196940,63,187220,242,,,38999,115,時間軸120分,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 120, ""Pb2UseHourGate"": false}",104.1,pb2_is_PB2003_20260905152358_2971
PB2004,P1_timeframe,IS,OK,575259.0,2.1829,6.1544,1.9175,370,196940,63,186180,242,,,192139,65,H4対照（既存PB GOLDとの健全性確認）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 240, ""Pb2UseHourGate"": false}",94.1,pb2_is_PB2004_20260905152542_6271
PB2005,P2_rr,IS,OK,380235.0,1.5484,7.0714,1.2674,615,196940,63,184476,242,,,-1181,310,RR1.2（中心1.8）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.2, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}",104.1,pb2_is_PB2005_20260905152716_0778
PB2006,P2_rr,IS,OK,380256.0,1.5329,7.1896,1.2675,601,196940,63,183386,242,,,-70,296,RR1.5（中心1.8）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.5, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}",104.0,pb2_is_PB2006_20260905152900_00f4
PB2007,P2_rr,IS,OK,404488.0,1.5825,7.1008,1.3483,575,196940,63,214910,242,,,-7362,270,RR2.2（中心1.8）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 2.2, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}",104.0,pb2_is_PB2007_20260905153044_d9d1
PB2008,P2_rr,IS,OK,434031.0,1.636,7.4447,1.4468,560,196940,63,219538,242,,,17553,255,RR2.6（中心1.8）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 2.6, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}",104.2,pb2_is_PB2008_20260905153229_e8e3
PB2009,P2_rr,IS,OK,449196.0,1.6561,8.4548,1.4973,557,196940,63,263284,242,,,-11028,252,RR3.0（中心1.8）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 2.0, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 3.0, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}",104.2,pb2_is_PB2009_20260905153413_d528
PB2010,P3_atr_stop,IS,OK,364902.0,1.5872,6.1119,1.2163,652,196940,63,181639,242,,,-13677,347,ATRストップ幅1.2（中心2.0）,"{""Pb2ADXThr"": 22.5, ""Pb2ATRSLmult"": 1.2, ""Pb2Enable"": true, ""Pb2HoldBars"": 64, ""Pb2Lot"": 0.01, ""Pb2RR"": 1.8, ""Pb2SlopeMinATR"": 1.2, ""Pb2TFMinutes"": 60, ""Pb2UseHourGate"": false}",99.0,pb2_is_PB2010_20260905153557_6e79
