proposal_id,description,IS_total,IS_n,IS_best_year,IS_best_val,IS_ex_best,IS_years_pos,IS_years,OOS_total,OOS_n,OOS_best_year,OOS_best_val,OOS_ex_best,OOS_years_pos,OOS_years,worst_ex
PB2004,H4対照（既存PB GOLDとの健全性確認）,192139.0,64,2025,105839.0,86300.0,5,6,15938.0,48,2021,7897.0,8041.0,4,6,8041.0
PB2046,ADX27.5 × 傾き1.6ATR × RR1.8,51161.0,137,2025,26876.0,24285.0,4,6,6186.0,85,2020,4366.0,1820.0,4,6,1820.0
PB2021,トレンド傾き下限2.0ATR（中心1.2）,37672.0,88,2024,21375.0,16297.0,4,6,732.0,67,2020,3654.0,-2922.0,3,6,-2922.0
PB2017,ADX閾値32.0（中心22.5）,18041.0,164,2026,20145.0,-2104.0,3,6,4646.0,106,2020,8684.0,-4038.0,3,6,-4038.0
PB2047,ADX27.5 × 傾き1.6ATR × RR2.2,48491.0,126,2026,22395.0,26096.0,4,6,-139.0,76,2020,6452.0,-6591.0,3,6,-6591.0
PB2020,トレンド傾き下限1.6ATR（中心1.2）,49363.0,172,2025,32500.0,16863.0,3,6,-5006.0,124,2016,2490.0,-7496.0,2,6,-7496.0
PB2042,ADX20.0 × 傾き1.6ATR × RR1.8,52789.0,180,2025,35155.0,17634.0,4,6,-7102.0,136,2016,2063.0,-9165.0,3,6,-9165.0
PB2043,ADX20.0 × 傾き1.6ATR × RR2.2,37204.0,165,2025,27199.0,10005.0,3,6,-7915.0,127,2016,1520.0,-9435.0,4,6,-9435.0
PB2044,ADX27.5 × 傾き0.9ATR × RR1.8,25068.0,274,2026,19776.0,5292.0,3,6,-6823.0,193,2019,2763.0,-9586.0,3,6,-9586.0
PB2011,ATRストップ幅1.6（中心2.0）,34599.0,305,2025,30447.0,4152.0,3,6,-9226.0,224,2016,2038.0,-11264.0,3,6,-11264.0
PB2022,保有上限0バー（0は無効・中心64）,45947.0,280,2025,46594.0,-647.0,4,6,-8425.0,199,2016,3817.0,-12242.0,4,6,-12242.0
PB2026,保有上限256バー（0は無効・中心64）,45947.0,280,2025,46594.0,-647.0,4,6,-8425.0,199,2016,3817.0,-12242.0,4,6,-12242.0
PB2025,保有上限128バー（0は無効・中心64）,45947.0,280,2025,46594.0,-647.0,4,6,-12179.0,198,2018,1578.0,-13757.0,4,6,-13757.0
PB2045,ADX27.5 × 傾き0.9ATR × RR2.2,49044.0,244,2026,40336.0,8708.0,3,6,-8819.0,177,2020,5505.0,-14324.0,1,6,-14324.0
PB2028,時間軸60分・H4版の時間帯ゲート適用,38610.0,257,2024,20098.0,18512.0,4,6,-11132.0,188,2016,3977.0,-15109.0,3,6,-15109.0
PB2018,トレンド傾き下限0.6ATR（中心1.2）,74976.0,432,2026,72539.0,2437.0,3,6,-13059.0,349,2021,3910.0,-16969.0,2,6,-16969.0
PB2024,保有上限32バー（0は無効・中心64）,43046.0,251,2025,33495.0,9551.0,4,6,-15872.0,183,2019,1291.0,-17163.0,2,6,-17163.0
PB2001,H1中心点（H4版PB GOLDの設定をH1に適用）,31681.0,268,2025,21437.0,10244.0,4,6,-15234.0,193,2016,2556.0,-17790.0,2,6,-17790.0
PB2019,トレンド傾き下限0.9ATR（中心1.2）,96634.0,348,2026,87425.0,9209.0,4,6,-18629.0,266,2019,736.0,-19365.0,2,6,-19365.0
