label,window,run_id,status,net,pf,dd_pct,trades,pb_gold,sca_gold,elapsed
BASELINE,IS,cf_is_BASELINE_20260902145235_9ff9cb,OK,411243.0,2.2315,3.8261,301,217269,193974,128.5
PP0426,IS,cf_is_PP0426_20260902145259_6be529,OK,430773.0,2.29,3.7873,301,217269,213504,169.6
PP0428,IS,cf_is_PP0428_20260902145444_d88c4e,OK,454790.0,2.3619,3.7806,301,217269,237521,140.4
PP0430,IS,cf_is_PP0430_20260902145548_8b8fd5,OK,429216.0,2.2854,3.7806,301,217269,211947,144.9
PP0432,IS,cf_is_PP0432_20260902145704_80d2a3,OK,429216.0,2.2854,3.7806,301,217269,211947,165.2
PP0436,IS,cf_is_PP0436_20260902145813_968147,OK,431517.0,2.2992,3.8133,295,188594,242923,178.8
BASELINE,OOS,cf_oos_BASELINE_20260902145949_ec316c,OK,45838.0,1.2966,1.8723,329,4957,40881,551.5
PP0426,OOS,cf_oos_PP0426_20260902150112_cf9b4a,OK,57875.0,1.3745,1.8492,329,4957,52918,611.0
PP0428,OOS,cf_oos_PP0428_20260902150901_aadb64,OK,55974.0,1.3622,1.8659,329,4957,51017,502.1
PP0430,OOS,cf_oos_PP0430_20260902151123_1e3615,OK,58905.0,1.3812,1.8659,329,4957,53948,495.4
PP0432,OOS,cf_oos_PP0432_20260902151723_58af9d,OK,56432.0,1.3652,1.8659,329,4957,51475,466.0
PP0436,OOS,cf_oos_PP0436_20260902151939_9c2e3c,OK,60265.0,1.3905,1.9931,325,7925,52340,510.1
