2026-08-30T23:28:41+00:00 BASELINE_OOS {'net': 47340.0, 'pf': 1.3077, 'dd': 1.8676, 'trades': 329}
2026-08-30T23:28:41+00:00 BASELINE_IS {'net': 417882.0, 'pf': 2.2542, 'dd': 3.7942, 'trades': 301}
2026-08-30T23:28:41+00:00 DRIVER_START proposals=4 already_done=0 terminals=2
2026-08-30T23:28:41+00:00 RUN_START id=PP0001 window=IS terminal=PROD family=F01_be_atr
2026-08-30T23:29:06+00:00 RUN_START id=PP0002 window=IS terminal=BT1 family=F01_be_atr
2026-08-30T23:31:05+00:00 RUN_END id=PP0001 window=IS decision=IS_REJECT elapsed=144.165s
2026-08-30T23:31:05+00:00 GATE_SKIP id=PP0001 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:31:05+00:00 RUN_START id=PP0003 window=IS terminal=PROD family=F01_be_atr
2026-08-30T23:32:00+00:00 RUN_END id=PP0002 window=IS decision=IS_REJECT elapsed=173.68s
2026-08-30T23:32:00+00:00 GATE_SKIP id=PP0002 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:32:00+00:00 RUN_START id=PP0004 window=IS terminal=BT1 family=F01_be_atr
2026-08-30T23:33:29+00:00 RUN_END id=PP0003 window=IS decision=IS_REJECT elapsed=144.179s
2026-08-30T23:33:29+00:00 GATE_SKIP id=PP0003 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:34:24+00:00 RUN_END id=PP0004 window=IS decision=IS_REJECT elapsed=143.907s
2026-08-30T23:34:24+00:00 GATE_SKIP id=PP0004 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:34:24+00:00 DRIVER_END status=OK
2026-08-30T23:34:29+00:00 BASELINE_OOS {'net': 47340.0, 'pf': 1.3077, 'dd': 1.8676, 'trades': 329}
2026-08-30T23:34:29+00:00 BASELINE_IS {'net': 417882.0, 'pf': 2.2542, 'dd': 3.7942, 'trades': 301}
2026-08-30T23:34:29+00:00 DRIVER_START proposals=500 already_done=4 terminals=5
2026-08-30T23:34:29+00:00 SKIP_EXISTING id=PP0001 window=IS
2026-08-30T23:34:29+00:00 SKIP_EXISTING id=PP0002 window=IS
2026-08-30T23:34:29+00:00 SKIP_EXISTING id=PP0003 window=IS
2026-08-30T23:34:29+00:00 SKIP_EXISTING id=PP0004 window=IS
2026-08-30T23:34:29+00:00 RUN_START id=PP0005 window=IS terminal=PROD family=F01_be_atr
2026-08-30T23:34:54+00:00 RUN_START id=PP0006 window=IS terminal=BT1 family=F01_be_atr
2026-08-30T23:35:19+00:00 RUN_START id=PP0007 window=IS terminal=BT2 family=F01_be_atr
2026-08-30T23:35:44+00:00 RUN_START id=PP0008 window=IS terminal=BT3 family=F01_be_atr
2026-08-30T23:36:09+00:00 RUN_START id=PP0009 window=IS terminal=BT4 family=F01_be_atr
2026-08-30T23:36:33+00:00 RUN_END id=PP0005 window=IS decision=IS_REJECT elapsed=124.005s
2026-08-30T23:36:33+00:00 GATE_SKIP id=PP0005 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:36:33+00:00 RUN_START id=PP0010 window=IS terminal=PROD family=F01_be_atr
2026-08-30T23:38:08+00:00 RUN_END id=PP0006 window=IS decision=IS_REJECT elapsed=193.89s
2026-08-30T23:38:08+00:00 GATE_SKIP id=PP0006 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:38:08+00:00 RUN_START id=PP0011 window=IS terminal=BT1 family=F01_be_atr
2026-08-30T23:39:28+00:00 RUN_END id=PP0007 window=IS decision=IS_REJECT elapsed=248.952s
2026-08-30T23:39:28+00:00 GATE_SKIP id=PP0007 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:39:28+00:00 RUN_START id=PP0012 window=IS terminal=BT2 family=F01_be_atr
2026-08-30T23:41:44+00:00 RUN_END id=PP0010 window=IS decision=IS_REJECT elapsed=310.307s
2026-08-30T23:41:44+00:00 GATE_SKIP id=PP0010 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:41:44+00:00 RUN_START id=PP0013 window=IS terminal=PROD family=F01_be_atr
2026-08-30T23:42:03+00:00 RUN_END id=PP0011 window=IS decision=IS_REJECT elapsed=235.265s
2026-08-30T23:42:03+00:00 GATE_SKIP id=PP0011 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:42:03+00:00 RUN_START id=PP0014 window=IS terminal=BT1 family=F01_be_atr
2026-08-30T23:42:10+00:00 RUN_END id=PP0009 window=IS decision=IS_REJECT elapsed=360.474s
2026-08-30T23:42:10+00:00 GATE_SKIP id=PP0009 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:42:10+00:00 RUN_START id=PP0015 window=IS terminal=BT4 family=F01_be_atr
2026-08-30T23:42:19+00:00 RUN_END id=PP0008 window=IS decision=IS_REJECT elapsed=395.046s
2026-08-30T23:42:19+00:00 GATE_SKIP id=PP0008 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:42:19+00:00 RUN_START id=PP0016 window=IS terminal=BT3 family=F01_be_atr
2026-08-30T23:43:48+00:00 RUN_END id=PP0012 window=IS decision=IS_REJECT elapsed=260.135s
2026-08-30T23:43:48+00:00 GATE_SKIP id=PP0012 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:43:48+00:00 RUN_START id=PP0017 window=IS terminal=BT2 family=F01_be_atr
2026-08-30T23:44:43+00:00 RUN_END id=PP0014 window=IS decision=IS_REJECT elapsed=159.636s
2026-08-30T23:44:43+00:00 GATE_SKIP id=PP0014 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:44:43+00:00 RUN_START id=PP0018 window=IS terminal=BT1 family=F01_be_atr
2026-08-30T23:46:10+00:00 RUN_END id=PP0015 window=IS decision=IS_REJECT elapsed=239.872s
2026-08-30T23:46:10+00:00 GATE_SKIP id=PP0015 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:46:10+00:00 RUN_START id=PP0019 window=IS terminal=BT4 family=F01_be_atr
2026-08-30T23:46:29+00:00 RUN_END id=PP0013 window=IS decision=IS_REJECT elapsed=285.731s
2026-08-30T23:46:29+00:00 GATE_SKIP id=PP0013 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:46:29+00:00 RUN_START id=PP0020 window=IS terminal=PROD family=F01_be_atr
2026-08-30T23:47:09+00:00 RUN_END id=PP0016 window=IS decision=IS_REJECT elapsed=289.67s
2026-08-30T23:47:09+00:00 GATE_SKIP id=PP0016 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:47:09+00:00 RUN_START id=PP0021 window=IS terminal=BT3 family=F01_be_atr
2026-08-30T23:47:53+00:00 RUN_END id=PP0018 window=IS decision=IS_REJECT elapsed=189.681s
2026-08-30T23:47:53+00:00 GATE_SKIP id=PP0018 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:47:53+00:00 RUN_START id=PP0022 window=IS terminal=BT1 family=F01_be_atr
2026-08-30T23:48:19+00:00 RUN_END id=PP0017 window=IS decision=IS_REJECT elapsed=270.517s
2026-08-30T23:48:19+00:00 GATE_SKIP id=PP0017 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:48:19+00:00 RUN_START id=PP0023 window=IS terminal=BT2 family=F01_be_atr
2026-08-30T23:50:00+00:00 RUN_END id=PP0019 window=IS decision=IS_REJECT elapsed=230.095s
2026-08-30T23:50:00+00:00 GATE_SKIP id=PP0019 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:50:00+00:00 RUN_START id=PP0024 window=IS terminal=BT4 family=F01_be_atr
2026-08-30T23:51:15+00:00 RUN_END id=PP0020 window=IS decision=IS_REJECT elapsed=285.453s
2026-08-30T23:51:15+00:00 GATE_SKIP id=PP0020 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:51:15+00:00 RUN_START id=PP0025 window=IS terminal=PROD family=F01_be_atr
2026-08-30T23:51:38+00:00 RUN_END id=PP0022 window=IS decision=IS_REJECT elapsed=224.955s
2026-08-30T23:51:38+00:00 GATE_SKIP id=PP0022 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:51:38+00:00 RUN_START id=PP0026 window=IS terminal=BT1 family=F01_be_atr
2026-08-30T23:51:54+00:00 RUN_END id=PP0021 window=IS decision=IS_REJECT elapsed=285.389s
2026-08-30T23:51:54+00:00 GATE_SKIP id=PP0021 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:51:54+00:00 RUN_START id=PP0027 window=IS terminal=BT3 family=F01_be_atr
2026-08-30T23:52:39+00:00 RUN_END id=PP0023 window=IS decision=IS_REJECT elapsed=260.001s
2026-08-30T23:52:39+00:00 GATE_SKIP id=PP0023 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:52:39+00:00 RUN_START id=PP0028 window=IS terminal=BT2 family=F01_be_atr
2026-08-30T23:53:45+00:00 RUN_END id=PP0024 window=IS decision=IS_REJECT elapsed=225.069s
2026-08-30T23:53:45+00:00 GATE_SKIP id=PP0024 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:53:45+00:00 RUN_START id=PP0029 window=IS terminal=BT4 family=F01_be_atr
2026-08-30T23:55:43+00:00 RUN_END id=PP0026 window=IS decision=IS_REJECT elapsed=245.419s
2026-08-30T23:55:43+00:00 GATE_SKIP id=PP0026 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:55:43+00:00 RUN_START id=PP0030 window=IS terminal=BT1 family=F01_be_atr
2026-08-30T23:56:00+00:00 RUN_END id=PP0025 window=IS decision=IS_NOISE_BAND elapsed=285.464s
2026-08-30T23:56:00+00:00 GATE_SKIP id=PP0025 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-30T23:56:00+00:00 RUN_START id=PP0031 window=IS terminal=PROD family=F01_be_atr
2026-08-30T23:56:49+00:00 RUN_END id=PP0027 window=IS decision=IS_REJECT elapsed=295.031s
2026-08-30T23:56:49+00:00 GATE_SKIP id=PP0027 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:56:49+00:00 RUN_START id=PP0032 window=IS terminal=BT3 family=F01_be_atr
2026-08-30T23:57:19+00:00 RUN_END id=PP0028 window=IS decision=IS_NOISE_BAND elapsed=279.965s
2026-08-30T23:57:19+00:00 GATE_SKIP id=PP0028 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-30T23:57:19+00:00 RUN_START id=PP0033 window=IS terminal=BT2 family=F01_be_atr
2026-08-30T23:58:00+00:00 RUN_END id=PP0029 window=IS decision=IS_NOISE_BAND elapsed=255.099s
2026-08-30T23:58:00+00:00 GATE_SKIP id=PP0029 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-30T23:58:00+00:00 RUN_START id=PP0034 window=IS terminal=BT4 family=F01_be_atr
2026-08-30T23:59:53+00:00 RUN_END id=PP0030 window=IS decision=IS_REJECT elapsed=250.24s
2026-08-30T23:59:53+00:00 GATE_SKIP id=PP0030 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-30T23:59:53+00:00 RUN_START id=PP0035 window=IS terminal=BT1 family=F01_be_atr
2026-08-31T00:00:46+00:00 RUN_END id=PP0031 window=IS decision=IS_NOISE_BAND elapsed=285.911s
2026-08-31T00:00:46+00:00 GATE_SKIP id=PP0031 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:00:46+00:00 RUN_START id=PP0036 window=IS terminal=PROD family=F01_be_atr
2026-08-31T00:01:45+00:00 RUN_END id=PP0032 window=IS decision=IS_NOISE_BAND elapsed=295.73s
2026-08-31T00:01:45+00:00 GATE_SKIP id=PP0032 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:01:45+00:00 RUN_START id=PP0037 window=IS terminal=BT3 family=F01_be_atr
2026-08-31T00:02:09+00:00 RUN_END id=PP0033 window=IS decision=IS_REJECT elapsed=289.775s
2026-08-31T00:02:09+00:00 GATE_SKIP id=PP0033 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:02:09+00:00 RUN_START id=PP0038 window=IS terminal=BT2 family=F01_be_atr
2026-08-31T00:02:35+00:00 RUN_END id=PP0034 window=IS decision=IS_NOISE_BAND elapsed=275.292s
2026-08-31T00:02:35+00:00 GATE_SKIP id=PP0034 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:02:35+00:00 RUN_START id=PP0039 window=IS terminal=BT4 family=F01_be_atr
2026-08-31T00:03:53+00:00 RUN_END id=PP0035 window=IS decision=IS_NOISE_BAND elapsed=240.039s
