id,family,mode,lookback,shock_atr,adverse_atr,status,net,pf,dd,trades
OFF,baseline,0,1,1.5,1.0,OK,158012.0,2.0294,19.1097,61
CAUSE_L1_T0.75,gold_cause,1,1,0.75,1.0,OK,95502.0,2.8433,16.7667,29
CAUSE_L1_T1.0,gold_cause,1,1,1.0,1.0,OK,145726.0,2.2315,20.5776,50
CAUSE_L1_T1.25,gold_cause,1,1,1.25,1.0,OK,128520.0,1.9161,17.4404,54
CAUSE_L1_T1.5,gold_cause,1,1,1.5,1.0,OK,138175.0,1.9291,18.164,59
CAUSE_L2_T0.75,gold_cause,1,2,0.75,1.0,OK,32418.0,1.4931,25.745,25
CAUSE_L2_T1.0,gold_cause,1,2,1.0,1.0,OK,102191.0,1.8858,19.2059,45
CAUSE_L2_T1.25,gold_cause,1,2,1.25,1.0,OK,104317.0,1.7994,17.6531,52
CAUSE_L2_T1.5,gold_cause,1,2,1.5,1.0,OK,130453.0,1.8459,19.5077,59
CAUSE_L3_T0.75,gold_cause,1,3,0.75,1.0,OK,22938.0,1.6811,22.6042,12
CAUSE_L3_T1.0,gold_cause,1,3,1.0,1.0,OK,73140.0,1.9479,17.3213,34
CAUSE_L3_T1.25,gold_cause,1,3,1.25,1.0,OK,124112.0,2.4444,8.9781,44
CAUSE_L3_T1.5,gold_cause,1,3,1.5,1.0,OK,139484.0,2.2857,10.4492,48
CAUSE_L5_T0.75,gold_cause,1,5,0.75,1.0,OK,-7696.0,0.0,7.696,1
CAUSE_L5_T1.0,gold_cause,1,5,1.0,1.0,OK,-396.0,0.98,15.305,7
CAUSE_L5_T1.25,gold_cause,1,5,1.25,1.0,OK,67032.0,2.2872,14.6175,25
CAUSE_L5_T1.5,gold_cause,1,5,1.5,1.0,OK,120172.0,2.1567,12.3741,40
CAUSE_L8_T0.75,gold_cause,1,8,0.75,1.0,OK,0.0,0.0,0.0,0
CAUSE_L8_T1.0,gold_cause,1,8,1.0,1.0,OK,0.0,0.0,0.0,0
CAUSE_L8_T1.25,gold_cause,1,8,1.25,1.0,OK,-13494.0,0.5586,15.7018,10
CAUSE_L8_T1.5,gold_cause,1,8,1.5,1.0,OK,-16961.0,0.8096,37.5862,27
EXIT_A0.2,gold_exit,2,1,1.5,0.2,OK,156039.0,3.0089,12.917,79
EXIT_A0.25,gold_exit,2,1,1.5,0.25,OK,185960.0,3.2099,15.06,79
EXIT_A0.3,gold_exit,2,1,1.5,0.3,OK,185162.0,3.1798,15.543,79
EXIT_A0.35,gold_exit,2,1,1.5,0.35,OK,175468.0,2.7225,15.96,79
EXIT_A0.4,gold_exit,2,1,1.5,0.4,OK,171422.0,2.6039,18.262,78
EXIT_A0.45,gold_exit,2,1,1.5,0.45,OK,160984.0,2.3808,19.983,77
EXIT_A0.5,gold_exit,2,1,1.5,0.5,OK,159461.0,2.3672,19.983,74
EXIT_A0.6,gold_exit,2,1,1.5,0.6,OK,168012.0,2.4698,23.634,72
EXIT_A0.7,gold_exit,2,1,1.5,0.7,OK,169688.0,2.314,23.128,71
EXIT_A0.8,gold_exit,2,1,1.5,0.8,OK,159112.0,2.111,17.411,70
EXIT_A0.9,gold_exit,2,1,1.5,0.9,OK,157777.0,2.0915,17.411,69
EXIT_A1.0,gold_exit,2,1,1.5,1.0,OK,156347.0,2.071,17.587,68
EXIT_A1.1,gold_exit,2,1,1.5,1.1,OK,138910.0,1.8512,22.097,67
EXIT_A1.2,gold_exit,2,1,1.5,1.2,OK,134679.0,1.8044,26.328,67
EXIT_A1.3,gold_exit,2,1,1.5,1.3,OK,134480.0,1.8022,26.527,66
EXIT_A1.4,gold_exit,2,1,1.5,1.4,OK,144327.0,1.9006,24.1021,64
EXIT_A1.5,gold_exit,2,1,1.5,1.5,OK,157460.0,2.0217,19.8057,63
EXIT_A1.75,gold_exit,2,1,1.5,1.75,OK,157556.0,2.023,19.7882,63
EXIT_A2.0,gold_exit,2,1,1.5,2.0,OK,158498.0,2.0359,19.0273,61
EXIT_A2.5,gold_exit,2,1,1.5,2.5,OK,158012.0,2.0294,19.1097,61
