period,id,family,model,status,net,pf,dd,trades
IS,OFF,baseline,open_prices,OK,123582.0,2.6201,9.7227,78
IS,CAUSE_L1_C1_D3.0,crypto_cause,open_prices,OK,107620.0,2.356,12.6354,76
IS,CAUSE_L1_C1_D5.0,crypto_cause,open_prices,OK,116759.0,2.4711,12.2339,78
IS,CAUSE_L1_C1_D7.5,crypto_cause,open_prices,OK,117103.0,2.4666,11.9936,78
IS,CAUSE_L1_C1_D10.0,crypto_cause,open_prices,OK,120679.0,2.5414,11.7013,78
IS,CAUSE_L1_C3_D3.0,crypto_cause,open_prices,OK,105718.0,2.5678,9.0378,62
IS,CAUSE_L1_C3_D5.0,crypto_cause,open_prices,OK,125990.0,2.8951,7.3339,72
IS,CAUSE_L1_C3_D7.5,crypto_cause,open_prices,OK,119013.0,2.7448,7.2701,74
IS,CAUSE_L1_C3_D10.0,crypto_cause,open_prices,OK,123876.0,2.647,9.1815,77
IS,CAUSE_L2_C1_D3.0,crypto_cause,open_prices,OK,105381.0,2.6443,7.4641,68
IS,CAUSE_L2_C1_D5.0,crypto_cause,open_prices,OK,117677.0,2.6943,7.3089,74
IS,CAUSE_L2_C1_D7.5,crypto_cause,open_prices,OK,118660.0,2.664,7.3072,75
IS,CAUSE_L2_C1_D10.0,crypto_cause,open_prices,OK,119047.0,2.5281,10.6355,78
IS,CAUSE_L2_C3_D3.0,crypto_cause,open_prices,OK,91292.0,2.5787,8.9387,59
IS,CAUSE_L2_C3_D5.0,crypto_cause,open_prices,OK,117964.0,2.8136,8.8599,69
IS,CAUSE_L2_C3_D7.5,crypto_cause,open_prices,OK,125990.0,2.8756,7.3339,73
IS,CAUSE_L2_C3_D10.0,crypto_cause,open_prices,OK,119430.0,2.5972,8.5427,77
IS,CAUSE_L3_C1_D3.0,crypto_cause,open_prices,OK,107881.0,2.6811,7.5749,67
IS,CAUSE_L3_C1_D5.0,crypto_cause,open_prices,OK,118682.0,2.6435,10.5014,73
IS,CAUSE_L3_C1_D7.5,crypto_cause,open_prices,OK,117545.0,2.6341,9.6832,75
IS,CAUSE_L3_C1_D10.0,crypto_cause,open_prices,OK,122653.0,2.6781,8.9187,77
IS,CAUSE_L3_C3_D3.0,crypto_cause,open_prices,OK,98864.0,2.8112,8.9522,57
IS,CAUSE_L3_C3_D5.0,crypto_cause,open_prices,OK,101253.0,2.5553,10.2867,64
IS,CAUSE_L3_C3_D7.5,crypto_cause,open_prices,OK,117856.0,2.7696,10.1686,71
IS,CAUSE_L3_C3_D10.0,crypto_cause,open_prices,OK,125487.0,2.8159,10.1194,73
IS,CAUSE_L5_C1_D3.0,crypto_cause,open_prices,OK,99926.0,2.7113,7.67,63
IS,CAUSE_L5_C1_D5.0,crypto_cause,open_prices,OK,114111.0,2.9386,7.3714,66
IS,CAUSE_L5_C1_D7.5,crypto_cause,open_prices,OK,101618.0,2.4288,10.6144,70
IS,CAUSE_L5_C1_D10.0,crypto_cause,open_prices,OK,106768.0,2.437,10.2436,73
IS,CAUSE_L5_C3_D3.0,crypto_cause,open_prices,OK,86698.0,2.5236,9.3361,57
IS,CAUSE_L5_C3_D5.0,crypto_cause,open_prices,OK,103970.0,2.7269,9.1878,62
IS,CAUSE_L5_C3_D7.5,crypto_cause,open_prices,OK,104823.0,2.585,10.8009,69
IS,CAUSE_L5_C3_D10.0,crypto_cause,open_prices,OK,124787.0,2.8933,10.1191,71
IS,CAUSE_L8_C1_D3.0,crypto_cause,open_prices,OK,112581.0,3.0359,7.4617,60
IS,CAUSE_L8_C1_D5.0,crypto_cause,open_prices,OK,118221.0,3.1157,7.372,64
IS,CAUSE_L8_C1_D7.5,crypto_cause,open_prices,OK,118060.0,2.9972,7.3637,71
IS,CAUSE_L8_C1_D10.0,crypto_cause,open_prices,OK,108353.0,2.4349,10.3218,74
IS,CAUSE_L8_C3_D3.0,crypto_cause,open_prices,OK,103042.0,2.9161,7.3597,51
IS,CAUSE_L8_C3_D5.0,crypto_cause,open_prices,OK,106541.0,2.9562,7.4256,54
IS,CAUSE_L8_C3_D7.5,crypto_cause,open_prices,OK,119340.0,3.1159,7.3623,65
IS,CAUSE_L8_C3_D10.0,crypto_cause,open_prices,OK,111454.0,2.7168,9.5561,68
OOS,OFF,baseline,open_prices,OK,22109.0,1.475,13.4703,61
OOS,CAUSE_L1_C1_D3.0,crypto_cause,open_prices,OK,11922.0,1.2518,17.0973,57
OOS,CAUSE_L1_C1_D5.0,crypto_cause,open_prices,OK,12004.0,1.2492,17.0869,58
OOS,CAUSE_L1_C1_D7.5,crypto_cause,open_prices,OK,19237.0,1.3874,16.2185,59
OOS,CAUSE_L1_C1_D10.0,crypto_cause,open_prices,OK,18995.0,1.3825,16.2461,59
OOS,CAUSE_L1_C3_D3.0,crypto_cause,open_prices,OK,180.0,1.0035,21.4466,48
OOS,CAUSE_L1_C3_D5.0,crypto_cause,open_prices,OK,24979.0,1.5984,12.5403,53
OOS,CAUSE_L1_C3_D7.5,crypto_cause,open_prices,OK,29316.0,1.6802,13.0532,55
OOS,CAUSE_L1_C3_D10.0,crypto_cause,open_prices,OK,33808.0,1.7794,12.6705,59
OOS,CAUSE_L2_C1_D3.0,crypto_cause,open_prices,OK,22333.0,1.518,15.8732,55
OOS,CAUSE_L2_C1_D5.0,crypto_cause,open_prices,OK,12773.0,1.2781,16.9902,57
OOS,CAUSE_L2_C1_D7.5,crypto_cause,open_prices,OK,21244.0,1.4649,15.993,58
OOS,CAUSE_L2_C1_D10.0,crypto_cause,open_prices,OK,19725.0,1.4178,16.1631,59
OOS,CAUSE_L2_C3_D3.0,crypto_cause,open_prices,OK,233.0,1.0049,21.4376,45
OOS,CAUSE_L2_C3_D5.0,crypto_cause,open_prices,OK,8323.0,1.2102,14.1948,49
OOS,CAUSE_L2_C3_D7.5,crypto_cause,open_prices,OK,21872.0,1.5028,12.819,56
OOS,CAUSE_L2_C3_D10.0,crypto_cause,open_prices,OK,17659.0,1.3659,16.4003,57
OOS,CAUSE_L3_C1_D3.0,crypto_cause,open_prices,OK,16825.0,1.3722,16.4981,55
OOS,CAUSE_L3_C1_D5.0,crypto_cause,open_prices,OK,29467.0,1.6597,15.1309,56
OOS,CAUSE_L3_C1_D7.5,crypto_cause,open_prices,OK,29753.0,1.6701,15.1026,57
OOS,CAUSE_L3_C1_D10.0,crypto_cause,open_prices,OK,21851.0,1.4921,15.926,57
OOS,CAUSE_L3_C3_D3.0,crypto_cause,open_prices,OK,9107.0,1.2333,14.1072,46
OOS,CAUSE_L3_C3_D5.0,crypto_cause,open_prices,OK,10582.0,1.2709,13.9453,48
OOS,CAUSE_L3_C3_D7.5,crypto_cause,open_prices,OK,29039.0,1.7709,12.1939,52
OOS,CAUSE_L3_C3_D10.0,crypto_cause,open_prices,OK,29267.0,1.7765,12.175,53
OOS,CAUSE_L5_C1_D3.0,crypto_cause,open_prices,OK,19563.0,1.4492,13.0343,52
OOS,CAUSE_L5_C1_D5.0,crypto_cause,open_prices,OK,22785.0,1.525,13.6527,54
OOS,CAUSE_L5_C1_D7.5,crypto_cause,open_prices,OK,21501.0,1.4797,13.7771,55
OOS,CAUSE_L5_C1_D10.0,crypto_cause,open_prices,OK,15060.0,1.346,14.437,57
OOS,CAUSE_L5_C3_D3.0,crypto_cause,open_prices,OK,12197.0,1.3631,13.7722,39
OOS,CAUSE_L5_C3_D5.0,crypto_cause,open_prices,OK,13997.0,1.3945,13.5843,44
OOS,CAUSE_L5_C3_D7.5,crypto_cause,open_prices,OK,10332.0,1.2451,14.9631,48
OOS,CAUSE_L5_C3_D10.0,crypto_cause,open_prices,OK,10353.0,1.2406,14.9607,53
OOS,CAUSE_L8_C1_D3.0,crypto_cause,open_prices,OK,3553.0,1.0882,15.788,46
OOS,CAUSE_L8_C1_D5.0,crypto_cause,open_prices,OK,15852.0,1.396,14.3525,49
OOS,CAUSE_L8_C1_D7.5,crypto_cause,open_prices,OK,25276.0,1.6374,13.4177,51
OOS,CAUSE_L8_C1_D10.0,crypto_cause,open_prices,OK,22883.0,1.5468,13.6433,53
OOS,CAUSE_L8_C3_D3.0,crypto_cause,open_prices,OK,4772.0,1.1579,14.6057,36
OOS,CAUSE_L8_C3_D5.0,crypto_cause,open_prices,OK,2283.0,1.069,14.9081,40
OOS,CAUSE_L8_C3_D7.5,crypto_cause,open_prices,OK,18095.0,1.5068,13.175,44
OOS,CAUSE_L8_C3_D10.0,crypto_cause,open_prices,OK,20790.0,1.5716,12.919,48
IS,OFF,baseline,every_tick,OK,123347.0,2.6934,10.0614,78
IS,EXIT_D2,crypto_exit,every_tick,OK,71589.0,1.6279,19.4041,152
IS,EXIT_D3,crypto_exit,every_tick,OK,96146.0,1.9122,9.2185,118
IS,EXIT_D4,crypto_exit,every_tick,OK,94643.0,1.8259,18.9367,106
IS,EXIT_D5,crypto_exit,every_tick,OK,104495.0,1.99,20.2824,94
IS,EXIT_D6,crypto_exit,every_tick,OK,121846.0,2.2795,7.5191,89
IS,EXIT_D7,crypto_exit,every_tick,OK,120444.0,2.2464,8.8594,88
OOS,OFF,baseline,every_tick,OK,22024.0,1.4725,13.4827,61
OOS,EXIT_D2,crypto_exit,every_tick,OK,-9268.0,0.822,22.737,187
OOS,EXIT_D3,crypto_exit,every_tick,OK,-5205.0,0.9115,20.1388,146
OOS,EXIT_D4,crypto_exit,every_tick,OK,16145.0,1.2817,23.7923,116
OOS,EXIT_D5,crypto_exit,every_tick,OK,19962.0,1.3573,20.4924,101
OOS,EXIT_D6,crypto_exit,every_tick,OK,17627.0,1.3047,19.8578,92
OOS,EXIT_D7,crypto_exit,every_tick,FAILED,,,,
