window,variant,status,net_jpy,pf_jpy,max_dd_jpy,dd_jpy,rf,trades,months,monthly_simple_pct
IS,GOLD2,OK,331176.79,1.8718825447675405,32052.719999999972,32.05271999999997,10.332252301832739,304,60,5.519613166666667
OOS,GOLD2,OK,60050.520000000004,1.3961922853288133,13806.080000000002,13.806080000000001,4.349570623956981,317,60,1.000842
FULL,GOLD2,OK,391227.31,1.7362058864546803,32052.719999999972,32.05271999999997,12.205744473479953,621,120,3.260227583333333
IS,CRYPTO3_OFF,OK,115406.39,2.992496095079273,15600.550000000017,15.600550000000018,7.3975847005393955,67,60,1.9234398333333333
OOS,CRYPTO3_OFF,OK,21626.829999999998,1.4593628385350401,18771.789999999994,18.771789999999992,1.152092048760401,61,60,0.3604471666666666
FULL,CRYPTO3_OFF,OK,119496.8,2.3786809604137216,20759.54999999999,20.759549999999987,5.756232673636956,104,120,0.9958066666666666
IS,CRYPTO3_D10,OK,115465.98,3.0043069711588117,15600.550000000017,15.600550000000018,7.401404437664048,66,60,1.9244329999999996
OOS,CRYPTO3_D10,OK,34594.17,1.8000581411887306,19350.809999999998,19.35081,1.7877375675746907,59,60,0.5765695
FULL,CRYPTO3_D10,INVALID_OOS_DUPLICATE,34594.17,1.8000581411887306,19350.809999999998,19.35081,1.7877375675746907,59,120,0.28828475
FULL,PB_GOLD,OK,165910.5,1.8172982568560037,20607.37000000004,20.60737000000004,8.051027375157513,113,120,1.3825874999999999
FULL,SCA_GOLD,OK,225316.81,1.6860808180664337,25061.01999999999,25.06101999999999,8.990727831508856,508,120,1.877640083333333
FULL,ETH,INVALID_HISTORY_MISSING,0,inf,0.0,0.0,inf,0,120,0.0
FULL,BTC_FUND,OK,35600.46,2.130699557317787,11658.759999999995,11.658759999999994,3.053537425935521,42,120,0.2966705
FULL,BFXREV,OK,83896.34,2.520153420793381,17596.39,17.59639,4.767815443963222,62,120,0.6991361666666666
IS,CRYPTO3_D10_X2,OK,230347.01,2.9961844520907346,31305.619999999995,31.305619999999994,7.3580082426094755,66,60,3.8391168333333336
OOS,CRYPTO3_D10_X2,OK,69206.91,1.8003636665162086,38700.52999999997,38.70052999999997,1.7882677575733474,59,60,1.1534485
