window,case,multiplier,status,net_jpy,pf_jpy,max_dd_jpy,dd_jpy,rf,trades
IS,OFF,1,OK,446844.48,2.0210432332205803,35671.77999999997,35.67177999999997,12.526554043560495,371
OOS,OFF,1,OK,81668.54000000001,1.411092704647741,22530.699999999983,22.53069999999998,3.6247670955629463,378
FULL,OFF,1,OK,510976.6,1.826861136051133,33643.419999999955,33.643419999999956,15.188010018006512,725
IS,D5,1,OK,433890.22,1.9915958585599116,35671.77999999997,35.67177999999997,12.163402555185089,364
OOS,D5,1,OK,86656.45,1.4480126598488678,21355.29999999996,21.35529999999996,4.057842783758606,370
FULL,D5,1,OK,503904.99,1.8236821995833636,33643.419999999955,33.643419999999956,14.977817059026718,710
IS,D10,1,OK,446904.07,2.0219069565962635,35671.77999999997,35.67177999999997,12.528224551732501,370
OOS,D10,1,OK,94635.88,1.485756585216599,21355.29999999999,21.35529999999999,4.431493821205979,376
FULL,D10,1,OK,520313.37,1.8476578396739811,33643.419999999984,33.643419999999985,15.46553144715966,721
IS,BOTH,1,OK,433890.22,1.9915958585599116,35671.77999999997,35.67177999999997,12.163402555185089,364
OOS,BOTH,1,OK,86656.45,1.4480126598488678,21355.29999999996,21.35529999999996,4.057842783758606,370
FULL,BOTH,1,OK,503904.99,1.8236821995833636,33643.419999999955,33.643419999999956,14.977817059026718,710
