proposal_id,family,description,parameter_json
M001,BASE,現行・全ラボOFF,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}"
M002,R1,RSI極値の寿命2本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":2,""RsiResetOnMAFlip"":false}"
M003,R1,RSI極値の寿命4本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":4,""RsiResetOnMAFlip"":false}"
M004,R1,RSI極値の寿命8本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":8,""RsiResetOnMAFlip"":false}"
M005,R1,RSI極値の寿命16本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":16,""RsiResetOnMAFlip"":false}"
M006,R1,RSI極値の寿命32本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":32,""RsiResetOnMAFlip"":false}"
M007,R2,BB逸脱の寿命2本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":2,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}"
M008,R2,BB逸脱の寿命4本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":4,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}"
M009,R2,BB逸脱の寿命8本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":8,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}"
M010,R2,BB逸脱の寿命16本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":16,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}"
