proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
M001,BASE,現行・全ラボOFF,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}",1,IS,OK,257817.0,1.3476,7.314,0.8594,1595,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M001_20260908000606_ecea_deals.csv,269.5,rm_is_M001_20260908000606_ecea,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684
M002,R1,RSI極値の寿命2本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":2,""RsiResetOnMAFlip"":false}",1,IS,OK,256430.0,1.3458,7.279,0.8548,1590,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M002_20260908001036_a911_deals.csv,269.6,rm_is_M002_20260908001036_a911,22267,59,22291,13,7616,107,6468,271,13286,65,13096,56,25882,7,18563,328,73773,684
M003,R1,RSI極値の寿命4本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":4,""RsiResetOnMAFlip"":false}",1,IS,OK,256430.0,1.3458,7.279,0.8548,1590,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M003_20260908001506_4e84_deals.csv,269.7,rm_is_M003_20260908001506_4e84,22267,59,22291,13,7616,107,6468,271,13286,65,13096,56,25882,7,18563,328,73773,684
M004,R1,RSI極値の寿命8本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":8,""RsiResetOnMAFlip"":false}",1,IS,OK,256430.0,1.3458,7.279,0.8548,1590,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M004_20260908001935_4d29_deals.csv,269.6,rm_is_M004_20260908001935_4d29,22267,59,22291,13,7616,107,6468,271,13286,65,13096,56,25882,7,18563,328,73773,684
M005,R1,RSI極値の寿命16本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":16,""RsiResetOnMAFlip"":false}",1,IS,OK,258009.0,1.3479,7.279,0.86,1591,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M005_20260908002405_36e7_deals.csv,269.6,rm_is_M005_20260908002405_36e7,22267,59,22291,13,7616,107,8047,272,13286,65,13096,56,25882,7,18563,328,73773,684
M006,R1,RSI極値の寿命32本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":0,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":32,""RsiResetOnMAFlip"":false}",1,IS,OK,257817.0,1.3476,7.314,0.8594,1595,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M006_20260908002834_8a55_deals.csv,269.7,rm_is_M006_20260908002834_8a55,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684
M007,R2,BB逸脱の寿命2本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":2,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}",1,IS,OK,239996.0,1.3394,7.1213,0.8,1456,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M007_20260908003304_a677_deals.csv,264.6,rm_is_M007_20260908003304_a677,22267,59,22291,13,10561,95,-2881,174,3255,40,13097,56,25882,7,18563,328,73773,684
M008,R2,BB逸脱の寿命4本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":4,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}",1,IS,OK,248451.0,1.3482,6.8372,0.8282,1487,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M008_20260908003729_c2c1_deals.csv,264.9,rm_is_M008_20260908003729_c2c1,22267,59,22291,13,10561,95,1878,200,6951,45,13097,56,25882,7,18563,328,73773,684
M009,R2,BB逸脱の寿命8本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":8,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}",1,IS,OK,254057.0,1.3545,6.7224,0.8469,1502,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M009_20260908004154_3f68_deals.csv,322.0,rm_is_M009_20260908004154_3f68,22267,59,22291,13,11663,96,4894,213,8439,46,13097,56,25882,7,18563,328,73773,684
M010,R2,BB逸脱の寿命16本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":16,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}",1,IS,OK,248242.0,1.3429,7.0086,0.8275,1523,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M010_20260908004716_3df5_deals.csv,269.7,rm_is_M010_20260908004716_3df5,22267,59,22291,13,9896,100,4583,228,4702,48,13097,56,25882,7,18563,328,73773,684
M011,R2,BB逸脱の寿命32本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":32,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":0,""RsiResetOnMAFlip"":false}",1,IS,OK,251170.0,1.3445,6.8566,0.8372,1544,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M011_20260908005145_0e75_deals.csv,264.6,rm_is_M011_20260908005145_0e75,22267,59,22291,13,9396,101,4427,243,8286,53,13097,56,25882,7,18563,328,73773,684
M012,R3,RSI寿命4本・BB寿命4本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":4,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":4,""RsiResetOnMAFlip"":false}",1,IS,OK,251949.0,1.3856,6.1198,0.8398,1292,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M012_20260908005610_af92_deals.csv,259.5,rm_is_M012_20260908005610_af92,22267,59,22291,13,8386,76,7386,51,7118,18,13095,56,25882,7,18563,328,73773,684
M013,R3,RSI寿命4本・BB寿命16本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":16,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":4,""RsiResetOnMAFlip"":false}",1,IS,OK,252148.0,1.3764,6.2665,0.8405,1345,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M013_20260908010030_fb56_deals.csv,259.6,rm_is_M013_20260908010030_fb56,22267,59,22291,13,7721,81,7135,94,8233,23,13095,56,25882,7,18563,328,73773,684
M014,R3,RSI寿命16本・BB寿命4本,"{""GlobalLotMult"":1,""RsiBBFlagMaxBars"":4,""RsiConsumeWhileHeld"":false,""RsiMemSleeveMask"":0,""RsiRSIFlagMaxBars"":16,""RsiResetOnMAFlip"":false}",1,IS,OK,253650.0,1.3873,6.208,0.8455,1298,C:\Users\f\source\repos\mt5_backtester\ml\rsimem1\run_deals\rm_is_M014_20260908010449_7b42_deals.csv,269.7,rm_is_M014_20260908010449_7b42,22267,59,22291,13,8386,76,7461,56,8744,19,13095,56,25882,7,18563,328,73773,684
