proposal_id,family,description,IS_net,IS_nm,IS_dd,IS_dm,IS_eff,IS_sca2,IS_canni,IS_netcontrib,IS_n2,IS_fixed_dd_mult,IS_dd_advantage,OOS_net,OOS_nm,OOS_dd,OOS_dm,OOS_eff,OOS_sca2,OOS_canni,OOS_netcontrib,OOS_n2,OOS_fixed_dd_mult,OOS_dd_advantage,worst_eff,worst_adv
S2057,S06_boost,Boostなし＋金曜も取引,509779.0,1.3429726810506073,4.0473,0.998051884000789,1.345594054356342,133719.0,-3530.0,130189.0,111,1.232899557121985,0.23484767312119592,95933.0,1.2523399866845946,2.1641,0.9614376471633568,1.302570156660207,22641.0,-3311.0,19330.0,103,1.1732290174159552,0.21179137025259842,1.302570156660207,0.21179137025259842
S2022,S02_timing,第2レンジ13-15時・締切19h・強制決済23h,523824.0,1.3799731289022366,4.3718,1.078072598145591,1.2800372918075733,147764.0,-3530.0,144234.0,79,1.2569214772633197,0.17884887911772873,96413.0,1.2586060598148898,2.2407,0.9954684792749566,1.2643354219830123,23121.0,-3311.0,19810.0,81,1.1773938719247203,0.1819253926497637,1.2643354219830123,0.17884887911772873
S2047,S05_buffer,ブレイクバッファ 0.02ATR（既定0.05）,514474.0,1.3553412892858083,4.3588,1.0748668376405601,1.2609387896466484,138414.0,-3530.0,134884.0,88,1.2409507759464193,0.1660839383058592,101478.0,1.324726185658525,2.2238,0.9879603714069928,1.3408697595551642,28186.0,-3311.0,24875.0,89,1.2209827995932379,0.23302242818624508,1.2609387896466484,0.1660839383058592
S2020,S02_timing,第2レンジ13-15時・締切18h・強制決済23h,515974.0,1.3592929213098344,4.3913,1.0828812389031368,1.2552557681086784,139914.0,-3530.0,136384.0,69,1.2435185530318849,0.16063731412874804,105273.0,1.3742673263449212,2.1546,0.957217113154738,1.435690302083813,31981.0,-3311.0,28670.0,71,1.253229378025976,0.296012264871238,1.2552557681086784,0.16063731412874804
S2046,S05_buffer,ブレイクバッファ 0.0ATR（既定0.05）,502827.0,1.3246581838299218,4.3512,1.0729927007299271,1.2345453822088386,126767.0,-3530.0,123237.0,91,1.2209382990208113,0.14794559829088416,97336.0,1.2706551962716865,2.2237,0.9879159447332178,1.2861976801222914,24044.0,-3311.0,20733.0,94,1.1853856867830277,0.19746974204980994,1.2345453822088386,0.14794559829088416
S2010,S01_window,第2レンジ 13-15時（締切20h・決済23h）,522798.0,1.377270212597803,4.4935,1.1080834484119155,1.2429300469848916,146738.0,-3530.0,143208.0,84,1.2551730325933816,0.14708958418146612,97839.0,1.2772215187394749,2.2406,0.9954240526011817,1.2830928842857645,24547.0,-3311.0,21236.0,85,1.1897316665019624,0.19430761390078066,1.2429300469848916,0.14708958418146612
S2024,S02_timing,第2レンジ13-15時・締切21h・強制決済23h,522798.0,1.377270212597803,4.4935,1.1080834484119155,1.2429300469848916,146738.0,-3530.0,143208.0,84,1.2551730325933816,0.14708958418146612,98488.0,1.2856937717843948,2.2382,0.9943578124305833,1.2929890585780959,25196.0,-3311.0,21885.0,88,1.195329543207831,0.20097173077724773,1.2429300469848916,0.14708958418146612
S2054,S06_boost,Boost倍率 2.5（既定2.0）,522798.0,1.377270212597803,4.4935,1.1080834484119155,1.2429300469848916,146738.0,-3530.0,143208.0,84,1.2551730325933816,0.14708958418146612,97839.0,1.2772215187394749,2.2406,0.9954240526011817,1.2830928842857645,24547.0,-3311.0,21236.0,85,1.1897316665019624,0.19430761390078066,1.2429300469848916,0.14708958418146612
S2032,S03_range_filter,レンジ幅 0.4〜0.8ATR（既定0.40〜1.00）,522947.0,1.377662741378856,4.4656,1.101203393174196,1.2510520308221824,146887.0,-3530.0,143357.0,82,1.255427010742429,0.154223617568233,92230.0,1.2039998433481718,2.2406,0.9954240526011817,1.2095346101010442,18938.0,-3311.0,15627.0,82,1.1408926061837164,0.14546855358253463,1.2095346101010442,0.14546855358253463
S2027,S02_timing,第2レンジ13-15時・締切22h・強制決済23h,522087.0,1.3753971390184145,4.4993,1.109513710791083,1.239639605749222,146027.0,-3530.0,142497.0,86,1.253960807371756,0.144447096580673,96180.0,1.2555644034828923,2.2983,1.0210582433693187,1.22966971927061,22888.0,-3311.0,19577.0,91,1.1753729349901767,0.15431469162085798,1.22966971927061,0.144447096580673
