label,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,elapsed,run_id
BASELINE,IS,OK,379590.0,2.0824,4.0552,1.2653,305,196940,63,182650,242,,,83.7,cf_is_BASELINE_20260905111412_b64e
S2046,IS,OK,502827.0,2.0932,4.3512,1.6761,396,196940,63,179120,242,126767,91,88.6,cf_is_S2046_20260905111536_e154
S2047,IS,OK,514474.0,2.1565,4.3588,1.7149,393,196940,63,179120,242,138414,88,88.6,cf_is_S2047_20260905111704_801b
S2057,IS,OK,509779.0,2.1907,4.0473,1.6993,416,196940,63,179120,242,133719,111,88.6,cf_is_S2057_20260905111833_dde3
FULL_BASE,IS,OK,487081.0,2.1868,5.2386,1.6236,372,196940,63,179120,242,,,269.1,cf_is_FULL_BASE_20260905112001_7f63
FULL_S2046,IS,OK,610318.0,2.1744,5.4575,2.0344,463,196940,63,179120,242,123237,91,274.0,cf_is_FULL_S2046_20260905112430_21c3
BASELINE,OOS,OK,76603.0,1.582,2.2509,0.2786,295,20752,50,55851,245,,,63.6,cf_oos_BASELINE_20260905112904_5ac0
S2046,OOS,OK,97336.0,1.5254,2.2237,0.3539,389,20752,50,52540,245,24044,94,68.5,cf_oos_S2046_20260905113008_5b4a
S2047,OOS,OK,101478.0,1.5666,2.2238,0.369,384,20752,50,52540,245,28186,89,63.5,cf_oos_S2047_20260905113116_dbd2
S2057,OOS,OK,95933.0,1.5449,2.1641,0.3488,398,20752,50,52540,245,22641,103,63.6,cf_oos_S2057_20260905113220_8da9
FULL_BASE,OOS,OK,98202.0,1.5281,3.094,0.3571,376,20752,50,52540,245,,,153.8,cf_oos_FULL_BASE_20260905113324_c820
FULL_S2046,OOS,OK,118935.0,1.4964,2.9946,0.4325,470,20752,50,52540,245,20733,94,153.8,cf_oos_FULL_S2046_20260905113557_b242
