proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,description,parameter_json,elapsed,run_id
S2001,S01_window,IS,OK,445655.0,1.8167,4.1736,1.4855,438,196940,63,179120,242,69595,133,第2レンジ 9-11時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 11, ""Sca2RangeStart"": 9, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.6,s2_is_S2001_20260905080518_efd1
S2002,S01_window,IS,OK,401884.0,1.6099,6.6501,1.3396,532,196940,63,179120,242,25824,227,第2レンジ 9-12時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 12, ""Sca2RangeStart"": 9, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.6,s2_is_S2002_20260905080646_9a13
S2003,S01_window,IS,OK,417913.0,1.6005,6.7722,1.393,600,196940,63,179120,242,41853,295,第2レンジ 9-13時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 13, ""Sca2RangeStart"": 9, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.6,s2_is_S2003_20260905080815_46d1
S2004,S01_window,IS,OK,446751.0,1.9756,4.2962,1.4892,372,196940,63,179120,242,70691,67,第2レンジ 11-13時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 13, ""Sca2RangeStart"": 11, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.7,s2_is_S2004_20260905080944_0bc8
S2005,S01_window,IS,OK,446144.0,1.8291,4.8226,1.4871,439,196940,63,179120,242,70084,134,第2レンジ 11-14時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 14, ""Sca2RangeStart"": 11, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.6,s2_is_S2005_20260905081112_e496
S2006,S01_window,IS,OK,521485.0,1.9191,5.7982,1.7383,521,196940,63,179120,242,145425,216,第2レンジ 11-15時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 11, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.7,s2_is_S2006_20260905081241_070b
S2007,S01_window,IS,OK,474065.0,2.018,4.1867,1.5802,370,196940,63,179120,242,98005,65,第2レンジ 12-14時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 14, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.6,s2_is_S2007_20260905081410_e086
S2008,S01_window,IS,OK,500456.0,2.0249,5.5927,1.6682,441,196940,63,179120,242,124396,136,第2レンジ 12-15時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.6,s2_is_S2008_20260905081538_5273
S2009,S01_window,IS,OK,445213.0,1.7163,7.1309,1.484,625,196940,63,179120,242,69153,320,第2レンジ 12-16時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.7,s2_is_S2009_20260905081707_a545
S2010,S01_window,IS,OK,522798.0,2.2221,4.4935,1.7427,389,196940,63,179120,242,146738,84,第2レンジ 13-15時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.7,s2_is_S2010_20260905081835_1961
S2011,S01_window,IS,OK,508031.0,1.8629,5.0208,1.6934,584,196940,63,179120,242,131971,279,第2レンジ 13-16時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.6,s2_is_S2011_20260905082004_1b9c
S2012,S01_window,IS,OK,417428.0,1.7114,5.4884,1.3914,616,196940,63,179120,242,41368,311,第2レンジ 13-17時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 17, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.6,s2_is_S2012_20260905082133_682f
S2013,S01_window,IS,OK,381975.0,1.6685,5.1569,1.2732,537,196940,63,179120,242,5915,232,第2レンジ 14-16時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 14, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.6,s2_is_S2013_20260905082301_c6d3
S2014,S01_window,IS,OK,390859.0,1.6744,8.6852,1.3029,597,196940,63,179120,242,14799,292,第2レンジ 14-17時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 17, ""Sca2RangeStart"": 14, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",88.6,s2_is_S2014_20260905082430_68ff
