proposal_id,description,IS_total,IS_n,IS_best_year,IS_best_val,IS_ex_best,IS_years_pos,IS_years,OOS_total,OOS_n,OOS_best_year,OOS_best_val,OOS_ex_best,OOS_years_pos,OOS_years,worst_ex
S2B052,第2レンジ12-14時 × RR1.9,76239.0,71,2026,36488.0,39751.0,5,6,13018.0,70,2021,6725.0,6293.0,5,6,6293.0
S2B013,第2レンジ13-14時（締切20h・決済23h）,70248.0,30,2026,64186.0,6062.0,4,6,23925.0,25,2020,16227.0,7698.0,5,5,6062.0
S2B051,第2レンジ12-14時 × RR1.5,60369.0,71,2024,27850.0,32519.0,5,6,12256.0,70,2021,6264.0,5992.0,5,6,5992.0
S2B025,第2レンジ13-15時・締切17h（決済23h）,32074.0,60,2025,25725.0,6349.0,5,6,40452.0,71,2020,34920.0,5532.0,4,6,5532.0
S2B032,第2レンジ13-15時・強制決済22h（締切20h）,84435.0,91,2026,55713.0,28722.0,5,6,9500.0,96,2020,3996.0,5504.0,5,6,5504.0
S2B048,第2セッションのRRを1.9に（中心1.7）,39152.0,91,2025,23592.0,15560.0,5,6,23271.0,93,2020,18088.0,5183.0,5,6,5183.0
S2B050,第2セッションのRRを2.4に（中心1.7）,57463.0,91,2025,31793.0,25670.0,5,6,20422.0,93,2020,15325.0,5097.0,5,6,5097.0
S2B011,第2レンジ12-14時（締切20h・決済23h）,64148.0,71,2024,27114.0,37034.0,5,6,11182.0,70,2021,6269.0,4913.0,5,6,4913.0
S2B014,第2レンジ13-15時（締切20h・決済23h）,123237.0,91,2026,87246.0,35991.0,5,6,20733.0,94,2020,15857.0,4876.0,5,6,4876.0
S2B026,第2レンジ13-15時・締切18h（決済23h）,122392.0,78,2026,86750.0,35642.0,5,6,26624.0,82,2020,21777.0,4847.0,5,6,4847.0
S2B049,第2セッションのRRを2.1に（中心1.7）,45123.0,91,2025,25904.0,19219.0,5,6,16411.0,93,2020,11692.0,4719.0,5,6,4719.0
S2B002,第2レンジ9-11時（締切20h・決済23h）,105626.0,147,2025,59535.0,46091.0,5,6,17213.0,150,2021,12695.0,4518.0,3,6,4518.0
S2B047,第2セッションのRRを1.5に（中心1.7）,103909.0,91,2026,72907.0,31002.0,5,6,16052.0,94,2020,11543.0,4509.0,4,6,4509.0
S2B028,第2レンジ13-15時・締切21h（決済23h）,123237.0,91,2026,87246.0,35991.0,5,6,20783.0,99,2020,16538.0,4245.0,4,6,4245.0
S2B024,第2レンジ13-15時・締切16h（決済23h）,49446.0,38,2025,28249.0,21197.0,4,6,26115.0,47,2020,21937.0,4178.0,4,5,4178.0
S2B027,第2レンジ13-15時・締切19h（決済23h）,125381.0,85,2026,86750.0,38631.0,5,6,18420.0,88,2020,14640.0,3780.0,4,6,3780.0
S2B046,第2セッションのRRを1.3に（中心1.7）,89416.0,91,2026,59404.0,30012.0,5,6,9675.0,94,2020,6345.0,3330.0,4,6,3330.0
S2B010,第2レンジ12-13時（締切20h・決済23h）,21514.0,15,2022,9899.0,11615.0,5,5,8174.0,26,2016,4865.0,3309.0,4,5,3309.0
S2B031,第2レンジ13-15時・強制決済21h（締切20h）,93587.0,91,2026,64818.0,28769.0,5,6,4890.0,96,2021,2240.0,2650.0,4,6,2650.0
S2B029,第2レンジ13-15時・締切22h（決済23h）,122324.0,92,2026,87246.0,35078.0,5,6,18903.0,102,2020,16538.0,2365.0,3,6,2365.0
S2B030,第2レンジ13-15時・強制決済20h（締切20h）,99065.0,91,2026,55860.0,43205.0,5,6,3616.0,96,2021,2191.0,1425.0,4,6,1425.0
