proposal_id,description,IS_ex_best,OOS_ex_best,IS_edge,OOS_edge,IS_years,OOS_years
S2B013,第2レンジ13-14時（締切20h・決済23h）,6062.0,7698.0,0.222890014845756,0.218098505422346,4/6,5/5
S2B025,第2レンジ13-15時・締切17h（決済23h）,6349.0,5532.0,0.009125098794337427,0.4029833972302723,5/6,4/6
S2B032,第2レンジ13-15時・強制決済22h（締切20h）,28722.0,5504.0,0.08372939900928267,0.05944663303528075,5/6,5/6
S2B050,第2セッションのRRを2.4に（中心1.7）,25670.0,5097.0,0.023984900201257098,0.19433514034034838,5/6,5/6
S2B014,第2レンジ13-15時（締切20h・決済23h）,35991.0,4876.0,0.14794559829088416,0.19746974204980994,5/6,5/6
S2B026,第2レンジ13-15時・締切18h（決済23h）,35642.0,4847.0,0.18244231280638434,0.28395660607759654,5/6,5/6
S2B047,第2セッションのRRを1.5に（中心1.7）,31002.0,4509.0,0.11312859466683678,0.1626155920029162,5/6,4/6
S2B028,第2レンジ13-15時・締切21h（決済23h）,35991.0,4245.0,0.14794559829088416,0.1923487048011746,5/6,4/6
S2B024,第2レンジ13-15時・締切16h（決済23h）,21197.0,4178.0,0.09055873544445459,0.30379486882246676,4/6,4/5
S2B027,第2レンジ13-15時・締切19h（決済23h）,38631.0,3780.0,0.1839930624152326,0.1757567826628853,5/6,4/6
S2B046,第2セッションのRRを1.3に（中心1.7）,30012.0,3330.0,0.08740072880698091,0.08740354530563832,5/6,4/6
S2B031,第2レンジ13-15時・強制決済21h（締切20h）,28769.0,2650.0,0.13623099073680356,0.009329116263804949,5/6,4/6
S2B029,第2レンジ13-15時・締切22h（決済23h）,35078.0,2365.0,0.144620346851974,0.1727620977627552,5/6,3/6
