label,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,sca3_net,sca3_n,elapsed,run_id
BASELINE,IS,OK,502827.0,2.0932,4.3512,1.6761,396,196940,63,179120,242,126767,91,,,88.7,cf3_is_BASELINE_20260905195602_6a59
S3018,IS,OK,577782.0,1.8821,4.6724,1.9259,517,196940,63,179120,242,123237,91,78485,121,93.7,cf3_is_S3018_20260905195731_c9e3
S3017,IS,OK,569584.0,1.9757,4.7948,1.8986,486,196940,63,179120,242,123237,91,70287,90,88.7,cf3_is_S3017_20260905195905_d98e
S3016,IS,OK,547616.0,2.0364,4.125,1.8254,454,196940,63,179120,242,123237,91,48319,58,93.8,cf3_is_S3016_20260905200033_0e8c
S3001,IS,OK,608453.0,1.9054,4.855,2.0282,543,196940,63,179120,242,123237,91,109156,147,93.7,cf3_is_S3001_20260905200207_42af
FULL_BASE,IS,OK,610318.0,2.1744,5.4575,2.0344,463,196940,63,179120,242,123237,91,,,269.0,cf3_is_FULL_BASE_20260905200341_d1c2
FULL_S3018,IS,OK,685273.0,1.9588,5.2183,2.2842,584,196940,63,179120,242,123237,91,74955,121,269.1,cf3_is_FULL_S3018_20260905200810_b348
BASELINE,OOS,OK,97336.0,1.5254,2.2237,0.3539,389,20752,50,52540,245,24044,94,,,63.8,cf3_oos_BASELINE_20260905201239_bc3b
S3018,OOS,OK,120671.0,1.5043,2.6252,0.4388,515,20752,50,52540,245,20733,94,26646,126,68.7,cf3_oos_S3018_20260905201343_e0cf
S3017,OOS,OK,114311.0,1.5031,3.0315,0.4157,483,20752,50,52540,245,20733,94,20286,94,68.5,cf3_oos_S3017_20260905201451_5be2
S3016,OOS,OK,110236.0,1.5119,2.4866,0.4009,453,20752,50,52540,245,20733,94,16211,64,68.6,cf3_oos_S3016_20260905201600_c3b6
S3001,OOS,OK,114549.0,1.4535,2.7161,0.4165,539,20752,50,52540,245,20733,94,20524,150,68.6,cf3_oos_S3001_20260905201708_036e
FULL_BASE,OOS,OK,118935.0,1.4964,2.9946,0.4325,470,20752,50,52540,245,20733,94,,,153.8,cf3_oos_FULL_BASE_20260905201817_ecf4
FULL_S3018,OOS,OK,142270.0,1.4845,3.0801,0.5173,596,20752,50,52540,245,20733,94,23335,126,153.8,cf3_oos_FULL_S3018_20260905202051_2e9d
