label,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,sca3_net,sca3_n,elapsed,run_id
FULL_BASE3,IS,OK,610318.0,2.1744,5.4575,2.0344,463,196940,63,179120,242,123237,91,,,264.0,cf3_is_FULL_BASE3_20260905205433_2c7a
TE14,IS,OK,654472.0,2.056,4.7737,2.1816,537,196940,63,179120,242,123237,91,44154,74,269.2,cf3_is_TE14_20260905205857_3130
TE16,IS,OK,679558.0,2.0151,5.4065,2.2652,567,196940,63,179120,242,123237,91,69240,104,269.5,cf3_is_TE16_20260905210326_e4b5
TE17,IS,OK,685273.0,1.9588,5.2183,2.2842,584,196940,63,179120,242,123237,91,74955,121,269.2,cf3_is_TE17_20260905210756_6e66
TE18,IS,OK,718618.0,1.9971,5.3548,2.3954,599,196940,63,179120,242,123237,91,108300,136,269.0,cf3_is_TE18_20260905211225_90dc
TE19,IS,OK,714608.0,1.9796,5.3294,2.382,605,196940,63,179120,242,123237,91,104290,142,274.1,cf3_is_TE19_20260905211654_d551
FULL_BASE3,OOS,OK,118935.0,1.4964,2.9946,0.4325,470,20752,50,52540,245,20733,94,,,153.8,cf3_oos_FULL_BASE3_20260905212128_3e7e
TE14,OOS,OK,139856.0,1.5125,3.1092,0.5086,547,20752,50,52540,245,20733,94,20921,77,153.8,cf3_oos_TE14_20260905212402_94bf
TE16,OOS,OK,141060.0,1.494,3.1279,0.5129,582,20752,50,52540,245,20733,94,22125,112,158.9,cf3_oos_TE16_20260905212636_eb4b
TE17,OOS,OK,142270.0,1.4845,3.0801,0.5173,596,20752,50,52540,245,20733,94,23335,126,153.8,cf3_oos_TE17_20260905212914_7308
TE18,OOS,OK,135616.0,1.4472,3.2692,0.4931,611,20752,50,52540,245,20733,94,16681,141,158.9,cf3_oos_TE18_20260905213148_bc0a
TE19,OOS,OK,134125.0,1.4373,3.3123,0.4877,615,20752,50,52540,245,20733,94,15190,145,158.8,cf3_oos_TE19_20260905213427_5466
