proposal_id,description,IS_total,IS_n,IS_best_year,IS_best_val,IS_ex_best,IS_years_pos,IS_years,OOS_total,OOS_n,OOS_best_year,OOS_best_val,OOS_ex_best,OOS_years_pos,OOS_years,worst_ex
S3018,第3レンジ9-11時・締切17h,74955.0,121,2025,46307.0,28648.0,4,6,23335.0,126,2021,12172.0,11163.0,4,6,11163.0
S3017,第3レンジ9-11時・締切15h,66757.0,90,2025,40753.0,26004.0,3,6,16975.0,94,2021,8659.0,8316.0,5,6,8316.0
S3036,第3セッションRR1.9,102390.0,147,2025,54263.0,48127.0,4,6,20652.0,150,2021,13250.0,7402.0,3,6,7402.0
S3037,第3セッションRR2.1,65545.0,146,2025,47922.0,17623.0,3,6,20410.0,150,2021,13797.0,6613.0,4,6,6613.0
S3038,第3セッションRR2.4,51848.0,146,2025,28068.0,23780.0,4,6,19922.0,150,2021,14166.0,5756.0,3,6,5756.0
S3016,第3レンジ9-11時・締切13h,44789.0,58,2025,19715.0,25074.0,5,6,12900.0,64,2020,7916.0,4984.0,5,6,4984.0
S3043,第3セッション逆行ブーストなし,88709.0,147,2025,64458.0,24251.0,4,6,14825.0,150,2021,10286.0,4539.0,3,6,4539.0
S3044,第3逆行ブースト1.5倍,88709.0,147,2025,64458.0,24251.0,4,6,14825.0,150,2021,10286.0,4539.0,3,6,4539.0
S3001,第3レンジ9-11時・EA既定の中心点（有効化）,105626.0,147,2025,59535.0,46091.0,5,6,17213.0,150,2021,12695.0,4518.0,3,6,4518.0
S3045,第3逆行ブースト3.0倍,122548.0,147,2025,54617.0,67931.0,5,6,19607.0,150,2021,15105.0,4502.0,4,6,4502.0
S3035,第3セッションRR1.5,86460.0,147,2025,53855.0,32605.0,5,6,16877.0,150,2021,12721.0,4156.0,4,6,4156.0
S3032,第3レンジ幅0.5〜1.0ATR,118716.0,57,2025,50589.0,68127.0,6,6,11548.0,65,2021,7494.0,4054.0,4,6,4054.0
S3015,第3レンジ12-13時（締切20h・決済23h）,21514.0,15,2022,9899.0,11615.0,5,5,8174.0,26,2016,4865.0,3309.0,4,5,3309.0
S3020,第3レンジ9-11時・締切21h,96537.0,151,2025,51284.0,45253.0,5,6,15382.0,158,2021,12695.0,2687.0,4,6,2687.0
S3019,第3レンジ9-11時・締切19h,104290.0,142,2025,58838.0,45452.0,5,6,15190.0,145,2021,12695.0,2495.0,3,6,2495.0
S3034,第3セッションRR1.3,118036.0,147,2025,48264.0,69772.0,5,6,14130.0,150,2021,11858.0,2272.0,3,6,2272.0
S3031,第3レンジ幅0.5〜0.8ATR,108487.0,52,2025,50589.0,57898.0,6,6,9224.0,63,2021,7494.0,1730.0,4,6,1730.0
S3021,第3レンジ9-11時・締切22h,90164.0,154,2025,51284.0,38880.0,4,6,13630.0,161,2021,12695.0,935.0,3,6,935.0
S3010,第3レンジ10-11時（締切20h・決済23h）,96512.0,40,2025,34464.0,62048.0,6,6,7310.0,59,2021,6475.0,835.0,3,6,835.0
S3024,第3レンジ9-11時・強制決済22h,67640.0,147,2025,29864.0,37776.0,4,6,9653.0,150,2021,8898.0,755.0,3,6,755.0
S3039,第3バッファ0.02ATR,62530.0,145,2025,41039.0,21491.0,4,6,12470.0,145,2021,12158.0,312.0,2,6,312.0
S3042,第3セッション金曜も取引,225113.0,181,2026,94789.0,130324.0,5,6,18081.0,185,2021,17929.0,152.0,3,6,152.0
S3041,第3バッファ0.1ATR,90662.0,116,2025,43010.0,47652.0,5,6,13871.0,126,2021,14456.0,-585.0,3,6,-585.0
S3002,第3レンジ7-8時（締切20h・決済23h）,53354.0,13,2026,55130.0,-1776.0,3,5,7447.0,3,2020,7447.0,0.0,1,1,-1776.0
S3022,第3レンジ9-11時・強制決済20h,61949.0,147,2025,34189.0,27760.0,5,6,6562.0,150,2021,9469.0,-2907.0,4,6,-2907.0
S3023,第3レンジ9-11時・強制決済21h,12517.0,147,2025,16018.0,-3501.0,3,6,9242.0,150,2021,9765.0,-523.0,3,6,-3501.0
S3011,第3レンジ10-12時（締切20h・決済23h）,31166.0,128,2023,29911.0,1255.0,5,6,1927.0,137,2021,6338.0,-4411.0,4,6,-4411.0
S3033,第3レンジ幅0.5〜1.4ATR,151384.0,59,2026,52149.0,99235.0,6,6,2932.0,68,2021,7494.0,-4562.0,3,6,-4562.0
S3040,第3バッファ0.05ATR,66065.0,133,2025,40758.0,25307.0,4,6,10032.0,138,2021,15431.0,-5399.0,2,6,-5399.0
S3029,第3レンジ幅0.3〜1.0ATR,125006.0,422,2023,48922.0,76084.0,4,6,13456.0,390,2021,19639.0,-6183.0,2,6,-6183.0
S3003,第3レンジ7-9時（締切20h・決済23h）,134878.0,56,2026,75684.0,59194.0,5,6,-6757.0,28,2017,-386.0,-6371.0,0,5,-6371.0
S3013,第3レンジ11-12時（締切20h・決済23h）,10898.0,38,2026,13257.0,-2359.0,2,6,-5505.0,36,2016,2126.0,-7631.0,2,6,-7631.0
S3028,第3レンジ幅0.3〜0.8ATR,114777.0,417,2026,49980.0,64797.0,4,6,11132.0,388,2021,19639.0,-8507.0,2,6,-8507.0
S3005,第3レンジ8-9時（締切20h・決済23h）,68692.0,30,2025,24410.0,44282.0,6,6,-9996.0,11,2016,3152.0,-13148.0,3,5,-13148.0
S3004,第3レンジ7-10時（締切20h・決済23h）,87459.0,145,2026,62831.0,24628.0,5,6,4317.0,112,2021,17999.0,-13682.0,1,6,-13682.0
S3009,第3レンジ9-12時（締切20h・決済23h）,33406.0,251,2026,19922.0,13484.0,4,6,632.0,244,2021,14635.0,-14003.0,2,6,-14003.0
S3008,第3レンジ9-10時（締切20h・決済23h）,85498.0,34,2026,75972.0,9526.0,3,6,-11581.0,34,2021,3130.0,-14711.0,4,6,-14711.0
S3030,第3レンジ幅0.3〜1.4ATR,157674.0,424,2026,74891.0,82783.0,4,6,4840.0,393,2021,19639.0,-14799.0,2,6,-14799.0
S3007,第3レンジ8-11時（締切20h・決済23h）,176284.0,233,2025,76844.0,99440.0,5,6,9228.0,215,2021,25599.0,-16371.0,4,6,-16371.0
S3025,第3レンジ9-11時・強制決済24h,247003.0,145,2026,140446.0,106557.0,4,6,-5025.0,144,2019,14496.0,-19521.0,3,6,-19521.0
S3012,第3レンジ10-13時（締切20h・決済23h）,12477.0,216,2026,33243.0,-20766.0,4,6,1961.0,214,2019,8787.0,-6826.0,3,6,-20766.0
S3014,第3レンジ11-13時（締切20h・決済23h）,66517.0,74,2026,51459.0,15058.0,5,6,-22328.0,98,2016,7069.0,-29397.0,1,6,-29397.0
S3006,第3レンジ8-10時（締切20h・決済23h）,199190.0,105,2026,127090.0,72100.0,5,6,-16499.0,83,2021,18772.0,-35271.0,2,6,-35271.0
S3027,第3レンジ幅0.2〜1.0ATR,53718.0,982,2023,30311.0,23407.0,4,6,-45373.0,931,2021,9852.0,-55225.0,2,6,-55225.0
