proposal_id,family,description,parameter_json
S4001,U1_window,第4レンジ12-13時・EA既定の中心点（有効化）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4002,U1_window,第4レンジ11-12時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 12, ""Sca4RangeStart"": 11, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4003,U1_window,第4レンジ11-13時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 11, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4004,U1_window,第4レンジ15-16時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 16, ""Sca4RangeStart"": 15, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4005,U1_window,第4レンジ15-17時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 17, ""Sca4RangeStart"": 15, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4006,U1_window,第4レンジ15-18時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 18, ""Sca4RangeStart"": 15, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4007,U1_window,第4レンジ16-17時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 17, ""Sca4RangeStart"": 16, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4008,U1_window,第4レンジ16-18時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 18, ""Sca4RangeStart"": 16, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4009,U1_window,第4レンジ16-19時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 19, ""Sca4RangeStart"": 16, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4010,U1_window,第4レンジ17-18時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 18, ""Sca4RangeStart"": 17, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4011,U1_window,第4レンジ17-19時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 19, ""Sca4RangeStart"": 17, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4012,U1_window,第4レンジ17-20時（締切21h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 20, ""Sca4RangeStart"": 17, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 21}"
S4013,U1_window,第4レンジ18-19時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 19, ""Sca4RangeStart"": 18, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4014,U1_window,第4レンジ18-20時（締切21h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 20, ""Sca4RangeStart"": 18, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 21}"
S4015,U1_window,第4レンジ18-21時（締切22h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 21, ""Sca4RangeStart"": 18, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 22}"
S4016,U1_window,第4レンジ19-20時（締切21h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 20, ""Sca4RangeStart"": 19, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 21}"
S4017,U1_window,第4レンジ19-21時（締切22h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 21, ""Sca4RangeStart"": 19, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 22}"
S4018,U1_window,第4レンジ19-22時（締切23h・決済24h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 24, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 22, ""Sca4RangeStart"": 19, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 23}"
S4019,U1_window,第4レンジ20-21時（締切22h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 21, ""Sca4RangeStart"": 20, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 22}"
S4020,U1_window,第4レンジ20-22時（締切23h・決済24h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 24, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 22, ""Sca4RangeStart"": 20, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 23}"
S4021,U2_trade_end,第4レンジ12-13時・締切15h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 15}"
S4022,U2_trade_end,第4レンジ12-13時・締切17h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 17}"
S4023,U2_trade_end,第4レンジ12-13時・締切19h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 19}"
S4024,U2_trade_end,第4レンジ12-13時・締切21h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 21}"
S4025,U2_trade_end,第4レンジ12-13時・締切22h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 22}"
S4026,U3_force_close,第4レンジ12-13時・強制決済20h・締切<決済を守るため締切19hへ調整,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 20, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 19}"
S4027,U3_force_close,第4レンジ12-13時・強制決済21h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 21, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4028,U3_force_close,第4レンジ12-13時・強制決済22h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 22, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4029,U3_force_close,第4レンジ12-13時・強制決済24h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 24, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4030,U4_rr,第4セッションRR1.3,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.3, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
