proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,pb2_net,pb2_n,sca3_net,sca3_n,sca4_net,sca4_n,description,parameter_json,elapsed,run_id
S4001,U1_window,IS,OK,599296.0,1.8948,4.5585,1.9977,532,196940,63,179120,242,123237,91,,,74955,121,25044,15,第4レンジ12-13時・EA既定の中心点（有効化）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.7,s4_is_S4001_20260905214855_c0f5
S4002,U1_window,IS,OK,588680.0,1.7993,4.6842,1.9623,555,196940,63,179120,242,123237,91,,,74955,121,14428,38,第4レンジ11-12時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 12, ""Sca4RangeStart"": 11, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.7,s4_is_S4002_20260905215034_21fc
S4003,U1_window,IS,OK,644299.0,1.8371,6.4546,2.1477,591,196940,63,179120,242,123237,91,,,74955,121,70047,74,第4レンジ11-13時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 11, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",93.7,s4_is_S4003_20260905215212_e0f3
S4004,U1_window,IS,OK,528018.0,1.5771,8.3851,1.7601,719,196940,63,179120,242,123237,91,,,74955,121,-46234,202,第4レンジ15-16時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 16, ""Sca4RangeStart"": 15, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.7,s4_is_S4004_20260905215346_e96d
S4005,U1_window,IS,OK,559341.0,1.5894,7.3787,1.8645,825,196940,63,179120,242,123237,91,,,74955,121,-14911,308,第4レンジ15-17時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 17, ""Sca4RangeStart"": 15, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.7,s4_is_S4005_20260905215525_538d
S4006,U1_window,IS,OK,580438.0,1.7074,7.1531,1.9348,746,196940,63,179120,242,123237,91,,,74955,121,6186,229,第4レンジ15-18時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 18, ""Sca4RangeStart"": 15, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.6,s4_is_S4006_20260905215703_6d26
S4007,U1_window,IS,OK,532765.0,1.6351,5.6598,1.7759,709,196940,63,179120,242,123237,91,,,74955,121,-41487,192,第4レンジ16-17時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 17, ""Sca4RangeStart"": 16, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.6,s4_is_S4007_20260905215842_fef1
S4008,U1_window,IS,OK,592441.0,1.7499,7.0794,1.9748,743,196940,63,179120,242,123237,91,,,74955,121,18189,226,第4レンジ16-18時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 18, ""Sca4RangeStart"": 16, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.7,s4_is_S4008_20260905220021_428e
S4009,U1_window,IS,OK,570730.0,1.7817,6.0701,1.9024,644,196940,63,179120,242,123237,91,,,74955,121,-3522,127,第4レンジ16-19時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 19, ""Sca4RangeStart"": 16, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.7,s4_is_S4009_20260905220159_1fb0
S4010,U1_window,IS,OK,648112.0,1.915,6.7544,2.1604,627,196940,63,179120,242,123237,91,,,74955,121,73860,110,第4レンジ17-18時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 18, ""Sca4RangeStart"": 17, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",93.7,s4_is_S4010_20260905220338_5248
