measured_at,window,net,pf,dd,trades,pb_gold,sca_gold,run_id
2026-09-03T01:25:48+00:00,IS,391947.0,2.1664,3.9221,301,199469,192478,sx_is_BASELINE_20260903012339_5f2273
2026-09-03T01:35:33+00:00,OOS,41516.0,1.2651,2.0405,329,1471,40045,sx_oos_BASELINE_20260903012548_36c98d
2026-09-03T04:04:00+00:00,IS,391947.0,2.1664,3.9221,301,199469,192478,sx_is_BASELINE_20260903040156_a9b3c0
2026-09-03T04:13:10+00:00,OOS,41516.0,1.2651,2.0405,329,1471,40045,sx_oos_BASELINE_20260903040400_5801d1
2026-09-03T06:06:49+00:00,IS,391947.0,2.1664,3.9221,301,199469,192478,sx_is_BASELINE_20260903060445_cf968f
2026-09-03T06:16:34+00:00,OOS,41516.0,1.2651,2.0405,329,1471,40045,sx_oos_BASELINE_20260903060649_6bfb00
2026-09-03T08:33:10+00:00,IS,391947.0,2.1664,3.9221,301,199469,192478,sx_is_BASELINE_20260903083101_b3ee89
2026-09-03T08:42:26+00:00,OOS,41516.0,1.2651,2.0405,329,1471,40045,sx_oos_BASELINE_20260903083310_98679a
2026-09-03T10:50:28+00:00,IS,391947.0,2.1664,3.9221,301,199469,192478,sx_is_BASELINE_20260903104824_c8515d
2026-09-03T10:59:54+00:00,OOS,41516.0,1.2651,2.0405,329,1471,40045,sx_oos_BASELINE_20260903105029_6dc55e
2026-09-03T13:16:42+00:00,IS,391947.0,2.1664,3.9221,301,199469,192478,sx_is_BASELINE_20260903131438_cf4c12
2026-09-03T13:23:32+00:00,OOS,41516.0,1.2651,2.0405,329,1471,40045,sx_oos_BASELINE_20260903131642_954819
