label,window,run_id,status,net,pf,dd_pct,trades,pb_gold,sca_gold,elapsed,deal_file
BASELINE,IS,cf_is_BASELINE_20260904015246_16c4da,OK,417882.0,2.2542,3.7942,301,223397,194485,131.1,cf_is_BASELINE_20260904015246_16c4da_deals.csv
EXT095,IS,cf_is_EXT095_20260904015457_8ff41c,OK,464022.0,2.3927,3.728,301,223397,240625,139.3,cf_is_EXT095_20260904015457_8ff41c_deals.csv
EXT100,IS,cf_is_EXT100_20260904015525_ee904f,OK,461429.0,2.3849,3.7495,301,223397,238032,138.8,cf_is_EXT100_20260904015525_ee904f_deals.csv
EXT150,IS,cf_is_EXT150_20260904015716_1ccb14,OK,435855.0,2.3082,3.7495,301,223397,212458,129.0,cf_is_EXT150_20260904015716_1ccb14_deals.csv
HX0039_RR175,IS,cf_is_HX0039_RR175_20260904015311_750212,OK,421426.0,2.2648,3.7889,301,223397,198029,133.8,cf_is_HX0039_RR175_20260904015311_750212_deals.csv
RR175_EXT150,IS,cf_is_RR175_EXT150_20260904015925_d2c211,OK,435855.0,2.3082,3.7495,301,223397,212458,144.3,cf_is_RR175_EXT150_20260904015925_d2c211_deals.csv
TPATR260,IS,cf_is_TPATR260_20260904015744_229e47,OK,435855.0,2.3082,3.7495,301,223397,212458,113.8,cf_is_TPATR260_20260904015744_229e47_deals.csv
BASELINE,OOS,cf_oos_BASELINE_20260904015937_dc92e2,OK,47340.0,1.3077,1.8676,329,6163,41177,534.6,cf_oos_BASELINE_20260904015937_dc92e2_deals.csv
EXT095,OOS,cf_oos_EXT095_20260904020832_d1b092,OK,57187.0,1.3717,1.8613,329,6163,51024,610.6,cf_oos_EXT095_20260904020832_d1b092_deals.csv
EXT100,OOS,cf_oos_EXT100_20260904021100_c5e96e,OK,57476.0,1.3736,1.8613,329,6163,51313,641.0,cf_oos_EXT100_20260904021100_c5e96e_deals.csv
EXT150,OOS,cf_oos_EXT150_20260904021843_463e19,OK,60407.0,1.3926,1.8613,329,6163,54244,610.3,cf_oos_EXT150_20260904021843_463e19_deals.csv
HX0039_RR175,OOS,cf_oos_HX0039_RR175_20260904020150_7d1936,OK,49075.0,1.319,1.864,329,6163,42912,550.8,cf_oos_HX0039_RR175_20260904020150_7d1936_deals.csv
RR175_EXT150,OOS,cf_oos_RR175_EXT150_20260904022853_f6f0c0,OK,60696.0,1.3945,1.8613,329,6163,54533,470.4,cf_oos_RR175_EXT150_20260904022853_f6f0c0_deals.csv
TPATR260,OOS,cf_oos_TPATR260_20260904022141_51a95a,OK,56906.0,1.3699,1.8613,329,6163,50743,560.8,cf_oos_TPATR260_20260904022141_51a95a_deals.csv
