proposal_id,family,sleeve,parent,description,status,IS_new_net,IS_new_n,IS_parent_net,IS_parent_n,IS_parent_net_delta,IS_parent_n_delta,IS_book_net,IS_dd_jpy,IS_net_ratio,IS_dd_ratio,OOS_new_net,OOS_new_n,OOS_parent_net,OOS_parent_n,OOS_parent_net_delta,OOS_parent_n_delta,OOS_book_net,OOS_dd_jpy,OOS_net_ratio,OOS_dd_ratio,passed,worst_net,IS_sample_ge60
X001,U0,uj2,sca_uj,SCA USDJPY 第2セッション: EA既定値の中心点,評価済み,-4830.0,229,18563.0,328,,,210311.0,68970.0,,,-14293.0,232,-2224.0,266,,,46679.0,44739.0,,,False,-14293.0,True
X002,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 10-11時,評価済み,22703.0,230,18563.0,328,,,238724.0,66458.0,,,-16588.0,192,-2224.0,266,,,44038.0,43465.0,,,False,-16588.0,True
X003,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 10-12時,評価済み,-8026.0,440,18563.0,328,,,207835.0,80234.0,,,-22664.0,396,-2224.0,266,,,38017.0,45776.0,,,False,-22664.0,True
X004,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 11-12時,評価済み,-8852.0,150,18563.0,328,,,207120.0,68820.0,,,-11445.0,146,-2224.0,266,,,49024.0,44740.0,,,False,-11445.0,True
X005,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 11-13時,評価済み,-6755.0,269,18563.0,328,,,208839.0,75553.0,,,-10373.0,265,-2224.0,266,,,50457.0,40959.0,,,False,-10373.0,True
X006,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 12-13時,評価済み,1068.0,77,18563.0,328,,,216124.0,67036.0,,,-2853.0,63,-2224.0,266,,,57768.0,38947.0,,,False,-2853.0,True
X007,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 12-14時,評価済み,-3212.0,196,18563.0,328,,,212099.0,66971.0,,,-7189.0,195,-2224.0,266,,,53546.0,42756.0,,,False,-7189.0,True
X008,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 13-14時,評価済み,2271.0,65,18563.0,328,,,218197.0,63764.0,,,-4704.0,60,-2224.0,266,,,56189.0,42431.0,,,False,-4704.0,True
X009,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 14-15時,評価済み,-3345.0,105,18563.0,328,,,211706.0,68048.0,,,-6054.0,103,-2224.0,266,,,54963.0,41769.0,,,False,-6054.0,True
X010,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 14-16時,評価済み,-5579.0,371,18563.0,328,,,210243.0,71637.0,,,-19989.0,348,-2224.0,266,,,40747.0,46308.0,,,False,-19989.0,True
X011,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 15-16時,評価済み,3684.0,288,18563.0,328,,,218826.0,65340.0,,,-6192.0,215,-2224.0,266,,,54818.0,39645.0,,,False,-6192.0,True
X012,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 15-17時,評価済み,-2324.0,313,18563.0,328,,,213408.0,68132.0,,,-10346.0,315,-2224.0,266,,,50728.0,41969.0,,,False,-10346.0,True
X013,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 16-17時,評価済み,-3822.0,185,18563.0,328,,,211430.0,73152.0,,,-7660.0,195,-2224.0,266,,,52796.0,40737.0,,,False,-7660.0,True
X014,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 16-18時,評価済み,-10132.0,185,18563.0,328,,,204896.0,71857.0,,,-6829.0,166,-2224.0,266,,,54081.0,43863.0,,,False,-10132.0,True
X015,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 17-18時,評価済み,-4347.0,129,18563.0,328,,,210635.0,65895.0,,,-1500.0,136,-2224.0,266,,,59193.0,43388.0,,,False,-4347.0,True
X016,U1,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ 17-19時,評価済み,-1591.0,46,18563.0,328,,,213547.0,64076.0,,,-2370.0,49,-2224.0,266,,,58332.0,41053.0,,,False,-2370.0,False
X017,U2,uj2,sca_uj,SCA USDJPY 第2セッション: 締切 17時,評価済み,-10968.0,131,18563.0,328,,,205178.0,70799.0,,,2659.0,131,-2224.0,266,,,63158.0,37532.0,,,False,-10968.0,True
X018,U2,uj2,sca_uj,SCA USDJPY 第2セッション: 締切 18時,評価済み,833.0,189,18563.0,328,,,216025.0,64274.0,,,-5950.0,195,-2224.0,266,,,54920.0,42033.0,,,False,-5950.0,True
X019,U2,uj2,sca_uj,SCA USDJPY 第2セッション: 締切 19時,評価済み,-1442.0,218,18563.0,328,,,213700.0,66714.0,,,-10744.0,221,-2224.0,266,,,50229.0,43157.0,,,False,-10744.0,True
X020,U2,uj2,sca_uj,SCA USDJPY 第2セッション: 締切 21時,評価済み,-1575.0,244,18563.0,328,,,213588.0,67246.0,,,-15373.0,242,-2224.0,266,,,45601.0,44968.0,,,False,-15373.0,True
X021,U2,uj2,sca_uj,SCA USDJPY 第2セッション: 締切 22時,評価済み,-1873.0,252,18563.0,328,,,213292.0,67262.0,,,-15089.0,255,-2224.0,266,,,45882.0,44997.0,,,False,-15089.0,True
X022,U3,uj2,sca_uj,SCA USDJPY 第2セッション: RR 1.3,評価済み,-7796.0,229,18563.0,328,,,207323.0,71494.0,,,-12026.0,232,-2224.0,266,,,48932.0,44519.0,,,False,-12026.0,True
X023,U3,uj2,sca_uj,SCA USDJPY 第2セッション: RR 1.5,評価済み,-7450.0,229,18563.0,328,,,207683.0,70465.0,,,-13511.0,232,-2224.0,266,,,47449.0,45330.0,,,False,-13511.0,True
X024,U3,uj2,sca_uj,SCA USDJPY 第2セッション: RR 1.7,評価済み,-6009.0,229,18563.0,328,,,209127.0,69949.0,,,-12479.0,232,-2224.0,266,,,48483.0,45028.0,,,False,-12479.0,True
X025,U3,uj2,sca_uj,SCA USDJPY 第2セッション: RR 2.4,評価済み,-4029.0,229,18563.0,328,,,211119.0,68678.0,,,-14168.0,232,-2224.0,266,,,46806.0,45094.0,,,False,-14168.0,True
X026,U3,uj2,sca_uj,SCA USDJPY 第2セッション: RR 3.0,評価済み,-2292.0,229,18563.0,328,,,212854.0,67557.0,,,-13639.0,232,-2224.0,266,,,47335.0,45094.0,,,False,-13639.0,True
X027,U4,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ幅 0.2-0.8,評価済み,-3901.0,564,18563.0,328,,,211885.0,76373.0,,,-22938.0,567,-2224.0,266,,,37740.0,46408.0,,,False,-22938.0,True
X028,U4,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ幅 0.2-1.4,評価済み,-11315.0,572,18563.0,328,,,204440.0,81187.0,,,-22434.0,570,-2224.0,266,,,38223.0,46408.0,,,False,-22434.0,True
X029,U4,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ幅 0.4-0.8,評価済み,12471.0,81,18563.0,328,,,227646.0,57508.0,,,-7955.0,87,-2224.0,266,,,52992.0,43510.0,,,False,-7955.0,True
X030,U4,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ幅 0.4-1.4,評価済み,5057.0,89,18563.0,328,,,220159.0,62322.0,,,-7451.0,90,-2224.0,266,,,53474.0,43510.0,,,False,-7451.0,True
X031,U4,uj2,sca_uj,SCA USDJPY 第2セッション: レンジ幅 0.5-1.4,評価済み,-3784.0,33,18563.0,328,,,212102.0,68314.0,,,-4050.0,41,-2224.0,266,,,56787.0,40552.0,,,False,-4050.0,False
X032,U5,uj2,sca_uj,SCA USDJPY 第2セッション: バッファ 0.0,評価済み,-55.0,312,18563.0,328,,,214897.0,70641.0,,,-14952.0,307,-2224.0,266,,,46024.0,43894.0,,,False,-14952.0,True
X033,U5,uj2,sca_uj,SCA USDJPY 第2セッション: バッファ 0.05,評価済み,-2629.0,271,18563.0,328,,,212480.0,69385.0,,,-15643.0,274,-2224.0,266,,,45329.0,43809.0,,,False,-15643.0,True
X034,U5,uj2,sca_uj,SCA USDJPY 第2セッション: バッファ 0.2,評価済み,8133.0,158,18563.0,328,,,223232.0,59951.0,,,-3433.0,163,-2224.0,266,,,57564.0,41943.0,,,False,-3433.0,True
X035,U5,uj2,sca_uj,SCA USDJPY 第2セッション: Boost 1.0,評価済み,-3036.0,229,18563.0,328,,,212105.0,65483.0,,,-9025.0,232,-2224.0,266,,,51947.0,42602.0,,,False,-9025.0,True
X036,U5,uj2,sca_uj,SCA USDJPY 第2セッション: Boost 3.0,評価済み,-6625.0,229,18563.0,328,,,208516.0,72457.0,,,-19562.0,232,-2224.0,266,,,41410.0,46877.0,,,False,-19562.0,True
X037,G0,gj2,sca_gj,SCA GBPJPY 第2セッション: EA既定値の中心点,評価済み,-81835.0,444,73773.0,684,,,134445.0,98368.0,,,-57202.0,533,42219.0,621,,,3547.0,46862.0,,,False,-81835.0,True
