proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n,uj2_net,uj2_n,gj2_net,gj2_n,sca1_net,sca1_n,sca2_net,sca2_n,pb_net,pb_n,description,parameter_json,elapsed,run_id,deals
X001,U0,IS,OK,210311.0,1.3127,10.1511,0.701,1332,18563,328,73773,684,-4830,229,,,,,122805,91,,,SCA USDJPY 第2セッション: EA既定値の中心点,"{""Sca5BoostMult"": 2.0, ""Sca5Buffer"": 0.1, ""Sca5Enable"": true, ""Sca5ForceClose"": 23, ""Sca5Lot"": 0.01, ""Sca5MaxRange"": 1.0, ""Sca5MinRange"": 0.3, ""Sca5RR"": 2.0, ""Sca5RangeEnd"": 15, ""Sca5RangeStart"": 13, ""Sca5RevBoost"": true, ""Sca5SkipFriday"": false, ""Sca5TradeEnd"": 20}",129.3,fx_is_X001_20260907074544_d45b,fx_is_X001_20260907074544_d45b_deals.csv
X002,U1,IS,OK,238724.0,1.358,9.4498,0.7957,1333,18563,328,73773,684,22703,230,,,,,123685,91,,,SCA USDJPY 第2セッション: レンジ 10-11時,"{""Sca5BoostMult"": 2.0, ""Sca5Buffer"": 0.1, ""Sca5Enable"": true, ""Sca5ForceClose"": 23, ""Sca5Lot"": 0.01, ""Sca5MaxRange"": 1.0, ""Sca5MinRange"": 0.3, ""Sca5RR"": 2.0, ""Sca5RangeEnd"": 11, ""Sca5RangeStart"": 10, ""Sca5RevBoost"": true, ""Sca5SkipFriday"": false, ""Sca5TradeEnd"": 20}",129.5,fx_is_X002_20260907074753_50ee,fx_is_X002_20260907074753_50ee_deals.csv
X003,U1,IS,OK,207835.0,1.2879,11.609,0.6928,1543,18563,328,73773,684,-8026,440,,,,,123525,91,,,SCA USDJPY 第2セッション: レンジ 10-12時,"{""Sca5BoostMult"": 2.0, ""Sca5Buffer"": 0.1, ""Sca5Enable"": true, ""Sca5ForceClose"": 23, ""Sca5Lot"": 0.01, ""Sca5MaxRange"": 1.0, ""Sca5MinRange"": 0.3, ""Sca5RR"": 2.0, ""Sca5RangeEnd"": 12, ""Sca5RangeStart"": 10, ""Sca5RevBoost"": true, ""Sca5SkipFriday"": false, ""Sca5TradeEnd"": 20}",124.3,fx_is_X003_20260907075003_b831,fx_is_X003_20260907075003_b831_deals.csv
X004,U1,IS,OK,207120.0,1.3145,10.1923,0.6904,1253,18563,328,73773,684,-8852,150,,,,,123636,91,,,SCA USDJPY 第2セッション: レンジ 11-12時,"{""Sca5BoostMult"": 2.0, ""Sca5Buffer"": 0.1, ""Sca5Enable"": true, ""Sca5ForceClose"": 23, ""Sca5Lot"": 0.01, ""Sca5MaxRange"": 1.0, ""Sca5MinRange"": 0.3, ""Sca5RR"": 2.0, ""Sca5RangeEnd"": 12, ""Sca5RangeStart"": 11, ""Sca5RevBoost"": true, ""Sca5SkipFriday"": false, ""Sca5TradeEnd"": 20}",129.4,fx_is_X004_20260907075207_3bcf,fx_is_X004_20260907075207_3bcf_deals.csv
X005,U1,IS,OK,208839.0,1.3061,11.0145,0.6961,1372,18563,328,73773,684,-6755,269,,,,,123258,91,,,SCA USDJPY 第2セッション: レンジ 11-13時,"{""Sca5BoostMult"": 2.0, ""Sca5Buffer"": 0.1, ""Sca5Enable"": true, ""Sca5ForceClose"": 23, ""Sca5Lot"": 0.01, ""Sca5MaxRange"": 1.0, ""Sca5MinRange"": 0.3, ""Sca5RR"": 2.0, ""Sca5RangeEnd"": 13, ""Sca5RangeStart"": 11, ""Sca5RevBoost"": true, ""Sca5SkipFriday"": false, ""Sca5TradeEnd"": 20}",134.2,fx_is_X005_20260907075416_1233,fx_is_X005_20260907075416_1233_deals.csv
X006,U1,IS,OK,216124.0,1.3401,9.8928,0.7204,1180,18563,328,73773,684,1068,77,,,,,122720,91,,,SCA USDJPY 第2セッション: レンジ 12-13時,"{""Sca5BoostMult"": 2.0, ""Sca5Buffer"": 0.1, ""Sca5Enable"": true, ""Sca5ForceClose"": 23, ""Sca5Lot"": 0.01, ""Sca5MaxRange"": 1.0, ""Sca5MinRange"": 0.3, ""Sca5RR"": 2.0, ""Sca5RangeEnd"": 13, ""Sca5RangeStart"": 12, ""Sca5RevBoost"": true, ""Sca5SkipFriday"": false, ""Sca5TradeEnd"": 20}",134.5,fx_is_X006_20260907075631_108f,fx_is_X006_20260907075631_108f_deals.csv
X007,U1,IS,OK,212099.0,1.3188,9.9143,0.707,1299,18563,328,73773,684,-3212,196,,,,,122975,91,,,SCA USDJPY 第2セッション: レンジ 12-14時,"{""Sca5BoostMult"": 2.0, ""Sca5Buffer"": 0.1, ""Sca5Enable"": true, ""Sca5ForceClose"": 23, ""Sca5Lot"": 0.01, ""Sca5MaxRange"": 1.0, ""Sca5MinRange"": 0.3, ""Sca5RR"": 2.0, ""Sca5RangeEnd"": 14, ""Sca5RangeStart"": 12, ""Sca5RevBoost"": true, ""Sca5SkipFriday"": false, ""Sca5TradeEnd"": 20}",171.6,fx_is_X007_20260907075845_cc36,fx_is_X007_20260907075845_cc36_deals.csv
X008,U1,IS,OK,218197.0,1.3432,9.3637,0.7273,1168,18563,328,73773,684,2271,65,,,,,123590,91,,,SCA USDJPY 第2セッション: レンジ 13-14時,"{""Sca5BoostMult"": 2.0, ""Sca5Buffer"": 0.1, ""Sca5Enable"": true, ""Sca5ForceClose"": 23, ""Sca5Lot"": 0.01, ""Sca5MaxRange"": 1.0, ""Sca5MinRange"": 0.3, ""Sca5RR"": 2.0, ""Sca5RangeEnd"": 14, ""Sca5RangeStart"": 13, ""Sca5RevBoost"": true, ""Sca5SkipFriday"": false, ""Sca5TradeEnd"": 20}",124.2,fx_is_X008_20260907080137_7017,fx_is_X008_20260907080137_7017_deals.csv
X009,U1,IS,OK,211706.0,1.3293,10.0436,0.7057,1208,18563,328,73773,684,-3345,105,,,,,122715,91,,,SCA USDJPY 第2セッション: レンジ 14-15時,"{""Sca5BoostMult"": 2.0, ""Sca5Buffer"": 0.1, ""Sca5Enable"": true, ""Sca5ForceClose"": 23, ""Sca5Lot"": 0.01, ""Sca5MaxRange"": 1.0, ""Sca5MinRange"": 0.3, ""Sca5RR"": 2.0, ""Sca5RangeEnd"": 15, ""Sca5RangeStart"": 14, ""Sca5RevBoost"": true, ""Sca5SkipFriday"": false, ""Sca5TradeEnd"": 20}",124.2,fx_is_X009_20260907080341_b503,fx_is_X009_20260907080341_b503_deals.csv
X010,U1,IS,OK,210243.0,1.3065,10.444,0.7008,1474,18563,328,73773,684,-5579,371,,,,,123486,91,,,SCA USDJPY 第2セッション: レンジ 14-16時,"{""Sca5BoostMult"": 2.0, ""Sca5Buffer"": 0.1, ""Sca5Enable"": true, ""Sca5ForceClose"": 23, ""Sca5Lot"": 0.01, ""Sca5MaxRange"": 1.0, ""Sca5MinRange"": 0.3, ""Sca5RR"": 2.0, ""Sca5RangeEnd"": 16, ""Sca5RangeStart"": 14, ""Sca5RevBoost"": true, ""Sca5SkipFriday"": false, ""Sca5TradeEnd"": 20}",124.4,fx_is_X010_20260907080545_bbe2,fx_is_X010_20260907080545_bbe2_deals.csv
