proposal_id,family,description,parameter_json
N001,S0,EURJPY（設定のみ・新枠OFF）／既存9枠基準,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":false,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""EURJPY"",""ScaNewTradeEnd"":12}"
N002,S1,EURJPY／USDJPY親枠の既定形,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""EURJPY"",""ScaNewTradeEnd"":12}"
N003,S1,AUDJPY／USDJPY親枠の既定形,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""AUDJPY"",""ScaNewTradeEnd"":12}"
N004,S1,CADJPY／USDJPY親枠の既定形,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""CADJPY"",""ScaNewTradeEnd"":12}"
N005,S1,CHFJPY／USDJPY親枠の既定形,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""CHFJPY"",""ScaNewTradeEnd"":12}"
N006,S1,NZDJPY／USDJPY親枠の既定形,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""NZDJPY"",""ScaNewTradeEnd"":12}"
N007,S2,EURJPY／ScaNewRangeEnd=7,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":7,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""EURJPY"",""ScaNewTradeEnd"":12}"
N008,S2,EURJPY／ScaNewRangeEnd=11,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":11,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""EURJPY"",""ScaNewTradeEnd"":12}"
N009,S2,AUDJPY／ScaNewRangeEnd=7,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":7,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""AUDJPY"",""ScaNewTradeEnd"":12}"
N010,S2,AUDJPY／ScaNewRangeEnd=11,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":11,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""AUDJPY"",""ScaNewTradeEnd"":12}"
