proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n,sca_new_net,sca_new_n
N001,S0,EURJPY（設定のみ・新枠OFF）／既存9枠基準,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":false,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""EURJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,257817.0,1.3476,7.314,0.8594,1595,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N001_20260908132603_2702_deals.csv,382.5,sn_is_N001_20260908132603_2702,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,,
N002,S1,EURJPY／USDJPY親枠の既定形,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""EURJPY"",""ScaNewTradeEnd"":12}",1,IS,FAILED,,,,,,,41.0,sn_is_N002_20260908133225_840e,,,,,,,,,,,,,,,,,,,,
N003,S1,AUDJPY／USDJPY親枠の既定形,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""AUDJPY"",""ScaNewTradeEnd"":12}",1,IS,FAILED,,,,,,,35.3,sn_is_N003_20260908133306_b0e8,,,,,,,,,,,,,,,,,,,,
N004,S1,CADJPY／USDJPY親枠の既定形,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""CADJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,268290.0,1.3315,7.7548,0.8943,1918,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N004_20260908133342_e8b9_deals.csv,420.1,sn_is_N004_20260908133342_e8b9,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,10473,323
N005,S1,CHFJPY／USDJPY親枠の既定形,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""CHFJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,252368.0,1.2887,8.4446,0.8412,2040,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N005_20260908134042_ce22_deals.csv,435.8,sn_is_N005_20260908134042_ce22,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,-5449,445
N006,S1,NZDJPY／USDJPY親枠の既定形,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""NZDJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,253285.0,1.3132,7.0572,0.8443,1940,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N006_20260908134757_f55c_deals.csv,415.5,sn_is_N006_20260908134757_f55c,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,-4532,345
N007,S2,EURJPY／ScaNewRangeEnd=7,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":7,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""EURJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,285744.0,1.3154,6.6856,0.9525,2123,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N007_20260908135453_cedc_deals.csv,280.0,sn_is_N007_20260908135453_cedc,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,27927,528
N008,S2,EURJPY／ScaNewRangeEnd=11,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":11,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""EURJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,263695.0,1.3465,6.8696,0.879,1685,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N008_20260908135933_b8c4_deals.csv,270.0,sn_is_N008_20260908135933_b8c4,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,5878,90
N009,S2,AUDJPY／ScaNewRangeEnd=7,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":7,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""AUDJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,268151.0,1.3122,7.5062,0.8938,2091,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N009_20260908140403_da33_deals.csv,259.9,sn_is_N009_20260908140403_da33,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,10334,496
N010,S2,AUDJPY／ScaNewRangeEnd=11,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":11,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""AUDJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,260804.0,1.3466,7.166,0.8693,1657,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N010_20260908140823_6b22_deals.csv,259.9,sn_is_N010_20260908140823_6b22,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,2987,62
N011,S2,CADJPY／ScaNewRangeEnd=7,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":7,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""CADJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,257193.0,1.3017,7.7503,0.8573,2036,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N011_20260908141243_97ce_deals.csv,310.0,sn_is_N011_20260908141243_97ce,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,-624,441
N012,S2,CADJPY／ScaNewRangeEnd=11,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":11,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""CADJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,266336.0,1.3542,7.3948,0.8878,1656,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N012_20260908141753_c68e_deals.csv,329.7,sn_is_N012_20260908141753_c68e,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,8519,61
N013,S2,CHFJPY／ScaNewRangeEnd=7,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":7,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""CHFJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,259239.0,1.2858,8.6178,0.8641,2137,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N013_20260908142323_b060_deals.csv,344.7,sn_is_N013_20260908142323_b060,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,1422,542
N014,S2,CHFJPY／ScaNewRangeEnd=11,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":11,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""CHFJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,266326.0,1.3508,7.4184,0.8878,1681,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N014_20260908142907_940d_deals.csv,339.8,sn_is_N014_20260908142907_940d,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,8509,86
N015,S2,NZDJPY／ScaNewRangeEnd=7,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":7,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""NZDJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,253551.0,1.3001,7.4379,0.8452,2089,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N015_20260908143447_3cab_deals.csv,329.7,sn_is_N015_20260908143447_3cab,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,-4266,494
N016,S2,NZDJPY／ScaNewRangeEnd=11,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":11,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""NZDJPY"",""ScaNewTradeEnd"":12}",1,IS,OK,256290.0,1.3402,7.5392,0.8543,1654,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N016_20260908144017_a28d_deals.csv,319.7,sn_is_N016_20260908144017_a28d,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,-1527,59
N017,S3,EURJPY／ScaNewTradeEnd=15,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""EURJPY"",""ScaNewTradeEnd"":15}",1,IS,OK,253367.0,1.2745,9.4519,0.8446,2195,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N017_20260908144536_e6c7_deals.csv,299.8,sn_is_N017_20260908144536_e6c7,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,-4450,600
N018,S3,EURJPY／ScaNewTradeEnd=18,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""EURJPY"",""ScaNewTradeEnd"":18}",1,IS,OK,248095.0,1.2554,9.8797,0.827,2400,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N018_20260908145036_17d2_deals.csv,304.8,sn_is_N018_20260908145036_17d2,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,-9722,805
N019,S3,AUDJPY／ScaNewTradeEnd=15,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""AUDJPY"",""ScaNewTradeEnd"":15}",1,IS,OK,273118.0,1.3269,7.0168,0.9104,2081,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N019_20260908145541_0a33_deals.csv,289.6,sn_is_N019_20260908145541_0a33,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,15301,486
N020,S3,AUDJPY／ScaNewTradeEnd=18,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""AUDJPY"",""ScaNewTradeEnd"":18}",1,IS,OK,257271.0,1.2882,7.4453,0.8576,2310,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N020_20260908150031_7fb4_deals.csv,289.7,sn_is_N020_20260908150031_7fb4,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,-546,715
N021,S3,CADJPY／ScaNewTradeEnd=15,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""CADJPY"",""ScaNewTradeEnd"":15}",1,IS,OK,252541.0,1.2946,7.7475,0.8418,2093,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N021_20260908150520_e695_deals.csv,324.7,sn_is_N021_20260908150520_e695,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,-5276,498
N022,S3,CADJPY／ScaNewTradeEnd=18,"{""GlobalLotMult"":1,""ScaNewBoostMult"":2.0,""ScaNewBuffer"":0.1,""ScaNewEnable"":true,""ScaNewForceClose"":22,""ScaNewLot"":0.01,""ScaNewMaxRange"":1.0,""ScaNewMinRange"":0.3,""ScaNewRR"":2.0,""ScaNewRangeEnd"":9,""ScaNewRangeStart"":0,""ScaNewRevBoost"":true,""ScaNewSkipFriday"":false,""ScaNewSymbol"":""CADJPY"",""ScaNewTradeEnd"":18}",1,IS,OK,232285.0,1.2524,8.92,0.7743,2365,C:\Users\f\source\repos\mt5_backtester\ml\scanew1\run_deals\sn_is_N022_20260908151045_c72f_deals.csv,329.7,sn_is_N022_20260908151045_c72f,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684,-25532,770
