proposal_id,description,IS_total,IS_n,IS_best_year,IS_best_val,IS_ex_best,IS_years_pos,IS_years,OOS_total,OOS_n,OOS_best_year,OOS_best_val,OOS_ex_best,OOS_years_pos,OOS_years,worst_ex,both_positive
N014,CHFJPY／ScaNewRangeEnd=11,8509.0,86,2025,4758.0,3751.0,4,6,4762.0,102,2018,2101.0,2661.0,4,6,2661.0,True
N042,CADJPY／ScaNewMinRange=0.4・ScaNewMaxRange=1.4,9163.0,245,2022,6544.0,2619.0,4,6,8011.0,188,2020,4861.0,3150.0,4,6,2619.0,True
N012,CADJPY／ScaNewRangeEnd=11,8519.0,61,2022,6163.0,2356.0,4,6,4038.0,75,2020,3487.0,551.0,4,6,551.0,True
N032,CADJPY／ScaNewRR=3.0,12417.0,323,2022,10057.0,2360.0,5,6,8981.0,281,2020,8774.0,207.0,4,6,207.0,True
N001,EURJPY（設定のみ・新枠OFF）／既存9枠基準,0,0,,0.0,0.0,0,0,0,0,,0.0,0.0,0,0,0.0,False
N010,AUDJPY／ScaNewRangeEnd=11,2987.0,62,2023,3352.0,-365.0,4,6,4483.0,63,2020,2228.0,2255.0,5,6,-365.0,False
N004,CADJPY／USDJPY親枠の既定形,10473.0,323,2022,10057.0,416.0,5,6,7087.0,281,2020,8200.0,-1113.0,4,6,-1113.0,False
N031,CADJPY／ScaNewRR=1.5,11236.0,323,2022,12450.0,-1214.0,4,6,6367.0,281,2020,7627.0,-1260.0,4,6,-1260.0,False
N008,EURJPY／ScaNewRangeEnd=11,5878.0,90,2023,5677.0,201.0,3,6,812.0,75,2018,2440.0,-1628.0,2,6,-1628.0,False
N052,CADJPY／ScaNewBoostMult=4.0,20981.0,323,2022,14989.0,5992.0,3,6,5613.0,281,2020,8406.0,-2793.0,4,6,-2793.0,False
N016,NZDJPY／ScaNewRangeEnd=11,-1527.0,59,2023,1711.0,-3238.0,2,6,2859.0,61,2020,3396.0,-537.0,3,5,-3238.0,False
N041,CADJPY／ScaNewMinRange=0.2・ScaNewMaxRange=1.0,15262.0,384,2022,10248.0,5014.0,5,6,2001.0,339,2020,6054.0,-4053.0,3,6,-4053.0,False
N030,AUDJPY／ScaNewRR=3.0,13479.0,340,2023,8556.0,4923.0,5,6,-3694.0,295,2020,2124.0,-5818.0,2,6,-5818.0,False
N050,AUDJPY／ScaNewBoostMult=4.0,26134.0,340,2023,15690.0,10444.0,3,6,-4097.0,295,2020,1750.0,-5847.0,2,6,-5847.0,False
N029,AUDJPY／ScaNewRR=1.5,14149.0,340,2023,8803.0,5346.0,5,6,-3598.0,295,2020,2777.0,-6375.0,2,6,-6375.0,False
N039,AUDJPY／ScaNewMinRange=0.2・ScaNewMaxRange=1.0,9920.0,361,2023,7626.0,2294.0,4,6,-5080.0,310,2020,1587.0,-6667.0,2,6,-6667.0,False
N037,EURJPY／ScaNewMinRange=0.2・ScaNewMaxRange=1.0,20277.0,498,2022,22198.0,-1921.0,3,6,-4538.0,429,2017,2299.0,-6837.0,2,6,-6837.0,False
N011,CADJPY／ScaNewRangeEnd=7,-624.0,441,2022,6362.0,-6986.0,4,6,4642.0,337,2020,8360.0,-3718.0,3,6,-6986.0,False
N046,NZDJPY／ScaNewMinRange=0.4・ScaNewMaxRange=1.4,-1402.0,306,2023,5862.0,-7264.0,2,6,-2477.0,251,2020,2042.0,-4519.0,3,6,-7264.0,False
N040,AUDJPY／ScaNewMinRange=0.4・ScaNewMaxRange=1.4,13141.0,291,2023,10811.0,2330.0,5,6,-5331.0,259,2020,2512.0,-7843.0,2,6,-7843.0,False
N027,EURJPY／ScaNewRR=1.5,18054.0,433,2022,18233.0,-179.0,3,6,-6065.0,356,2017,2823.0,-8888.0,2,6,-8888.0,False
N028,EURJPY／ScaNewRR=3.0,18803.0,433,2022,18942.0,-139.0,3,6,-5677.0,356,2017,3624.0,-9301.0,2,6,-9301.0,False
