position_id,time,magic,symbol,overlap,concentration,profit
2,1466504100,20261001,GBPJPY,0.0,1.0,-188.0
3,1466505000,20261000,USDJPY,1.0,2.0,183.0
4,1466505900,20261002,GOLD,1.0,2.0,1273.0
8,1466625600,20260605,EURUSD,0.0,1.0,1075.0
10,1466744400,20260605,EURUSD,0.0,1.0,1100.0
12,1466755200,20260774,GBPUSD,0.0,1.0,-530.0
14,1467111600,20261001,GBPJPY,0.0,1.0,723.0
15,1467117000,20261002,GOLD,0.0,1.0,-305.0
18,1467369900,20261000,USDJPY,0.0,1.0,-104.0
20,1467715500,20261000,USDJPY,0.0,1.0,199.0
21,1467720000,20260622,USDJPY,2.0,2.0,3019.0
24,1467810900,20261002,GOLD,0.0,1.0,-908.0
26,1467871200,20260605,EURUSD,0.0,1.0,-113.0
28,1467874800,20260605,EURUSD,0.0,1.0,-253.0
30,1468228500,20261000,USDJPY,0.0,1.0,1040.0
31,1468233000,20261002,GOLD,1.0,2.0,103.0
34,1468314900,20261001,GBPJPY,0.0,1.0,3876.0
35,1468316700,20261000,USDJPY,1.0,2.0,1303.0
36,1468332000,20260605,EURUSD,0.0,1.0,-271.0
38,1468346400,20260605,EURUSD,1.0,2.0,-262.0
41,1468404000,20261002,GOLD,0.0,0.0,41.0
44,1468487700,20261001,GBPJPY,0.0,1.0,824.0
45,1468488600,20261000,USDJPY,1.0,2.0,-250.0
46,1468494900,20261002,GOLD,1.0,2.0,-391.0
50,1468602000,20260605,EURUSD,0.0,1.0,19.0
52,1468911600,20260605,EURUSD,0.0,1.0,-264.0
54,1469009700,20261002,GOLD,0.0,1.0,728.0
55,1469013300,20261000,USDJPY,1.0,2.0,408.0
56,1469014200,20261001,GBPJPY,1.0,2.0,6324.0
60,1469100600,20261001,GBPJPY,0.0,1.0,6924.0
61,1469101500,20261000,USDJPY,1.0,2.0,72.0
62,1469113200,20260605,EURUSD,0.0,1.0,-265.0
66,1469462400,20260610,USDJPY,0.0,1.0,-499.0
68,1469525400,20261001,GBPJPY,0.0,1.0,-838.0
70,1469714400,20260605,EURUSD,0.0,1.0,1072.0
71,1469779200,20260610,USDJPY,1.0,2.0,-500.0
73,1469793600,20260610,USDJPY,1.0,2.0,1100.0
76,1470132900,20261002,GOLD,0.0,1.0,1757.0
77,1470134700,20261000,USDJPY,1.0,2.0,936.0
80,1470320100,20261002,GOLD,0.0,1.0,198.0
82,1470384000,20260640,GOLD,0.0,1.0,-1018.0
84,1470736800,20261001,GBPJPY,0.0,1.0,348.0
85,1470758400,20260627,GBPJPY,2.0,2.0,-1843.0
87,1470787200,20260605,EURUSD,0.0,1.0,-252.0
89,1470801600,20260605,EURUSD,0.0,1.0,-23.0
90,1470913200,20261001,GBPJPY,2.0,2.0,-4734.0
93,1470949200,20260605,EURUSD,0.0,1.0,-251.0
95,1471017600,20260605,EURUSD,0.0,1.0,-255.0
97,1471257900,20261001,GBPJPY,2.0,2.0,828.0
98,1471291200,20260610,USDJPY,2.0,3.0,1070.0
100,1471338900,20261001,GBPJPY,3.0,3.0,-1043.0
101,1471339800,20261002,GOLD,1.0,2.0,-145.0
105,1471520700,20261001,GBPJPY,0.0,0.0,-1650.0
106,1471522500,20261002,GOLD,0.0,1.0,-963.0
109,1471601700,20261001,GBPJPY,2.0,2.0,1506.0
111,1471863600,20261001,GBPJPY,0.0,0.0,-156.0
112,1471896000,20260774,GBPUSD,0.0,1.0,1093.0
115,1472117400,20261001,GBPJPY,2.0,2.0,224.0
118,1472529600,20260774,GBPUSD,0.0,1.0,-519.0
119,1472552100,20261001,GBPJPY,0.0,1.0,5916.0
120,1472553000,20261000,USDJPY,2.0,2.0,565.0
123,1472635800,20261001,GBPJPY,0.0,1.0,586.0
126,1472726700,20261001,GBPJPY,0.0,1.0,6900.0
127,1472727600,20261000,USDJPY,1.0,2.0,-544.0
128,1472729400,20261002,GOLD,1.0,2.0,-1391.0
132,1472809500,20261000,USDJPY,0.0,1.0,-489.0
133,1472809500,20261001,GBPJPY,1.0,2.0,631.0
135,1472832000,20260774,GBPUSD,1.0,2.0,1127.0
137,1473070500,20261001,GBPJPY,0.0,1.0,-53.0
140,1473328800,20260605,EURUSD,0.0,1.0,-271.0
141,1473336900,20261002,GOLD,1.0,2.0,-762.0
144,1473679800,20261000,USDJPY,0.0,1.0,313.0
145,1473679800,20261001,GBPJPY,1.0,2.0,-1248.0
148,1473845400,20261001,GBPJPY,0.0,1.0,-1344.0
149,1473857100,20261002,GOLD,0.0,1.0,-154.0
152,1473926400,20260774,GBPUSD,0.0,1.0,-510.0
154,1474021800,20261001,GBPJPY,0.0,1.0,7044.0
155,1474041600,20260774,GBPUSD,1.0,2.0,1126.0
156,1474056000,20260610,USDJPY,1.0,2.0,-499.0
159,1474257600,20260605,EURUSD,1.0,2.0,-254.0
160,1474279200,20261001,GBPJPY,1.0,2.0,-649.0
162,1474283700,20261000,USDJPY,0.0,0.0,-61.0
166,1474401600,20260610,USDJPY,0.0,1.0,-532.0
168,1474444800,20260610,USDJPY,0.0,1.0,-500.0
170,1474454700,20261002,GOLD,0.0,1.0,836.0
171,1474473600,20260610,USDJPY,1.0,2.0,-620.0
173,1474542000,20261000,USDJPY,0.0,0.0,225.0
174,1474563600,20260605,EURUSD,0.0,1.0,-253.0
176,1474581600,20260605,EURUSD,0.0,1.0,-251.0
179,1474617600,20260610,USDJPY,0.0,1.0,-679.0
180,1474622100,20261001,GBPJPY,1.0,2.0,461.0
183,1474883100,20261001,GBPJPY,1.0,2.0,498.0
184,1474886700,20261000,USDJPY,3.0,3.0,191.0
187,1474967700,20261001,GBPJPY,0.0,1.0,-573.0
188,1474995600,20260605,EURUSD,1.0,2.0,-251.0
190,1474999200,20260605,EURUSD,0.0,1.0,-111.0
192,1475002800,20260605,EURUSD,1.0,2.0,-260.0
196,1475140500,20261001,GBPJPY,0.0,1.0,-1413.0
197,1475179200,20260610,USDJPY,0.0,1.0,-532.0
200,1475227800,20261000,USDJPY,0.0,1.0,-1300.0
201,1475227800,20261001,GBPJPY,1.0,2.0,-7734.0
202,1475254800,20260605,EURUSD,0.0,1.0,-253.0
204,1475258400,20260605,EURUSD,1.0,2.0,-262.0
207,1475489700,20261001,GBPJPY,0.0,1.0,-876.0
210,1475539200,20260610,USDJPY,0.0,1.0,1100.0
212,1475643600,20260605,EURUSD,0.0,1.0,-257.0
214,1476353700,20261001,GBPJPY,0.0,1.0,-895.0
216,1476784800,20261002,GOLD,0.0,1.0,5.0
217,1476785700,20261001,GBPJPY,0.0,1.0,246.0
220,1476873000,20261000,USDJPY,0.0,1.0,22.0
221,1476907200,20260627,GBPJPY,1.0,2.0,-1287.0
223,1476950400,20260610,USDJPY,0.0,1.0,1109.0
225,1477392300,20261002,GOLD,0.0,0.0,304.0
227,1477425600,20260627,GBPJPY,0.0,1.0,-1154.0
230,1477568700,20261001,GBPJPY,0.0,1.0,-162.0
232,1477908900,20261001,GBPJPY,0.0,1.0,327.0
234,1477958400,20260605,EURUSD,0.0,1.0,1091.0
235,1477993500,20261001,GBPJPY,0.0,1.0,-2898.0
236,1477995300,20261000,USDJPY,1.0,2.0,-419.0
237,1477999800,20261002,GOLD,0.0,1.0,695.0
241,1478080800,20261002,GOLD,1.0,2.0,968.0
243,1478081700,20261000,USDJPY,1.0,2.0,103.0
246,1478169900,20261002,GOLD,0.0,1.0,-1226.0
248,1478250900,20261001,GBPJPY,0.0,1.0,36.0
250,1478516400,20261002,GOLD,0.0,1.0,277.0
252,1478563200,20260650,AUDJPY,0.0,1.0,179829.0
253,1478598300,20261001,GBPJPY,1.0,2.0,424.0
255,1478764800,20260605,EURUSD,0.0,1.0,1124.0
256,1478774700,20261001,GBPJPY,1.0,2.0,14310.0
257,1478776500,20261002,GOLD,0.0,0.0,-1790.0
258,1478778300,20261000,USDJPY,2.0,3.0,1344.0
262,1478861100,20261001,GBPJPY,1.0,2.0,1368.0
265,1479119400,20261000,USDJPY,1.0,2.0,713.0
267,1479206700,20261001,GBPJPY,0.0,1.0,-1202.0
269,1479287700,20261001,GBPJPY,1.0,2.0,-665.0
271,1479375000,20261001,GBPJPY,1.0,2.0,475.0
273,1479441600,20260640,GOLD,0.0,1.0,-1432.0
274,1479461400,20261001,GBPJPY,1.0,2.0,-803.0
276,1479726000,20261001,GBPJPY,0.0,1.0,-4038.0
279,1479806100,20261001,GBPJPY,1.0,2.0,-918.0
281,1479978900,20261001,GBPJPY,1.0,2.0,810.0
282,1479980700,20261000,USDJPY,2.0,3.0,184.0
283,1479988800,20260628,AUDJPY,4.0,4.0,3214.0
286,1480065300,20261000,USDJPY,0.0,1.0,-156.0
287,1480065300,20261001,GBPJPY,0.0,1.0,-1674.0
288,1480075200,20260774,GBPUSD,1.0,2.0,-570.0
292,1480348800,20260622,USDJPY,2.0,3.0,2653.0
293,1480377600,20260724,BTCUSD,0.0,0.0,-445.0
