time,profit,magic,entry
1467720000,0.00,20260622,0
1467782098,3016.00,20260622,1
1470384000,0.00,20260640,0
1470412798,-1011.00,20260640,1
1470758400,0.00,20260627,0
1472443197,-1884.00,20260627,1
1476907200,0.00,20260627,0
1477382397,-1286.00,20260627,1
1477425600,0.00,20260627,0
1477540797,-2306.00,20260627,1
1479441600,0.00,20260640,0
1479787198,-1325.00,20260640,1
1479988800,0.00,20260628,0
1480348800,0.00,20260622,0
1481097600,0.00,20260640,0
1481299200,0.00,20260627,0
1481311798,2653.00,20260622,1
1481313600,0.00,20260622,0
1481756398,3892.00,20260622,1
1481759998,3213.00,20260628,1
1481760000,0.00,20260628,0
1481774397,3711.00,20260640,1
1481803200,0.00,20260622,0
1481803200,0.00,20260640,0
1481918398,-516.00,20260628,1
1482171298,-1092.00,20260622,1
1482220800,0.00,20260622,0
1482839998,-1343.00,20260640,1
1482969598,-1364.00,20260627,1
1482992098,-1067.00,20260622,1
1486411200,0.00,20260640,0
1487015998,-2083.00,20260640,1
1487332800,0.00,20260640,0
1487678398,-1377.00,20260640,1
1487707200,0.00,20260640,0
1487951998,1705.00,20260640,1
1487952000,0.00,20260640,0
1488283198,-1289.00,20260640,1
1492027200,0.00,20260628,0
1492084798,-735.00,20260628,1
1492171200,0.00,20260628,0
1493006397,-727.00,20260628,1
1494849600,0.00,20260627,0
1494964798,-1952.00,20260627,1
1499745600,0.00,20260628,0
1500537597,2330.00,20260628,1
1500998400,0.00,20260628,0
1501473598,-598.00,20260628,1
1501560000,0.00,20260628,0
1501617598,-609.00,20260628,1
1503604800,0.00,20260627,0
1503676798,-1781.00,20260627,1
1503950400,0.00,20260640,0
1504281598,1596.00,20260640,1
1504281600,0.00,20260640,0
1504799998,2094.00,20260640,1
1504857600,0.00,20260640,0
1504900798,-1253.00,20260640,1
1508860800,0.00,20260622,0
1508918400,0.00,20260640,0
1508947200,0.00,20260627,0
1509019197,-994.00,20260640,1
1509019199,-1043.00,20260627,1
1509019200,0.00,20260640,0
1509385498,-1838.00,20260622,1
1510171198,-788.00,20260640,1
1511323200,0.00,20260628,0
1512158397,-684.00,20260628,1
1515456000,0.00,20260628,0
1515499198,-456.00,20260628,1
1516636800,0.00,20260628,0
1516708798,-477.00,20260628,1
1517328000,0.00,20260640,0
1517587198,-1758.00,20260640,1
1518595200,0.00,20260622,0
1518761698,2569.00,20260622,1
1519315200,0.00,20260622,0
1519387200,0.00,20260628,0
1519754398,-1697.00,20260622,1
1520006400,0.00,20260622,0
1520279098,-1447.00,20260622,1
1520337600,0.00,20260622,0
1520563497,-2373.00,20260622,1
1520942398,-902.00,20260628,1
1521576000,0.00,20260628,0
1521676798,-666.00,20260628,1
1521777600,0.00,20260628,0
1522123198,-900.00,20260628,1
1522195200,0.00,20260622,0
1522246497,-1914.00,20260622,1
1526515200,0.00,20260622,0
1526893197,3796.00,20260622,1
1530000000,0.00,20260640,0
1530187198,1600.00,20260640,1
1530518400,0.00,20260640,0
1530691198,-788.00,20260640,1
1531468800,0.00,20260640,0
1531800000,0.00,20260622,0
1531857598,1688.00,20260640,1
1531857600,0.00,20260640,0
1532101498,-1655.00,20260622,1
1533268797,2268.00,20260640,1
1533556800,0.00,20260640,0
1534175998,2047.00,20260640,1
1534176000,0.00,20260640,0
1534363198,2053.00,20260640,1
1535011200,0.00,20260640,0
1535140798,-934.00,20260640,1
1538596800,0.00,20260622,0
1538673298,-1891.00,20260622,1
1545840000,0.00,20260627,0
1545883197,-1918.00,20260627,1
1546257600,0.00,20260640,0
1546977600,0.00,20260622,0
1547092800,0.00,20260628,0
1547164798,-701.00,20260628,1
1547761499,-2079.00,20260622,1
1548446397,-847.00,20260640,1
1549353600,0.00,20260640,0
1549511997,-1224.00,20260640,1
1549569600,0.00,20260640,0
1550159997,-1520.00,20260640,1
1558627200,0.00,20260628,0
1559131200,0.00,20260627,0
1559203198,-574.00,20260628,1
1559304000,0.00,20260628,0
1559721600,0.00,20260622,0
1559735998,-561.00,20260628,1
1559912399,-1870.00,20260622,1
1560326400,0.00,20260640,0
1560384000,0.00,20260628,0
1560513598,1617.00,20260640,1
1560974400,0.00,20260640,0
1561003198,2096.00,20260640,1
1561622398,-540.00,20260628,1
1561694400,0.00,20260640,0
1561953597,-1970.00,20260640,1
1562097600,0.00,20260640,0
1562155198,2935.00,20260627,1
1562356797,-2333.00,20260640,1
1562572800,0.00,20260627,0
1562644798,-1958.00,20260627,1
1562673600,0.00,20260627,0
1563192000,0.00,20260640,0
1563364798,-1727.00,20260640,1
1563393600,0.00,20260640,0
1563508797,2744.00,20260640,1
1563897600,0.00,20260640,0
1564084798,-1910.00,20260640,1
1564372800,0.00,20260640,0
1564415998,4364.00,20260627,1
1564631998,-1763.00,20260640,1
1566417600,0.00,20260640,0
1566489598,-1633.00,20260640,1
1566590400,0.00,20260640,0
1566791997,2921.00,20260640,1
1567454400,0.00,20260628,0
1567555198,-463.00,20260628,1
1571716800,0.00,20260628,0
1571759998,-376.00,20260628,1
1571846400,0.00,20260627,0
1575028800,0.00,20260640,0
1575057598,-649.00,20260640,1
1576209597,5813.00,20260627,1
1577980800,0.00,20260640,0
1578052798,1484.00,20260640,1
1579507200,0.00,20260640,0
1579622398,-1152.00,20260640,1
1579694400,0.00,20260640,0
1580097597,2172.00,20260640,1
1580414400,0.00,20260640,0
1580443198,-1554.00,20260640,1
1580472000,0.00,20260640,0
1580817598,-1592.00,20260640,1
1583481600,0.00,20260628,0
1583726398,3884.00,20260628,1
1589961600,0.00,20260640,0
1590091198,-2573.00,20260640,1
1590148800,0.00,20260640,0
1590379200,0.00,20260628,0
1590523198,-2190.00,20260640,1
1591099197,2999.00,20260628,1
1591617600,0.00,20260628,0
1591646398,-971.00,20260628,1
1594152000,0.00,20260628,0
1594353598,-495.00,20260628,1
1594627200,0.00,20260628,0
1595001600,0.00,20260640,0
1595347198,2363.00,20260640,1
1596168000,0.00,20260640,0
1596599997,5781.00,20260640,1
1596600000,0.00,20260640,0
1596743997,4964.00,20260640,1
1597060800,0.00,20260627,0
1598529598,2544.00,20260628,1
1598601598,6043.00,20260627,1
1603195200,0.00,20260628,0
1603425597,-569.00,20260628,1
1603440000,0.00,20260628,0
1603468798,-460.00,20260628,1
1606708800,0.00,20260640,0
1606838398,-1970.00,20260640,1
1607587200,0.00,20260628,0
1608566397,-443.00,20260628,1
1608782400,0.00,20260628,0
1612814398,2731.00,20260628,1
1612843200,0.00,20260627,0
1612886397,-1764.00,20260627,1
1612900800,0.00,20260627,0
1612915200,0.00,20260628,0
1613447998,7207.00,20260627,1
1613448000,0.00,20260627,0
1613750398,1865.00,20260628,1
1614139198,5541.00,20260627,1
1614182400,0.00,20260640,0
1614369598,4496.00,20260640,1
1614758400,0.00,20260622,0
1614844800,0.00,20260627,0
1614880798,3757.00,20260622,1
1615449600,0.00,20260622,0
1615449600,0.00,20260628,0
1615536000,0.00,20260640,0
1615881598,-1825.00,20260640,1
1616486398,-524.00,20260628,1
1617083998,3851.00,20260622,1
1617091200,0.00,20260640,0
1617119998,3001.00,20260640,1
1617335998,7498.00,20260627,1
1617379200,0.00,20260622,0
1617642898,-1840.00,20260622,1
1621238400,0.00,20260640,0
1621454398,3450.00,20260640,1
1621454400,0.00,20260640,0
1622505600,0.00,20260627,0
1622577598,-1920.00,20260627,1
1622793598,-4044.00,20260640,1
1627300800,0.00,20260628,0
1627329598,-549.00,20260628,1
1627387200,0.00,20260628,0
1628697598,-786.00,20260628,1
1634241600,0.00,20260628,0
1634270400,0.00,20260622,0
1634939998,-1839.00,20260622,1
1635264000,0.00,20260622,0
1635335998,-1964.00,20260622,1
1636444798,-497.00,20260628,1
1637020800,0.00,20260622,0
1637064000,0.00,20260640,0
1637092798,-1896.00,20260640,1
1637112599,3941.00,20260622,1
1637208000,0.00,20260640,0
1637323197,-1857.00,20260640,1
1647432000,0.00,20260622,0
1647576000,0.00,20260628,0
1647890998,3244.00,20260622,1
1648137598,3783.00,20260628,1
1648828800,0.00,20260628,0
1649217600,0.00,20260622,0
1649669398,2889.00,20260622,1
1649851200,0.00,20260627,0
1649952000,0.00,20260622,0
1650341698,3690.00,20260622,1
1650427198,7789.00,20260627,1
1650513600,0.00,20260622,0
1650916798,-917.00,20260628,1
1651022098,-1149.00,20260622,1
1651060800,0.00,20260622,0
1651139998,2501.00,20260622,1
1651147200,0.00,20260622,0
1651255198,-1299.00,20260622,1
1651464000,0.00,20260622,0
1651701598,-1377.00,20260622,1
1651766400,0.00,20260622,0
1652350498,-1769.00,20260622,1
1657008000,0.00,20260622,0
1657081798,-1960.00,20260622,1
1657555200,0.00,20260622,0
1657612800,0.00,20260640,0
1657646098,-1064.00,20260622,1
1657728000,0.00,20260622,0
1657742398,-2300.00,20260640,1
1657797298,3285.00,20260622,1
1658203200,0.00,20260622,0
1658236498,-1436.00,20260622,1
1658318400,0.00,20260640,0
1658505598,-1877.00,20260640,1
1663747200,0.00,20260640,0
1663761598,-1913.00,20260640,1
1663790400,0.00,20260640,0
1663862398,-1962.00,20260640,1
1664352000,0.00,20260640,0
1664395198,-3079.00,20260640,1
1665100800,0.00,20260622,0
1665589497,3308.00,20260622,1
1665590400,0.00,20260622,0
1665767697,3934.00,20260622,1
1666166400,0.00,20260622,0
1666351798,2851.00,20260622,1
1670515200,0.00,20260640,0
1670961597,3907.00,20260640,1
1671537600,0.00,20260640,0
1672329600,0.00,20260622,0
1672430398,2065.00,20260622,1
1672732798,2672.00,20260640,1
1672833600,0.00,20260622,0
1672853397,-1386.00,20260622,1
1673424000,0.00,20260640,0
1673496000,0.00,20260622,0
1673552697,2164.00,20260622,1
1673639998,3702.00,20260640,1
