time,profit,magic,entry,position_id,type,volume,price,sl
1467720000,0.00,20260622,0,2,1,0.03,101.69900000,102.21600000
1467782098,3016.00,20260622,1,2,0,0.03,100.66400000,102.21600000
1470384000,0.00,20260640,0,4,0,0.01,1362.77000000,1352.72000000
1470412798,-1011.00,20260640,1,4,1,0.01,1352.72000000,1352.72000000
1470758400,0.00,20260627,0,6,1,0.01,132.51300000,133.58000000
1472443197,-1884.00,20260627,1,6,0,0.01,133.58000000,133.58000000
1476907200,0.00,20260627,0,8,1,0.01,126.75200000,127.79300000
1477382397,-1286.00,20260627,1,8,0,0.01,127.79300000,127.79300000
1477425600,0.00,20260627,0,10,1,0.01,127.13300000,128.12400000
1477540797,-1154.00,20260627,1,10,0,0.01,128.12400000,128.12400000
1479441600,0.00,20260640,0,12,1,0.01,1205.89000000,1219.30000000
1479787198,-1325.00,20260640,1,12,0,0.01,1219.30000000,1219.30000000
1479988800,0.00,20260628,0,14,0,0.01,83.65500000,83.02700000
1480348800,0.00,20260622,0,15,0,0.01,112.69600000,111.38300000
1481097600,0.00,20260640,0,16,1,0.01,1166.73000000,1181.98000000
1481299200,0.00,20260627,0,17,0,0.01,144.65000000,143.23500000
1481311798,2653.00,20260622,1,15,1,0.01,115.32300000,111.38300000
1481313600,0.00,20260622,0,19,0,0.02,115.32200000,114.35200000
1481756398,3892.00,20260622,1,19,1,0.02,117.26200000,114.35200000
1481759998,3213.00,20260628,1,14,1,0.01,86.79600000,83.02700000
1481760000,0.00,20260628,0,22,0,0.01,86.71900000,86.19900000
1481774397,3711.00,20260640,1,16,0,0.01,1136.23000000,1181.98000000
1481803200,0.00,20260622,0,24,0,0.01,117.89900000,116.80300000
1481803200,0.00,20260640,0,25,1,0.01,1136.85000000,1149.44000000
1481918398,-516.00,20260628,1,22,1,0.01,86.19900000,86.19900000
1482171298,-1092.00,20260622,1,24,1,0.01,116.80300000,116.80300000
1482220800,0.00,20260622,0,28,0,0.01,117.69300000,116.60400000
1482839998,-1343.00,20260640,1,25,0,0.01,1149.44000000,1149.44000000
1482969598,-1364.00,20260627,1,17,1,0.01,143.23500000,143.23500000
1482992098,-1067.00,20260622,1,28,1,0.01,116.60400000,116.60400000
1486411200,0.00,20260640,0,32,0,0.01,1231.00000000,1219.37000000
1487015998,-2083.00,20260640,1,32,1,0.01,1219.37000000,1219.37000000
1487332800,0.00,20260640,0,34,0,0.01,1240.79000000,1230.76000000
1487678398,-1377.00,20260640,1,34,1,0.01,1230.76000000,1230.76000000
1487707200,0.00,20260640,0,36,0,0.01,1238.40000000,1228.85000000
1487951998,1705.00,20260640,1,36,1,0.01,1257.49000000,1228.85000000
1487952000,0.00,20260640,0,38,0,0.01,1260.15000000,1250.88000000
1488283198,-1289.00,20260640,1,38,1,0.01,1250.88000000,1250.88000000
1492027200,0.00,20260628,0,40,1,0.01,81.94800000,82.63200000
1492084798,-735.00,20260628,1,40,0,0.01,82.63200000,82.63200000
1492171200,0.00,20260628,0,42,1,0.01,82.39300000,82.98400000
1493006397,-727.00,20260628,1,42,0,0.01,82.98400000,82.98400000
1494849600,0.00,20260627,0,44,0,0.01,146.88000000,145.90100000
1494964798,-976.00,20260627,1,44,1,0.01,145.90100000,145.90100000
1499745600,0.00,20260628,0,46,0,0.01,86.86000000,86.40300000
1500537597,2330.00,20260628,1,46,1,0.01,89.14600000,86.40300000
1500998400,0.00,20260628,0,48,0,0.01,88.73000000,88.10800000
1501473598,-598.00,20260628,1,48,1,0.01,88.10800000,88.10800000
1501560000,0.00,20260628,0,50,0,0.01,88.46100000,87.85200000
1501617598,-609.00,20260628,1,50,1,0.01,87.85200000,87.85200000
