id,family,base,overrides,model,note,is_net,is_pf,is_n,oos_net,oos_pf,oos_n,verdict
P10_1.0_1.8,PB_USDJPY_local,configs/pullback_usdjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.0, 'RR_Ratio': 1.8}",,,38057.0,1.3556,92,-10383.0,0.7219,31,reject
P10_1.0_2.0,PB_USDJPY_local,configs/pullback_usdjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.0, 'RR_Ratio': 2.0}",,,38910.0,1.3649,85,-8471.0,0.7788,30,reject
P10_1.0_2.2,PB_USDJPY_local,configs/pullback_usdjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.0, 'RR_Ratio': 2.2}",,,27434.0,1.2876,76,-13296.0,0.6535,31,reject
P10_1.2_1.8,PB_USDJPY_local,configs/pullback_usdjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.2, 'RR_Ratio': 1.8}",,,43426.0,1.4527,81,-6349.0,0.7693,23,reject
P10_1.2_2.0,PB_USDJPY_local,configs/pullback_usdjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.2, 'RR_Ratio': 2.0}",,,60599.0,1.6688,71,-3299.0,0.8833,23,reject
P10_1.2_2.2,PB_USDJPY_local,configs/pullback_usdjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.2, 'RR_Ratio': 2.2}",,,56856.0,1.629,69,-9068.0,0.706,24,reject
P10_1.4_1.8,PB_USDJPY_local,configs/pullback_usdjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.4, 'RR_Ratio': 1.8}",,,32153.0,1.4273,66,3950.0,1.2289,16,PASS
P10_1.4_2.0,PB_USDJPY_local,configs/pullback_usdjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.4, 'RR_Ratio': 2.0}",,,43578.0,1.6202,61,6453.0,1.35,16,PASS
P10_1.4_2.2,PB_USDJPY_local,configs/pullback_usdjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.4, 'RR_Ratio': 2.2}",,,44433.0,1.6108,61,1290.0,1.0635,17,PASS
P11_1.3_3.0,PB_GBPJPY_local,configs/pullback_gbpjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.3, 'RR_Ratio': 3.0}",,,9436.0,1.3958,20,9602.0,1.1993,37,PASS
P11_1.3_3.5,PB_GBPJPY_local,configs/pullback_gbpjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.3, 'RR_Ratio': 3.5}",,,4395.0,1.1473,22,21666.0,1.551,31,PASS
P11_1.3_4.0,PB_GBPJPY_local,configs/pullback_gbpjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.3, 'RR_Ratio': 4.0}",,,13649.0,1.5261,20,10402.0,1.2719,31,PASS
P11_1.5_3.0,PB_GBPJPY_local,configs/pullback_gbpjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.5, 'RR_Ratio': 3.0}",,,16623.0,1.9826,17,321.0,1.0074,35,PASS
P11_1.5_3.5,PB_GBPJPY_local,configs/pullback_gbpjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.5, 'RR_Ratio': 3.5}",,,18665.0,1.9031,19,4641.0,1.1168,33,PASS
P11_1.5_4.0,PB_GBPJPY_local,configs/pullback_gbpjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.5, 'RR_Ratio': 4.0}",,,29315.0,2.8215,16,10197.0,1.3355,28,PASS
P11_1.7_3.0,PB_GBPJPY_local,configs/pullback_gbpjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.7, 'RR_Ratio': 3.0}",,,19139.0,3.1372,11,-3007.0,0.8955,23,reject
P11_1.7_3.5,PB_GBPJPY_local,configs/pullback_gbpjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.7, 'RR_Ratio': 3.5}",,,24306.0,3.7781,11,-2507.0,0.915,23,reject
P11_1.7_4.0,PB_GBPJPY_local,configs/pullback_gbpjpy_h4.yaml,"{'MA_Slope_Min_ATR': 1.7, 'RR_Ratio': 4.0}",,,19573.0,3.7498,9,-580.0,0.9731,18,reject
P26_boost35,SCA_GBPJPY_boost,configs/sca_gbpjpy_m15.yaml,{'Boost_Mult': 3.5},every_tick,,39027.0,1.1351,684,23451.0,1.0936,658,PASS
P36_0.5_180,Carry_AUDJPY_local,configs/carry_audjpy_d1.yaml,"{'Hyst_ATR_Mult': 0.5, 'TrendMA_Period': 180}",,,101625.0,2.9771,9,26970.0,1.9182,9,PASS
P36_0.5_200,Carry_AUDJPY_local,configs/carry_audjpy_d1.yaml,"{'Hyst_ATR_Mult': 0.5, 'TrendMA_Period': 200}",,,135937.0,4.5995,7,26751.0,1.7762,9,PASS
P36_0.5_220,Carry_AUDJPY_local,configs/carry_audjpy_d1.yaml,"{'Hyst_ATR_Mult': 0.5, 'TrendMA_Period': 220}",,,71624.0,2.2833,10,37968.0,2.1775,7,PASS
P36_0.75_180,Carry_AUDJPY_local,configs/carry_audjpy_d1.yaml,"{'Hyst_ATR_Mult': 0.75, 'TrendMA_Period': 180}",,,130142.0,3.8918,7,26792.0,1.9649,8,PASS
P36_0.75_200,Carry_AUDJPY_local,configs/carry_audjpy_d1.yaml,"{'Hyst_ATR_Mult': 0.75, 'TrendMA_Period': 200}",,,105817.0,3.5057,7,33912.0,2.1952,7,PASS
P36_0.75_220,Carry_AUDJPY_local,configs/carry_audjpy_d1.yaml,"{'Hyst_ATR_Mult': 0.75, 'TrendMA_Period': 220}",,,66055.0,2.1015,9,32063.0,1.9127,6,PASS
P36_1.0_180,Carry_AUDJPY_local,configs/carry_audjpy_d1.yaml,"{'Hyst_ATR_Mult': 1.0, 'TrendMA_Period': 180}",,,107657.0,3.1972,7,27316.0,2.0873,7,PASS
P36_1.0_200,Carry_AUDJPY_local,configs/carry_audjpy_d1.yaml,"{'Hyst_ATR_Mult': 1.0, 'TrendMA_Period': 200}",,,95795.0,3.1552,7,34135.0,2.5144,6,PASS
P36_1.0_220,Carry_AUDJPY_local,configs/carry_audjpy_d1.yaml,"{'Hyst_ATR_Mult': 1.0, 'TrendMA_Period': 220}",,,55853.0,2.1201,8,26345.0,1.645,6,PASS
P38_baseline,VBO_USDJPY_everytick,configs/vbo_usdjpy_h4.yaml,{},every_tick,,23187.0,1.3557,158,-8653.0,0.8225,154,reject
P40_15_2.5,VBO_USDJPY_local,configs/vbo_usdjpy_h4.yaml,"{'Channel_Period': 15, 'Trail_Mult': 2.5}",every_tick,,23824.0,1.3071,202,-8864.0,0.8294,187,reject
P40_15_3.0,VBO_USDJPY_local,configs/vbo_usdjpy_h4.yaml,"{'Channel_Period': 15, 'Trail_Mult': 3.0}",every_tick,,16821.0,1.2009,191,-8598.0,0.8413,169,reject
P40_15_3.5,VBO_USDJPY_local,configs/vbo_usdjpy_h4.yaml,"{'Channel_Period': 15, 'Trail_Mult': 3.5}",every_tick,,20555.0,1.2375,176,-16428.0,0.7224,163,reject
P40_20_2.5,VBO_USDJPY_local,configs/vbo_usdjpy_h4.yaml,"{'Channel_Period': 20, 'Trail_Mult': 2.5}",every_tick,,26602.0,1.4383,166,-8614.0,0.8154,167,reject
P40_20_3.0,VBO_USDJPY_local,configs/vbo_usdjpy_h4.yaml,"{'Channel_Period': 20, 'Trail_Mult': 3.0}",every_tick,,23187.0,1.3557,158,-8653.0,0.8225,154,reject
P40_20_3.5,VBO_USDJPY_local,configs/vbo_usdjpy_h4.yaml,"{'Channel_Period': 20, 'Trail_Mult': 3.5}",every_tick,,28709.0,1.424,148,-15335.0,0.7111,149,reject
P40_25_2.5,VBO_USDJPY_local,configs/vbo_usdjpy_h4.yaml,"{'Channel_Period': 25, 'Trail_Mult': 2.5}",every_tick,,18020.0,1.3168,150,-7315.0,0.8212,143,reject
P40_25_3.0,VBO_USDJPY_local,configs/vbo_usdjpy_h4.yaml,"{'Channel_Period': 25, 'Trail_Mult': 3.0}",every_tick,,13623.0,1.2218,143,-8511.0,0.8007,136,reject
P40_25_3.5,VBO_USDJPY_local,configs/vbo_usdjpy_h4.yaml,"{'Channel_Period': 25, 'Trail_Mult': 3.5}",every_tick,,18062.0,1.2769,136,-13166.0,0.7159,131,reject
P43_3.5_-0.5,PairTrade_local,configs/pairtrade_eurusd_gbpusd.yaml,"{'Entry_Z': 3.5, 'Exit_Z': -0.5}",,,7708.0,1.0894,142,9534.0,1.2272,92,PASS
P43_3.5_-1.0,PairTrade_local,configs/pairtrade_eurusd_gbpusd.yaml,"{'Entry_Z': 3.5, 'Exit_Z': -1.0}",,,5694.0,1.0571,140,9819.0,1.2378,90,PASS
P43_3.5_-1.5,PairTrade_local,configs/pairtrade_eurusd_gbpusd.yaml,"{'Entry_Z': 3.5, 'Exit_Z': -1.5}",,,13480.0,1.1371,134,8750.0,1.1801,86,PASS
P43_4.0_-0.5,PairTrade_local,configs/pairtrade_eurusd_gbpusd.yaml,"{'Entry_Z': 4.0, 'Exit_Z': -0.5}",,,8369.0,1.1274,104,9232.0,1.8405,40,PASS
P43_4.0_-1.0,PairTrade_local,configs/pairtrade_eurusd_gbpusd.yaml,"{'Entry_Z': 4.0, 'Exit_Z': -1.0}",,,11280.0,1.1603,102,9432.0,1.6625,40,PASS
P43_4.0_-1.5,PairTrade_local,configs/pairtrade_eurusd_gbpusd.yaml,"{'Entry_Z': 4.0, 'Exit_Z': -1.5}",,,18017.0,1.2604,98,6443.0,1.2872,38,PASS
P43_4.5_-0.5,PairTrade_local,configs/pairtrade_eurusd_gbpusd.yaml,"{'Entry_Z': 4.5, 'Exit_Z': -0.5}",,,5119.0,1.183,50,881.0,1.2009,14,PASS
P43_4.5_-1.0,PairTrade_local,configs/pairtrade_eurusd_gbpusd.yaml,"{'Entry_Z': 4.5, 'Exit_Z': -1.0}",,,8992.0,1.3519,50,1303.0,1.3046,14,PASS
