portfolio,config,variant,deals,net,single_dd_abs
baseline,pullback_usdjpy_h4.yaml,baseline,188,49062.0,18412.0
baseline,pullback_gbpjpy_h4.yaml,baseline,70,69631.0,11325.0
baseline,pullback_audjpy_h4.yaml,baseline,138,-599.0,8684.0
baseline,rsi_robust_usdjpy_h4.yaml,baseline,350,7580.0,17300.0
baseline,rsi_robust_eurusd_h1.yaml,baseline,1138,10982.0,15556.0
baseline,rsi_robust_gbpusd_h4.yaml,baseline,266,31558.0,4052.0
baseline,pairtrade_eurusd_gbpusd.yaml,baseline,284,20899.0,9259.0
baseline,pullback_gold_h4.yaml,baseline,224,166103.0,21447.0
baseline,carry_audjpy_d1.yaml,baseline,26,215127.0,28374.0
baseline,sca_usdjpy_m15.yaml,baseline,1228,18673.0,11283.0
baseline,sca_gbpjpy_m15.yaml,baseline,2684,134196.0,74176.0
baseline,sca_gold_m15.yaml,baseline,1030,236398.0,27975.0
baseline,eth_ea_d1.yaml,baseline,98,8083.0,3274.0
baseline,fundingrev_btcusd_d1.yaml,baseline,74,38893.0,11025.0
baseline,bfxrev_btcusd_d1.yaml,baseline,116,57551.0,18018.0
candidate_all8,pullback_usdjpy_h4.yaml,candidate,154,46696.0,11997.0
candidate_all8,pullback_gbpjpy_h4.yaml,candidate,62,82705.0,11325.0
candidate_all8,pullback_audjpy_h4.yaml,candidate,96,11776.0,8507.0
candidate_all8,rsi_robust_usdjpy_h4.yaml,candidate,414,15840.0,11138.0
candidate_all8,rsi_robust_eurusd_h1.yaml,baseline,1138,10982.0,15556.0
candidate_all8,rsi_robust_gbpusd_h4.yaml,baseline,266,31558.0,4052.0
candidate_all8,pairtrade_eurusd_gbpusd.yaml,baseline,284,20899.0,9259.0
candidate_all8,pullback_gold_h4.yaml,baseline,224,166103.0,21447.0
candidate_all8,carry_audjpy_d1.yaml,candidate,26,218540.0,24961.0
candidate_all8,sca_usdjpy_m15.yaml,baseline,1228,18673.0,11283.0
candidate_all8,sca_gbpjpy_m15.yaml,candidate,2298,129486.0,32233.0
candidate_all8,sca_gold_m15.yaml,baseline,1030,236398.0,27975.0
candidate_all8,eth_ea_d1.yaml,baseline,98,8083.0,3274.0
candidate_all8,fundingrev_btcusd_d1.yaml,candidate,94,60168.0,11201.0
candidate_all8,bfxrev_btcusd_d1.yaml,candidate,124,74532.0,17920.0
loo_without_01_sca_gbp,pullback_usdjpy_h4.yaml,candidate,154,46696.0,11997.0
loo_without_01_sca_gbp,pullback_gbpjpy_h4.yaml,candidate,62,82705.0,11325.0
loo_without_01_sca_gbp,pullback_audjpy_h4.yaml,candidate,96,11776.0,8507.0
loo_without_01_sca_gbp,rsi_robust_usdjpy_h4.yaml,candidate,414,15840.0,11138.0
loo_without_01_sca_gbp,rsi_robust_eurusd_h1.yaml,baseline,1138,10982.0,15556.0
loo_without_01_sca_gbp,rsi_robust_gbpusd_h4.yaml,baseline,266,31558.0,4052.0
loo_without_01_sca_gbp,pairtrade_eurusd_gbpusd.yaml,baseline,284,20899.0,9259.0
loo_without_01_sca_gbp,pullback_gold_h4.yaml,baseline,224,166103.0,21447.0
loo_without_01_sca_gbp,carry_audjpy_d1.yaml,candidate,26,218540.0,24961.0
loo_without_01_sca_gbp,sca_usdjpy_m15.yaml,baseline,1228,18673.0,11283.0
loo_without_01_sca_gbp,sca_gbpjpy_m15.yaml,baseline,2684,134196.0,74176.0
loo_without_01_sca_gbp,sca_gold_m15.yaml,baseline,1030,236398.0,27975.0
loo_without_01_sca_gbp,eth_ea_d1.yaml,baseline,98,8083.0,3274.0
loo_without_01_sca_gbp,fundingrev_btcusd_d1.yaml,candidate,94,60168.0,11201.0
loo_without_01_sca_gbp,bfxrev_btcusd_d1.yaml,candidate,124,74532.0,17920.0
loo_without_02_funding,pullback_usdjpy_h4.yaml,candidate,154,46696.0,11997.0
loo_without_02_funding,pullback_gbpjpy_h4.yaml,candidate,62,82705.0,11325.0
