label,net,max_dd_abs,max_dd_pct,return_dd_pct,return_dd_abs,sum_single_dd_abs,diversification_abs,diversification_pct
baseline,1064137.0,40764.0,2.385737020293146,446041.19856816606,26.104822882935924,280160.0,239396.0,85.44974300399771
candidate_all8,1132439.0,41316.0,2.6153604634674985,432995.38087326946,27.409211927582536,222128.0,180812.0,81.39991356335085
loo_without_01_sca_gbp,1137149.0,37838.0,2.3744765848823643,478905.12260256143,30.053094772450976,264071.0,226233.0,85.67127780028856
loo_without_02_funding,1111164.0,41316.0,2.6153604634674985,424860.74693000293,26.894278245715945,221952.0,180636.0,81.38516435986159
loo_without_03_pb_usd,1134805.0,42444.0,2.6928874880087705,421408.24860050896,26.736523419093395,228543.0,186099.0,81.42844016224518
loo_without_04_pb_gbp,1119365.0,41316.0,2.6153604634674985,427996.4523574402,27.092772775680125,222128.0,180812.0,81.39991356335085
loo_without_05_pb_aud,1120064.0,40762.0,2.582892786694319,433647.1129463716,27.478141406211666,222305.0,181543.0,81.6639301860057
loo_without_06_rsi_usd,1124179.0,40842.0,2.5842268642663977,435015.60004064447,27.525072229567602,228290.0,187448.0,82.10959744185028
loo_without_07_carry,1129026.0,41316.0,2.6153604634674985,431690.39823409816,27.326604705198953,225541.0,184225.0,81.68137943877166
loo_without_08_bfx,1115458.0,41238.0,2.6138413541926804,426750.45989718224,27.049274940588777,222226.0,180988.0,81.44321546533709
