selected_ids,count,net,max_dd_abs,max_dd_pct,return_dd_pct,return_dd_abs,diversification_abs,diversification_pct
none,0,1064137.0,40764.0,2.385737020293146,446041.19856816606,26.104822882935924,239396.0,85.44974300399771
08_bfx,1,1081118.0,40319.0,2.3875535421662355,452814.1383665465,26.814107492745357,239743.0,85.60354492933708
07_carry,1,1067550.0,40764.0,2.385737020293146,447471.78373785113,26.188548719458346,235983.0,85.27030103307352
07_carry+08_bfx,2,1084531.0,40319.0,2.3875535421662355,454243.63510440954,26.89875740965798,236330.0,85.42593683693055
06_rsi_usd,1,1072397.0,40764.0,2.4168226881669996,443721.83580142667,26.307452654302818,233234.0,85.1225191424755
06_rsi_usd+08_bfx,2,1089378.0,40319.0,2.4185993518330973,450416.8907406438,27.018973684863216,233581.0,85.27966411098942
06_rsi_usd+07_carry,2,1075810.0,40764.0,2.4168226881669996,445134.0204919753,26.391178490825236,229821.0,84.93486335162703
06_rsi_usd+07_carry+08_bfx,3,1092791.0,40319.0,2.4185993518330973,451828.0380633342,27.103623601775837,230168.0,85.09392318299956
05_pb_aud,1,1076512.0,40764.0,2.4183968279585204,445134.55672563595,26.40839956824649,239219.0,85.44054460449384
05_pb_aud+08_bfx,2,1093493.0,40319.0,2.420168874567748,451825.08191512147,27.121034747885613,239566.0,85.59444057380709
05_pb_aud+07_carry,2,1079925.0,40764.0,2.4183968279585204,446545.8222220768,26.492125404768913,235806.0,85.26087428137542
05_pb_aud+07_carry+08_bfx,3,1096906.0,40319.0,2.420168874567748,453235.31408357277,27.205684664798234,236153.0,85.41660638328655
05_pb_aud+06_rsi_usd,2,1084772.0,40764.0,2.449465449721882,442860.7066587396,26.611029339613385,233057.0,85.11290222444589
05_pb_aud+06_rsi_usd+08_bfx,3,1101753.0,40319.0,2.4511976810875717,449475.3762622537,27.32590094000347,233404.0,85.27014536593563
05_pb_aud+06_rsi_usd+07_carry,3,1088185.0,40764.0,2.449465449721882,444254.0718929328,26.694755176135807,229644.0,84.92500221886927
05_pb_aud+06_rsi_usd+07_carry+08_bfx,4,1105166.0,40319.0,2.4511976810875717,450867.7568223094,27.410550856916092,229991.0,85.08416262809368
04_pb_gbp,1,1077211.0,40764.0,2.385737020293146,451521.2661065377,26.425547051319793,239396.0,85.44974300399771
04_pb_gbp+08_bfx,2,1094192.0,40319.0,2.3875535421662355,458290.03650625393,27.13837148738808,239743.0,85.60354492933708
04_pb_gbp+07_carry,2,1080624.0,40764.0,2.385737020293146,452951.8512762228,26.509272887842215,235983.0,85.27030103307352
04_pb_gbp+07_carry+08_bfx,3,1097605.0,40319.0,2.3875535421662355,459719.533244117,27.223021404300702,236330.0,85.42593683693055
