months,origin,mode,k,cap,why,end_equity,net,dd_pct,ea_max_dd_pct,trades,pf,status,secs,run_id,deals
6,2016.11.09,1,4.0,3.0,REACH,200010.00,100010.0,29.198,74.418,18.0,2.7039,OK,53.5,dl_6m_20161109_mode1_20260913071924_88e5,dl_6m_20161109_mode1_20260913071924_88e5_deals.csv
6,2016.11.09,2,4.0,3.0,REACH,200021.00,100021.0,13.8609,74.418,27.0,4.0713,OK,58.8,dl_6m_20161109_mode2_20260913072018_44fb,dl_6m_20161109_mode2_20260913072018_44fb_deals.csv
6,2017.05.09,1,4.0,3.0,DEADLINE,63706.00,-36294.0,89.586,65.928,198.0,0.8583,OK,133.9,dl_6m_20170509_mode1_20260913072117_4059,dl_6m_20170509_mode1_20260913072117_4059_deals.csv
6,2017.05.09,2,4.0,3.0,DEADLINE,48193.00,-51807.0,118.4419,77.618,187.0,0.875,OK,133.9,dl_6m_20170509_mode2_20260913072331_d3a6,dl_6m_20170509_mode2_20260913072331_d3a6_deals.csv
6,2017.11.09,1,4.0,3.0,REACH,200162.00,100162.0,30.5224,35.451,65.0,2.0634,OK,53.6,dl_6m_20171109_mode1_20260913072545_58f3,dl_6m_20171109_mode1_20260913072545_58f3_deals.csv
6,2017.11.09,2,4.0,3.0,DEADLINE,64902.00,-35632.0,72.5364,80.215,172.0,0.8797,OK,63.4,dl_6m_20171109_mode2_20260913072639_9deb,dl_6m_20171109_mode2_20260913072639_9deb_deals.csv
6,2018.05.09,1,4.0,3.0,DEADLINE,80229.00,-19771.0,49.8,51.921,197.0,0.9056,OK,48.7,dl_6m_20180509_mode1_20260913072743_6740,dl_6m_20180509_mode1_20260913072743_6740_deals.csv
6,2018.05.09,2,4.0,3.0,DEADLINE,61280.00,-38720.0,70.831,72.951,188.0,0.8686,OK,48.4,dl_6m_20180509_mode2_20260913072832_c37e,dl_6m_20180509_mode2_20260913072832_c37e_deals.csv
6,2018.11.09,1,4.0,3.0,DEADLINE,101182.00,1181.0,67.3939,68.696,182.0,1.0054,OK,38.3,dl_6m_20181109_mode1_20260913072921_1cfe,dl_6m_20181109_mode1_20260913072921_1cfe_deals.csv
6,2018.11.09,2,4.0,3.0,DEADLINE,115544.00,15545.0,77.3809,80.038,178.0,1.0397,OK,38.3,dl_6m_20181109_mode2_20260913072959_9bfd,dl_6m_20181109_mode2_20260913072959_9bfd_deals.csv
6,2019.05.09,1,4.0,3.0,DEADLINE,120109.00,24705.0,29.3884,40.005,160.0,1.1125,OK,33.3,dl_6m_20190509_mode1_20260913073038_569d,dl_6m_20190509_mode1_20260913073038_569d_deals.csv
6,2019.05.09,2,4.0,3.0,DEADLINE,108369.00,16539.0,39.8396,61.619,155.0,1.0448,OK,33.4,dl_6m_20190509_mode2_20260913073111_4846,dl_6m_20190509_mode2_20260913073111_4846_deals.csv
12,2016.11.09,1,2.0,3.0,REACH,200164.00,100164.0,23.6865,35.414,122.0,1.7263,OK,123.5,dl_12m_20161109_mode1_20260913073145_37cf,dl_12m_20161109_mode1_20260913073145_37cf_deals.csv
12,2016.11.09,2,2.0,3.0,REACH,200032.00,100032.0,14.6033,35.414,269.0,1.6558,OK,188.6,dl_12m_20161109_mode2_20260913073349_1acb,dl_12m_20161109_mode2_20260913073349_1acb_deals.csv
12,2017.11.09,1,2.0,3.0,DEADLINE,76518.00,-23482.0,49.3039,58.555,374.0,0.8932,OK,93.4,dl_12m_20171109_mode1_20260913073658_dee3,dl_12m_20171109_mode1_20260913073658_dee3_deals.csv
12,2017.11.09,2,2.0,3.0,DEADLINE,73101.00,-26899.0,67.0135,72.955,374.0,0.9322,OK,93.4,dl_12m_20171109_mode2_20260913073832_a572,dl_12m_20171109_mode2_20260913073832_a572_deals.csv
12,2018.11.09,1,2.0,3.0,DEADLINE,118116.00,20414.0,38.7082,39.932,342.0,1.0882,OK,58.3,dl_12m_20181109_mode1_20260913074005_3920,dl_12m_20181109_mode1_20260913074005_3920_deals.csv
12,2018.11.09,2,2.0,3.0,REACH,200620.00,100620.0,46.3639,48.431,327.0,1.2552,OK,58.3,dl_12m_20181109_mode2_20260913074104_b3d5,dl_12m_20181109_mode2_20260913074104_b3d5_deals.csv
